親字	同	简化字	类推简化字	讹字	通
綬		绶			
維		维			
綮	䋜䋯󰫝󰫗				
綯	𥿐		绹		
綰	綄	绾			
綱	㭃䌉𣓡𦂴󰫶	纲			
網	䋄䋞网罖𠕀𠕃𡇄𡉮𦁒𦉮𦉯𦉸𦉺𦉽𦉾𦋟𦌅𮊌				
綴	𧚰	缀			
綵			䌽		
綷	紣󰫒		𮉬		
綸	𥿑	纶			
綹		绺			
綺	𦂶	绮			
綻		绽			
綼			𰬤		
綽	繛𦅕𦈀	绰			淖
綾	󰫔	绫			
緀	紪		𰬢		
緁	䌌𧚨󰫡		𰬡𰬶		
緂			𰬧		
緃					
緄		绲			
緅			𮉪		
緆	𪎥𪎧		𰬣		
緇	䊷紎純𥾒𦃠𦄛𱹼󰫉󰙯	缁	䌶	𦁃	
緈	𦂜𦃉				
緉	䩫󰫖		𮉧		
緊	紾𦂳	紧			
緋		绯			
緌	𡝓		𮉫		綏
緎	𩋉		𰬟		
総			𰬥		
緑	𢅞	绿			
緒		绪			
緔					
緗		缃			
緘		缄			咸
緙		缂			
線	絤綖𦂷				
緛			𬘰		
緜	綿	绵			
緝	𦂝	缉			
緞		缎			
緟	褈𤕌𤳞𦅅𧝎		𫟆		
締		缔			
緡	緍	缗			
緢					
緣		缘			
緤	𦁛		𫄬		
緥	褓				
緦	𠅛𢆿𦃞	缌			
緧	䋺䱸𦂏𦃈		𬘶		
編		编			扁
緩	𦅻𦇻	缓			
緪	絙絚縆		𬘵𰬌		
緬	𤚛𥾝𬗟	缅		𥿶	
緭					
緯		纬			葦
緰			𦈕		
緱	𦂐	缑			
緲		缈			
緳					
練		练			
緵	󰫥		𰬯		
緶	𦄒𦄱		缏		
緷	𧞢		𦈉		
緸			𦈑		
緹	衹	缇			
緺			𮉨		
緻		致	𰬫		
緼		缊			
縈		萦			
縉	𦇢󰫯	缙			
縊		缢			
縋	䋘	缒			
縌	𥿬		𰬳		
縍					
縎			𦈔		
縏					
縐	䋓𥿲𦆜󰫷	绉			
縑		缣			
縒	𦄙𦆧				
縓			𰬲		
縔					
縖	󰫦				
縗	䙑	缞			
縙					
縚	𦁵				
縛	紨	缚			
縜			𰬚		
縝	𣞟𦁄	缜			
縞		缟			
縟	𣯋	缛			
縠	𦇍				
縡			𰬴		
縢	𦂙𦅌				
縣	寰県𡈴𬪗	县			
縤					
縥					
縩			𮉯		
縪			𰬎		
縫	綘	缝			
縬	縐𦂎𦄉𦇰		𦈚		
縭	褵	缡			
縮	𣩐𦄲𦟱	缩			
縯			𬙂		
縰			𫄳		
縱	縦𠚪𥾺𦂵𦄚𦆬󰘘	纵		𥾞	從
縲	纝𦅍	缧			
縳			䌸		
縴	撁鏲	纤	𰬮		
縵	𦄡𦆅󰫱	缦			
縶	𡈊𦅬𮩸	絷			
縷	𫃵	缕			
縸			𫄲		
縹	𦆝𦇐	缥			
縺			𦈐		
縻	䌕𠠣𥿫𦄐				
縼	𦀢		𰬵		
總	㹅搃摠総緫縂𠂳𢝰𢭇𢵃𥡥𥾜𦀙󰫐	总			
績		绩			
縿	䪌幓襳󰫮		𰬪㡎		
繀			𮉮		
繁				䌓	
繂	𦆽		𫄴		
繃	䙀䙖綳𧚸	绷		𦇜	
繄					
繅	縿繰𦃐𦃨𦅒繅󰫞	缫			
繆	󰫭	缪			
繇	䌊䌛				
繉					
繎			𬙇		
繏	𦇗		𦈝		
繐			𰬸		
繑	𦃣		𰬐		
繒	縡𥃙󰫫	缯			
繓	𦄎󰫬		𦈛		
織	綕𦀂𦀗𦁋𦁓𦃎󵀊	织			
繕	敾𦆇𦆶	缮			
繖	𠍘𡙫𢄻		𰬷		
繗					
繘	𦇹𦈇		𰬻		
繙			𬙆		
繚	繆𦄗𦆖	缭			
繜			𰬺		
繝	𦅘		𰬝		
繞	撓遶𡈦	绕	𰺷	𢫤	
繟			𦈎		
繠					
繡	綉		𰬩		
繢	繪𦆠𦇣		缋		
繣			𰬠		
繦			𫄶		
繨			𫄤		
繩	䋲縄𦃰𨭘𩍊𩍋󰫢	绳		𦃻	
繪	䙡絵𦅩	绘			
繫	縘𣪠	系		𦂞	傒
繬					
繭	絸蠒𦇂𦢣𨇿	茧	𬘖		
繮	韁	缰		𦆊	
繯	𦇏	缳			
繰		缲			
繲			𰬽		
繳	𥐊𦅾𧝳	缴			
繴	𦌠			𦂟	
繵			𬙉		
繶			𫄷		
繷			𫄣		
繸	𦂁𩍚		䍁		
繹	𦆎	绎			
繻	㡏𦅎		𦈡		
繼	㡭継𦁚𦇓	继			
繽	𧷟	缤			
繾	𦇶	缱			
纀	襥襆		𰬿		
纁	䌲䙧䵫		𫄸		
纂	繤𦆈𨳄𩯳		𱆈𰬹	𥵵	
纃					
纅					
纆	𦄿		𬙊		
纇					類
纈		缬			
纊		纩			
纋			𰭀		
續	𦁱󰫠	续			
纍		累			
纏	緾繵纒	缠			
纑			𮉡		
纓	󰫙	缨			
纔	𦂯	才			
纕			𬙋		
纖	孅繊纎	纤			
纗	𦆈		𫄹𰬹		
纘	纉𩛻	缵			
纙					
纚			𫄥		
纛	翢𢃶𣫟𣰬𦇨𦑢𦒫𦒯				
纜	䌫󰫹	缆			
纞					
缶	缻𦈢𦈪				
缸					
缹	𤈒𤈣				
缺	𡙇𡚆𥁍𦈫				決
缿	銗				
罁					
罃			䓨		
罄	𥥻𰥃󰦯				
罅	鎼𥕕𦉏𨩽𨻲𰧩𱀸			鏬	呼
罇					
罊					
罌	甇甖𤫡𥈫𦉍𧶹	罂	𰢤		
罍	𦉩𰭇				
罏	𤮧		𬙎		
罐	欟礶罆鑵𤮳𤮴𰭆		𰭄		
罔	㒺𠕏𡦽𡧏𤣴𧧜𰃨󰛘			𣥙	
罕	䍐䍑𢆔𥤱𦉻𦋃				
罘	𦊾				
罛	𦋆				
罜					
罝	𦊕𦋽𦋾			𦊥	
罞					
罟	䇢𦊖𦊟				
罠	䋋				
罡					
罣	𦊱𭁹				
罤					
罥	𦌄𦌶𦌾𦍆				
罦	䍖𦊾			𦋵	
罧	槮𦋯				
罨	𥯃𦊭𦊸𦌌				
罩	䈇箌𠟅𥵢𥵤𦋇				
罪	辠𡈚𤾐𦤖󰨙				
罫	𥦛				
罬					
罭					
置	𦋲𦌃𦌤			𣇣𦌖𧴴	
罯	󰯪				
罰	罸𠟑𠟟	罚			
罱	䈒𦊔𦌫				
署					
罳					
罶	𦊑𦌁				
罷	𧟽	罢			
罹					
罺	樔罺				
罻					
罼			𬙝		
罽	𠫈𣯅𦋋𦋴𦋺𦌓				
罾					
罿					
羂	𡫂𦌶		𰭔		
羄					
羅	罗𦋝				
羆	罷𥀍𥀡𥀦𥀧	罴			
羈	䩭羇覉覊𦋱𦌭𦌯𦌹𦍈𧠄𩆺	羁			
羉					
羊	𦍌				
羌	㳾溬猐獇羗𠒌𡬎𡹽𡺛𦍎𦍑				
羍	𦍐				
美	媺嬍羙𡠾				
羏					
羑	羐羗𦍶󰪇󰪅				
羒					
羓					
羔	羙𦍚𦍱𦎴𦏠𦏦				
羕	𦍛				
羖	𦍩				
羘					
羚	䴫麢𦏪𦏰𪋦𪋪𪋶			𩦵𪋓	
羛					
羜			𬙯		
羝	牴𦍝𦍞𦍫𦍿𦎢				
羞	䐰饈𦍟𦟤𰃤󰱡󰜅	馐			
羠					
羡	羨				
羢					
羣	䭽群𠹩𡲻				
羥	𦎥	羟		𦎺	
羦					
羧					
義	羛𠌾	义			
羫	腔				
羬	麙𦏣				
羭					
羯	𦍨𦍾𦎂𦎒󰪊				
羰					
羱	𦍘				
羲	𢐱𦏁				
羳					
羴	䍹𦏫				
羵			𫅗		
羶	膻𠆞𦎞𦎵𦏂𦏬𦏭				
羷					
羸	𦣉				
羹	羮𡙡𢑌𦎟𦢹𩱁𩱋𱆓󰪍			𩱀	
羺	𦎀𦏌𩍄				
羻					
羼					
羽					
羿	𢏖𢏘𦐧				
翀					
翁	𣸜𩔚𩿈				
翂					
翃	𦐌			翝	
翄	𦐊				
翅	翤趐鳷𦐊𦒈				
翇	𦐗				
翈	󰫃				
翉					
翊					
翋					
翌					
翍	𦐢				
翎	𦐽			𦑉	
翏					
翐					
習		习			
翓					
翔	羏鴹𦍤				
翕	䁯翖𦐬󰧕				脅
翗					
翛				𦐻	
翜			𰭢		
翞					
翟					
翠	翆𦐜				
翡	𪂏𪂞				
翢					
翣	䈉接歰菨𡵶𣥒𰙩				
翥	䎝䬡𦑥				
翦	剪鎆𠝣𠞽𠟠𣜭𣦃𦑦𦑳𦒕󰞙󰞗				
翧					
翨	𦑧				
翩	𦑮				
翪	𦑨𪃊				
翫					
翬	𦑩	翚			
翮	𦒏			𦑭	
翯	𩫉				
翰	𠣍𨎰𩙶			𩙴	
翲					
翳	𩭅			𦒭	
翴					
翵	𪄊				
翷	𦒪𪆞				
翸					
翹	𦒒	翘			
翺	翱翶𦒡𦒢				
翻	畨飜𢑵𢬵				拚
翼	䋚𦏵𦐂𦒖𩙺				
翽			翙		
翾	𦐽𦑰𦒬𩙽			𦑉	蜎
翿	𦐩𦒇𦒞󰫁		𰭣		
耀	㿢󰫇󰘿				
老	𠄰𠈣𦒳𦒴				
考	𦒱				
耄	㿞旄𠅸𢗳𣭢𣮳𦒷𦓄𦹾𦽡𦿗𧂕𩲘				
者					
耆	𥄥𦒿𦓀𨚻󰭦󰥙				
耇	耈耉				
耋	耊𨊁𨊆𨊜				
而					
耍					
耎					
耏	𦓎𦓘				
耐	𡬪			𩈃	
耑					
耒	𬂞󰵐				
耓					
耔					
耕	畊𠛝𣚣𥝷𦓮𰢹				
耖	抄				
耗	㘪𡐒				
耘	秐𦓷𦔐𦶮				
耙	䎱𣞻	䎬			
耚	𤱍				
耛					
耜	䎣梩𣏌𥞐𦓨𦓵				
耝	刞				
耞					
耠	秴𦔏				
耡	耝鉏				
耣					
耤	𦔡𦔢				
耥					
耦	𥻑				
耨	䅶槈鎒𦔘󰧁				
耩	𥠾				
耪					
耫					
耬	䅹𦔪	耧			
耭					
耮	橯𥢒	耢			
耰	櫌				
耱					
耲					
耳					
耴	𦕿				
耵					
耶	𦔶				
耷					
耹					
耺					
耽	𤯉𦕍𧴸				
耾	𦕹				
耿	𤓐				
聃	冉耼𦕃𦕐𨈜𨈭𨉄				
聄	𦕇𦕑𦕗				
聅					
聆	䠲				
聇					
聈					
聉					
聊	僇𦕵𦕼𦗖				
聎	𦖅				
聏					
聐					
聑					
聒	咶𢡲𣽰𦕾𦗦𨈸				
聕					
聖	䎴圣垩琞𠄵𡑺𤦨𤪈𥅶𦔻𦕡𦣨𧟿𨉑𨲉𨲚𨲢𩫽𰿒𰿓				
聗					
聘	𡞐𦕊𨉂𨉯𨊀				
聙					
聚	鄹𦖏𦼈𧅞𨛿𨞮𨽁󰔵				
聛					
聝	䤋𢦛				
聞	䎹䎽闻𥹢𦔴𦔵𦕁𦕌𦖞𦖫𪖴				
聠					
聤	𤸥𨉬				
聥	𦞇				
聧					
聬					
聭	𩲽				
聯	䏈聫聮𦕱𦖹𦘈	联			
聰	聡聦𦕻𦖟	聪			
聱	𦗷				
聲	声殸𠴢				
聳	耸𢕈				
聵	䠿𦖥𦗿𦘃𦘄𦘋𰆉	聩			
聶		聂			
職	聀軄	职			
聸					
聹	矃𦗰𨊎𨊓	聍			
聺					
聻			𫆏	𦗚	
聽	听聴聼𠯸𦔽𦕘𦕢𦖆𦗟				
聾	䏊𤼃𦗤󰳗󰯬	聋			
聿					
肁					
肂	𦘖				
肄	𢄥𥏚𦘗𦘞𨽽				
肅	䏋粛𢙻𦘜𦘝𦘡	肃			
肆	肄銉𢑨𦘨𨽸𩬶𩭞				
肇	𢾹𦘟󰚸				佻
肈					
肉	宍月𠕜𡧢𥤬			𠤵	
肋	𦟯				
肌	𩨒󰧊				
肍					
肏	操			𢻥	
肐	𦘸𦙊				
肑					
肒	𤼐𦘾𪐟				
肓	𦘻				
肕	𦨔󰧌				
肖	󰧋				俏
肗	𦘽				
肘	䏔胕				
肙	䏍			𠱮	
肚	䐗				
肛	㠮				
肜					
肝					
肟					
股	骰𦙶󰣶				
肢	胑𨈙𨈛𨈪			𩨵	
肣	𦛜𦝵𧶗				
肥	𦘺󰣃				
肨	𦜍󰧍				
肩	𡱎𢩌𦙪𦚑󰖔			𢨿	
肪	𩨣				
肫	𦙛𬂁󰣂				
肭	𦜬󰧏				
肮					
肯	肎肻𠕔𡧓𣍟𦘫𦙡𦚋				
肰	𦛡𦛦𦝸𭨬𰮩			𥇃	
肱	厷𠃋𠫔𠫖𠬟				
育	袬𣫺𦝑𩛭育				
肴	餚𦘬𦙩𦜂𦜚󰣄		𬳁		
肵					
肷					
肸				𥄛	
肹					
肺	胇胏𦙰𦚘𰮈󵆒			𦚮	
肼					
肽					
胂					
胃	𦛂𦝩𦞅𦞽				
胄	䩜伷育𩊄				
冑					
胅	䏲𦝯𩨰				
胆					
胇	𰮋				
胈				𤕳𥥛	
胉					
胊	𠣪				
胋	䏦				
背	揹𰮔				
胍					
胎	囼孡				
胏	𡋜𦙰𦚘𦚙𦛎󰣇				
胒					
胓					
胔	𡥎𦙼𦚚				
胕	𦝗				
胖	䏒𦚓			眫	
胗	𤷌𦙳𦜌				
胘	𦘷				
胙					
胚	㚰妚肧				
胛	𩨹				
胜					
胝	疷躓𤵋𦙁𦙘𦙠𦝔				
胞	𠣒𦚽				
胠	𦚒𦛕𦛱				
胡	𠴱𡋞𩑶				
胣	肔				
胤	㣧𠉥𤗅𦙍𦞩				
胥	縃𦔰𦙃󰣈				
胦					
胩					
胬					
胭	臙				
胮	膖𤵸𦡊				
胯	骻𡱼𦚬𦜮𧿉󰣊				
胰					
胱					
胲	骸				
胳	肐𦛃				
胴					
胵	胝				
胶					
胸	胷𦙄𦙞𦚍𦚾𦛄𰮌𰮎𰮨				
胹	濡腝𦓒𦓠𦠌𩰴𩱊				臑
胺	𦛅				
胻					
胼					
能	䏻竜而耐螚𦑴𦝕				
胾	𦛹				
胿					
脀	𦚦𦛆𦞪𪱝				
脂	󰧔				
脅	䏩脇	胁			
脆	脃脺膬𦙈			𣈐	
脉	䘑脈衇𦚡𧖴𧖹𧵾				
脊	𦟝𦠗				
脎					
脒					
脕					
脖	𩓐				
脘	䏓𦜐𰣸				
脙	𦜵				
脚	卻腳踋𦛶				
脛	踁𨁎𨂈𩩋	胫			
脜					
脝					
脞	󵆗			𢏬	
脟	𦛷				
脠	𦚺				
脡					
脢	脄膴𦙻𩨿				
脣	䐇䫃𠵧𦟢𩕁脗				
脤	𦚠				
脥	𣍰				
脦					
脧	𡱥				
脨					
脩	𠋛				蓨
脪	𤷓				
脬					
脭					
脮					
脯					
脰	𦣓				
脱	󰣌				説税
脲					
脷					
脹	痮瘬	胀			
脺	𦙈				
脻					
脼					
脽					
脾	腗𠧃𦜉				
腀					
腂	𰯬				
腃	𦝘			𡸩	
腄	𦚥𦡘󵆪󰣣				
腅					
腆	㙉䐌倎𥳫𥵶𥶚𨡏				
腇					
腈					
腉					
腊	𦞽𦠪				
腋					
腌	𦛞𦜽				
腍					
腎	𦛒	肾			
腏					
腐	焤𢉶𢋲𣩇󰧛󰛊				
腑					
腒	臄				
腓					
腔	羫𣫝𤟄				
腕	捥掔𢪸𢫪𢮗𢮘𢯫𥆶𦙵𦛥𦞿				
腖	󰧖	胨			
腙					
腚					
腛					
腜					
腝	𩱄󵆞				臑
腞	腯				
腟					
腠					
腡		脶			
腢					
腣					
腤	𦝡				
腥	𦎬				
腦	䐉匘𠜶𠟞𡍗𦛁𦛳𦝶𦞄𦠊𦠤𦭣𩩀𰯝󰣐	脑			
腧					俞
腨	𨄔				
腩	𦝧𨡯				
腪			𣍯		
腫		肿			
腬	䏔𰯊				
腭	𦞐				
腮	顋		𱂲		
腯	腞𦝬𰯒󰣒				
腰	𦝫				
腱	䇟睷𦞬󵆖				
腲					
腴	𣧴𣨃𦚤				
腵					
腶					
腷					
腸	脹膓	肠			
腹	󵆥				
腺					
腼					
腽					
腿	蹆				
膀	髈𦜅𦜶				
膁					
膂	膐				
膅					
膆					
膇	㾽				
膈	䐙				
膉					
膊	禣𦢸𦣈𰯡󵆜			𦡰	
膋	󰧙		䒿		
膍	肶󰣔				
膎					
膏				𥆕	
膒					
膔					
膕	䐸𩪐	腘			
膗					
膘	脿膔𦣁				
膙	󰲺				
膚	肤𦢚			𤺧	
膛					
膜	𦟦				
膝	𦜔𦞃𦡀𦡩𰯌			𢑧𧜝	
膞	甎𤮍㼷塼𥶸	䏝			
膟	𦝭			𣈪	
膠	󰣝	胶			
膡					
膢	䄛		𦝼		
膣					
膦					
膨	𤺬				
膩	𦡸𧸐𰮓	腻		𧸉	
膪					
膫					
膭					
膮			𰮝		
膯					
膰	𥛮				
膱				𥋏	
膲					
膳	饍󰣚				
膴			𰮇		
膵					
膷			𰮅		
膸	𦢪				
膹	𦡛		𪱥	𦢒	
膺	𦢻𩪠				
膻	胆				
膼					
膽	胆				
膾		脍			
膿	癑𧗕󰨑	脓			
臀	臋𡱂𡱒𦞠𩪡󰜈				
臁	𰯧				
臂	𦡍𦡜				
臃	𦡚				
臄					
臅					
臆	肊𩪟				
臇	㷷䐪𦞾𦠬𦢥𦢿𩟥𰯠				
臈					
臉		脸			
臊	𦏛𦞣𦟄𦟅𦠨󰣞				
臌					
臍	䐡𠬐𦙟𦠃𦠕𪗇𪗌𰯉	脐			
臎					
臏	𬛜	膑			
臐	𦘶𦢜𩪱				
臑					
臒	𦫇				
臔					
臕	脿				
臖	𦢯𦢰				
臗			𣎑		
臘	腊臈𦡳			𣊦	
臚	膚𥀵	胪			
臛	𩞺𩟨𩟯𩟸				
臝					果
臞	癯				
臟		脏			
臠	脔脟臡𦣐				
臡	𦣊		𰯋		臑
臢		臜			
臣	𢆺𢘑				
臤	󰘮				
臥	卧				
臦					
臧	匨𠗱𡍱𡒤𡒥𢨑𣻟𦣣󰖣󰤨			𡒉	
臨	𦣲𦣷	临			
臩					
自	白𦣹𦣼𨈻󰙰			𥃭	
臬	帠				
臭	臰𣧁𦤁𫜤󰨘󰨔󰨗				
臮	𡮧			𦤌	
臱	𦤔				
臲	𦤞				
至	𡉰𡊏𦤳𦤴𦤵				實
致	𦤶𦤹				
臶					
臷					
臸					
臹					
臺	㙵䑓坮𡋛𡌫𡌬𡎲𡐉𡒢𡔼	台			
臻	瑧𧽕				
臼					
臽	𥦶󰟆				
臾	㬰𠒍𤆂󰕊				
臿	𠚏𢆍𦥛𦦈𦦱				
舀	抭𦥞𦥟𦥨𦥵󰳮				
舁	𠢈𢪓𢱲𢲓𦥠				
舂	㫪𦥴				
舄	舃𩊿𩍆			𣊣	
舅	𠢎𤰧𦥶				
與	与𠔔𢌱𦥸𦦲				
興	㒷嬹𠎢𢍯𦥷𨑁	兴			
舉	㪯擧𠃥𠔖𠦮𡕖𡥳𡴃𦥑𦦙𦬇𰓉󰤁󰨉󰨍󰞁󰠺	举		𣁄	
舊	𡆥𦾔	旧			
舋					
舌					
舍	𦧶󰗦				
舏					
舐	䑛咶狧𤠡𦧇𦧓𦧧𦧪𦧫𪙬𪙶𰰈				
舒	豫𧦃𨥤				
舓	狧𦧇𦧓𦧧				
舔	㖭				
舕					
舚	𦧚𦧻𬜅󵉞				
舛	僢𨅱𰁒󰔭				
舜	䑞俊𡐩𡳈𡳉𨶊𰂧𰰊󰘒				
舝	𢮟󰡉				
舞	儛𣄳𦏶𦐀				
舟	𣍝				
舠	𦩍				
舡					
舢					
舥					
舦	𦨐				
舨					
舩					
航	𣃚𮎃󰨤󰨡				
舫	枋				
般	𦨗				
舭					
舯					
舲	𦪩				
舳	𨌇󰨦				
舴					
舵	䑨杕柁				
舶	艊				
舷					
舸	𦨍				
船	舩𣍬𦤉󰨕				
舺					
舼					
舽	𦪎				
舾					
艀					
艂					
艃					
艄					
艅					
艆					
艇	𦨿𦪅				
艉					
艋					
艌					
艍					
艎	楻𦪄				
艏	𦩽				
艐	𣸌𣹇𦩇󰨭				
艑					
艒	䑵𦨧𦪷				
艓					
艕	𦪤				
艖	䑡𦪮𦪸𦫅				
艗	榏𦩊󰨬				
艘	㮴䑹𣔱𦪁				
艙	𤾙	舱			
艚	󰨰󰨪				
艛	󰨩		𰰑		
艜					
艞					
艟					
艡					
艢					
艤			舣		
艦		舰			
艧					
艨					
艩					
艫		舻			
艬					
艭			𰰋		
艮	㫔𥃩				
良	𡆨𡰩𣌣𣌩𥭣				
艱	囏𡅤𡆐𡆒𦫒󰪩	艰			
色	𢒸𣤻				
艴	𦫛				佛
艵					
艻					
艼					
艽	𦸹				
艾	㘷𦫿			芖	
艿					
芃					
芄					
芅					
芆					
芇	𢁟				
芈	哶𦍋			吀𦬒	
芉					
芊					
芋	芌				
芍	薂𦯪𦱜				
芎					
芏					
芐	芦				
芑	䄫				
芒	䅒𥝕𦬆𪌁				
芓					
芕					
芘				𣬅	
芙					
芚					
芛	芟茟			𦭽	
芜					
芝					
芞	䒗𦬈󰪫				
芟					蔪
芠					
芡					
芢					
芣					
芤					
芥	𠟝𦬉				
芧					
芨					
芩					
芪					
芫					
芬	㞣𡴚			𡵳	
芭					
芮					
芯					
芰	茤𦼽				
花	化芲蘤𠌶𤾡𤾸			𣓚𧅅	
芳					
芴					
芵	𦯊				
芷					
芸	𥘟𦱚				
芹	䓅斳菦𧁲				
芺					
芻	蒭𦮊𦱪𦱻𦷝󰪯	刍	𫇴	𠣧	
芼	㧌𦯮𦳁				
芽					
芾	𦬝				
芿	艿				
苀					
苃					
苄					
苉					
苊					
苑	茒				
苒	䒣				
苓	䕘				
苔					
苕	䒒芀萔				
苖					
苗	猫𡩈𰍒󰛺				
苘	莔				
苙					
苚					
苛					
苜	𦭝𦴄			𦭾	
苝					
苞					
苟	芶𠷜𦯗𦴆				
苠					
苡					
苢					
苣					
苤	𦱷				
若	叒𠭀𠭚𡧻𣞆𥉧𦱡𦱢𦱶𦴈𧁇󵃃󰪮			𡻦	
苦	瘔𡿵				
苧			苎		
苨	䕥				
苩					
苪					
苫	葠				
苬					
苭					
苮					
苯					
苰					
英	偀𥍼				
苲					
苳					
苴	𥠙				鉏
苵	𦸴𦼺				
苶	𥬞𦬼				
苷					
苸					
苹					
苺	𦱞				
苻					
苽	𦺠				
苾	馝𪏺				
茀					
茁					
茂	󰗣				
范	𣔶				
茄					
茅					
茆	𦮉𦯄𦯆				
茇	𦭞𦳺				
茈	𦶉				
茉					
茍	𦰶			𦯃	
茓					
茖					
茗	榠				
茙					
茚					
茛					
茜	𦴛𦵻𧀈				
茝				𦯭𦯱	
茞					
茟					
茠					
茡					
茢	䓟𠞝𦱝				
茤					
茥					
茦					
茧					
茨					
茩					
茪					
茫	𣴭				
茬	茌				
茭	䕧𦺏𦽨				
茮				𦯝	
茯					
茱					
茲	兹茊𢆶𦱳				
茳					
茴					
茵	鞇𩎪				
茶	荼𣘻				
茷				笩	
茸	𦔋𦗨				
茹					
茺	𦯇				
茻	𦬠󰪪				
茼					
茽					
茾					
茿	𦯋𦵶𧏤				
荀					
荁					
荂					
荃					
荄					
荅					
荆	𦮓𬏄			𠞣	
荇	䓷莕				
荈	𦯢				
草	屮艸𢂉𦯨𦳕𦷣				
荋					
荌					
荍					
荎	芪				
荏					
荐					
荑	苐𦯔				梯
荒	茫𠃤𠯚𥞙𥠸𥡍𦮋𦱐𰨧				
荓	𦰝				
荔	茘				
荖					
荗					
荰					
荱					
荲					
荳					
荴					
荵					
荶	䕾芩				
荷	抲𢬲				
荸					
荹					
荺					
荻	蔐藡𧁱				
荼					
荽	𦯩				
荾	䒘𦴅				
荿					
莀					
莁					
莂					
莃					
莄					
莅	涖蒞				
莆					
莇					
莈					
莉					
莊	㽵庄𠗎𤕶𤖄𤖈𦻊				
莋	苲𦰼				
莌	𦮀𦸍				
莍					
莎	𪌮𪍬𱋘𱋨				
莏					
莐					
莑					
莒					
莓	𦱞				
莔	𦮄𦯶𦱋𦳶			𦴖	
莖		茎			
莗					
莘	䅸𦸯𨐍				
莙					
莚					
莛	𡈼				
莜	𦰞				
莝	摧				
莞	莧𦸌			萖	
莟					
莠	䅎𦽧				
莡					
莢		荚			
莤	𨣡				
莥	𦱙𦶆				
莦	𦷟				
莧		苋			
莨					
莩					
莪	䕏				
莫	䒬𢍋𦱤𦱴𦶛				
莬	脕				
莭					
莮					
莯				𦱈	
莰					
莽	莾𦷶莽				
莿					
菀	苑				
菁					
菂	芍				
菃					
菄					
菅	𦭂				
菆	㭫𦰨𦺵𰱸				
菇					
菈					
菉	𦾯				
菊	𧃓				
菋	苿				
菌	蔨𦽖				
菍					
菎	𦸫𧃣				
菏	𣵣				
菐					
菑	葘𦵰𦸜𧀗󰪴				載
菒					
菔	𦻉				
菕			𰰨		
菖					
菗	𦼾				
菘	蘴𦬘				
菙					
菚					
菛					
菜					
菝					
菞					
菟	兔𧈋				
菠					
菡					
菢	㲒𢯿𣭀				
菣	𦸃				
菤	𦶘				
菥					
菧					
菨					
菩	萯				
菪					
菬					
菭					
菮					
華	䔢崋蕐𠌶𠫫𡺛𡼀𡼙𡾀𦰗𦾓	华		𣓚	
菰	𦺠				
菱	䔖蓤蔆𧁽𧅊				
菲					
菳					
菴	葊				
菵	𦬣𦭤				
菶					
菸					
菹	苴葅𥂯𥶎𥷟𦯓𦳎𦵔𦼬𦿘𧀽𧂚			𧄗	蒩
菺					
菻	𦾰				
菼	𦵹𦽉				
菽	𦯂			𦭊	
菾					
菿	箌			𦳙	
萀					
萁	稘𦬟𧯯				
萃	𦬡				踤崒
萄					
萆					
萇			苌		
萈	𦎻𦏊				
萉					
萊	釐𰼚	莱			
萋					
萌	鋂𢡗𦹩				
萍	𦭃𦶊				
萎	荽				
萏					
萐	𦱥				
萑					
雈					
萒	𦳆				
萓	𦯥				
萘					
萜					
萩	𦵒				
萪					
萫					
萬	㸘𠂍𠃡𢁭𤈬𤍚𥝅󵃂	万			
萭					
萮					
萯			𰰷		
萰					
萱	蕿藼蘐				
萲					
萳					
萴			荝		
萵		莴			
萶					
萷					
萸	茰𦺮				
萹					
萺					
萻					
萼	蕚				
落	茖𣧳				
萿					
葀					
葁					
葂					
葃					
葄					
葆	藵𦬽				
葇	𦺤𦽩				
葈					
葉	𦯧𦯲𦹁	叶		𧄡	汁
葋	𦮿𦶔				
葌	䓸䔵				
葍	𦽌				
葎					
葏	𦻄				
葐					
葑					
葒		荭			
葓					
葔					
葕					
葖					
著	箸𣋐𣥧				
葙					
葚	𣞵				黮
葛					
葜	𦳴				
葝	𦳲		𫈎		
葞					
葟	䑟𦨁𦨄				
葡					
董	𦱦				
葤	薵	荮			
葥	𦷱				
葦		苇			
葧	𦸦				
葨					
葩	苩𦺂󰪵				
葪					
葫					
葬	㘸塟𦱬𦱼𦲳𦴓𦵏𦸟𦽱𦿑𧂥			𢍈	
葭					
葯					
葰	䔀䕑𦵭𦹿				
葱	蔥𢚱𦯎			𦴜	
葲					
葳					
葴	𣿎𦸮				
葵	𦷡				
葶					
葷	蔒	荤			
葸	𦷚				鰓
葹					
葺	𦲭				
葻					
葼					
葽					
葾					
葿					
蒀					
蒂					
蒄				𦵤	
蒈					
蒍			𫇭		
蒎					
蒐					
蒑					
蒒			𰰳		
蒓		莼			
蒔	畤秲𦔌𦱎𦱗𦸎	莳			
蒖					
蒗					
蒘					
蒙	𠐁𣉭𰭒				
蒚					
蒛					
蒜	䔉				
蒝					
蒟	𦵑				
蒠					
蒡	𦱘				
蒢					
蒣					
蒤					
蒥					
蒦	彠				
蒧					
蒨	蔳𦹤				
蒩					鉏
蒪					
蒫					
蒬					
蒮					
蒯	䓒𠣲𦮍𦰵𦳋				
蒰					
蒱					
蒲					
蒳			𰱌		
蒴					
蒵	𦷲				
蒶			𰱍		
