親字	同	简化字	类推简化字	讹字	通
㦇					
㦊					
㦋					
㦌					
㦎	𢟸		𢛯		
㦏					
㦐					
㦑					
㦒				𢤇	
㦓					
㦕					
㦘					
㦚	𢣑𢤴			𨐵	
㦛	懙𢗓𢚎𢣟		𫹮		
㦜					
㦟	𢟆				
㦢					
㦣					
㦥					
㦦					
㦩					
㦪	𢥥				
㦫					
㦬			𰑫		
㦰	𢦜			䇝𢦝	
㦴	㪾󵄙				
㦵					
㦹					
㦺	𢾯				
㦼					
㦽	戫				
㦿					
㧀					
㧁	𢈊				
㧄					
㧅					
㧆					
㧇					
㧉					
㧊	𢪹				
㧋				𢪂	
㧎					
㧒					
㧓					
㧔					
㧕	󰠼				
㧗					
㧘					柴
㧙	捌				
㧚	𢭨				
㧡					
㧢					
㧣					
㧤					
㧥					
㧦	揈				
㧩					
㧪					
㧫					
㧬	𢭤				
㧭					
㧮					
㧯	𫽨				
㧲					
㧳					
㧴					
㧶	揁				
㧷					
㧸					
㧹				𢰐	
㧺	𩎽				
㧻					
㧽					
㧾					
㨁					
㨂					
㨃					
㨄	𠠄				
㨅					
㨆					
㨉	捪				
㨊	𢸦				
㨋					
㨌					
㨍	𭡞				
㨏					
㨐	拊				
㨑	󰡟				
㨒					
㨔					
㨖					
㨙	𢬡𢭁𢯉				
㨚				𢵀	
㨛			𰓔		
㨜					
㨝					
㨞					
㨟					
㨡	捆				
㨥	抐				
㨧					
㨨	𢳏				
㨪					
㨭					
㨮					
㨰	󵝿					
㨳					
㨷					
㨸					
㨹	𢴥				
㨺					
㨻	摲				
㩃					
㩄					
㩆					
㩇					
㩈					
㩉					
㩊					
㩋	㪩𢱩𢸳𢹱󰞾		𪮋		
㩌	拂		𫽧		
㩍	㨲			㩞	
㩒					
㩓	𢶙				
㩖					
㩘					
㩚					
㩝					
㩟					
㩠					
㩡					
㩢					
㩤					
㩦					
㩧	扑𢹯𢻭𣀛			𣞺	
㩨					
㩩					
㩰	󰢆				
㩱	󰢋				
㩳	㨦	㧐			
㩴					
㩵					
㩶	𢰀𢲺𢺊				
㩷			𰔲		
㩸					
㩻	攰𢻪𢼮𤿡			𢼨	
㩼	𢻈				
㩽	枝				
㩾					
㩿					
㪀					
㪁					
㪂					
㪃	㪋𢼔攼				
㪄					
㪆	𢻽𢼕			𢺾	
㪇					
㪈					
㪍	𢾢				
㪎					
㪏	捭𢽛󰩲				
㪐					
㪑	𢽱				
㪒	󰞮				
㪓					
㪕					
㪖					
㪛					
㪝					
㪠					
㪡	󰞶				
㪣	𱅺				
㪤					
㪥					
㪦	󰞹				
㪧	㩉				
㪬					
㪭					
㪮					
㪱					
㪴					
㪵					
㪶					
㪹					
㪺	𣂏𨟉𨟛			𣂐𨞜	仇
㪻	𢍶				
㪼					
㫂					
㫃					
㫊					
㫎	𣄈				
㫏	㫍				
㫐					
㫒					
㫘	㸓𣆇󰥎			𥄃	
㫙					
㫛					
㫜	暺				
㫝	󰟇				
㫟	昖				
㫠					
㫢					
㫦	㫞				
㫨					
㫰					
㫱					
㫲					
㫵					
㫶	晭				
㫷					
㫸	󰲟				
㫹	󰟑				
㫻					
㫽					
㬂	𣈦				
㬃					
㬄					
㬇	𥈉𥋂󰥪󰥦󰥧				
㬈					
㬊					
㬋					
㬌					
㬍	𣌈				
㬎	𣊡				
㬏					
㬒					
㬓	𣊠				
㬔					
㬕					
㬗					
㬘					
㬙					
㬚					
㬛					
㬝	󰟞				
㬣	𦡷		𬀮		
㬤	昅𣉓				
㬥	𣋏𣋴				
㬦					
㬬					
㬮	𣋸𣌖		𰖠		
㬯					
㬴					
㬸					
㬹					
㬼					
㬿	朜				
㭁					
㭂					
㭄					
㭇					
㭈					
㭑					
㭒	梩𣏌				
㭔					
㭕					
㭘					
㭙	棏樀𣚅				
㭚	𣖺				
㭛					
㭜					
㭝					
㭞					
㭠					
㭡					
㭢					
㭩					
㭪					
㭫	𣖵				
㭭					
㭮					
㭯					
㭰					
㭸	󰝎				
㭺					
㭼	𣒩				
㭽					
㭾					
㭿					
㮀					
㮁					
㮂					
㮃	𦓽				
㮅				㚝	
㮇				𣕊	
㮏	㮈				
㮐					
㮑					
㮒					
㮔					
㮕	𣚊				
㮖					
㮘	枆				
㮙					
㮚					
㮜					
㮝					
㮟					
㮣	杚				
㮥					
㮦					
㮧					
㮨					
㮩					
㮪	舼𦩺				
㮫					
㮬					
㮮					
㮯	梱				
㮰	𣗽				
㮱					
㮲	𣔖𰗫		𰗙		
㮵					
㮶					
㮷					
㮹					
㮾					
㮿	𰔷󰡱				
㯀	𣒀𰘡				
㯁					
㯂			𰘀		
㯄					
㯅					
㯆			𰗡		
㯊					
㯋	頴				
㯌					
㯎					
㯓					
㯔					
㯕					
㯗					
㯘					
㯙					
㯚					
㯛	𣝄				
㯝					
㯠					
㯡					
㯥					
㯩					
