正字	異体字	附録字
訿		
詀	䛸譧	
詁	诂	
詂	𧨽	
詃	􄺍	
詄	𧧲	
詅		𮘿
詆	𠯞𠯝𠰋呧𠳉𧦒𧥮𧦚𧦄诋𧦺𧨱󳛂􁰡	󳛅󳜘􁰢
詇		
詈	𧧧𧩥	󻨕󻨖
詉	𧦀訤𧪅	
詊		
詌		
詍	呭㖂𧥨䛖󺝊􃖾󺵴􃖽	
詎	讵	
詏	󸵚	
詐	诈󾋚􁰠	
詑	訑𧦧𧦭𧪁	
詒	𧦫	
詓		
詔	诏詺􁰝󹼂	
評	评􁰛	
詖	𧫸	
詗	诇𧨝	
詘	诎誳𧬲􃗁	
詙	􃗀􃖿	
詚		
詛	𧇘𥛜诅謯󼓷􁰟􁰞	
詜		
詞	𧥝词䛐󳜗􁰜󾋦󾌜	
詠	咏𠰿􁰙􁰘􁰚􁰗󾌖	
詡	诩𧩘	
詢	咰询𧩛𧪂𧪱􁰿󾏠	
詣	诣􁰶󾌑󾋩󾌠󾌂􁰵	
詥		
試	试󾋀󾋱	𰐐󿴁
詨	誟謞	
詩	訨𧥳诗􁰲􁰰󾋉󾌘􁰱	󾋈
詪	䛉𧨛𧩺	
詫	咤诧𧩫􁰨	
詬	㖃訽诟	󾋝
詭	𠱓诡謉譌􁰾󾌍􁰽󰤊	
詮	诠􁱁󾌋󾌉􁱀	
詯	䛛𧩤	
詰	诘􁰳	
話	咶𦧵舙话䛡𧨥諙譮􁰺􁰸􁰹	
該	该𮘈󾌕􁰮􁰫􁰭􁰬􁰪󾍆󾍴	
詳	详𧨢󾍮	
詴		
詵		
詶		
詷	𧥧	
詹	噡𦧕譫􁱂󲢢󷰆󲢾󲣕󲣖	
詺		
詻		
詼	诙󾋶	
詾	㕳哅讻𧦆訩𧦙𧧗􅤌󾌌	󳝬
詿	诖𧫉𧬮𧭬𧭑	
誀		
誁	𧩱𧫮	
誂	𠻩𧨙	󾋼
誃	䛂謻	
誄	诔𧧈䛶讄󾌁􃗄󾌼	
誅	诛􁰻􁰼	
誆	诓􃗂􃗃	
誇	咵夸𧥢𧧳􁰴󶶻󷓡	
誋	􃗅􃗆􃗇	􃗈
誌	識󽁧󳢈􁱆􁱅󲌌󾍔	
認	认	
誎		
誏		
誐		
誑	䚾诳𧪴􁱤	󾏜
誒	诶􃗉󾍽󾍾	
誓	𣂯𣂶䤱󳲑󿆅󻳦􁱎󰢸󻴗󵆁󿃓􁱍	𡂉󻳿
誔		
誕	唌𧥡誔􁱮􁱬󴬑􁱱󾌆􁱪􁱰􁱯􁱨󰮄􁱫􁱩􁱭	𧩙
誖	哱怫悖𢚦𢠜𰒲𢨋𧪶󴝘󻗃󾊭􄺕	
誗		
誘	㕗𦎅唀𥤃𦲃𦎙诱䛻󹸞􁱣􁱢	󾏵󾑁
誙		󾋹
誚	诮	
誛		
誜		
語	语􁱇	
誠	诚誠􁰷󾋸	
誡	诫𧪖䛺󾋨󾋪󾌡􁱊􁱌􁱋􁱉	󾍑
誢		
誣	誈诬𧨆𧨈𧩄󾋙􁱈󾋹󾍠	
誤	悮悞误􁱓󱛃􁱐􁱘􁱒􁱕􁱏􁱔󰤖􁱑􁱗󾌬􁱙􁱖	
誥	𠬳𢍎𧧞𧧙诰􁱜􁱛	
誦	诵􁱄􁱃󾍐	
誧		
誨	𠲯诲􁱞􁱡􁱟􁱝􁱠󾍉	
誩	𧮣	
說	𧧘说説􁱚󾌐󺱩	󾍃
誫		
誰	谁􁱻􁱼	
誱	𧫰󾏨	
課	课	
誴		
誵	訤	
誶	谇譢󾋄󾌓􁰛󾌨󵭷	
誷	𤣴𧦘𧧜􄺜􄺛	
誸	􃗊	
誹	诽	
誺	𧨇󾎴󾏈	
誻	𠴲𧪟䜚	
誼	竩𧧼𧨏谊􁱥	󾌚󾏲
誽	䛔􄺞	
誾	訔𨶡	
調	调􁱺􁱹	
諀	𧨬	
諂	谄𮘦謟讇󾍀􁱷􁱸󾑾	󳩒
諃		
諄	𣮢谆𧩽𧭫𧭺󾍇􁱦􁱧	
諅	𧥽𧬗􃗍	
諆	諅𧫠	
談	谈󳨄󹰕󾋷󾍋󼊒	
諈	娷𧬡􃗗	
諉	诿	
請	请請􁱳􁱲	
諌		
諍	诤󾌏􁲁􁲂􁲀	
諎	𧬢	
諏	诹𧩞𧩻󾍗	
諑	诼	
諒	谅󾎤	
諓		
諔		
諕	𧩐𧪹𧫒𧬵􃗋󾏳󾏱􃗌	
論	𠐜论𧪺􁱿􁱾􁱽󾎝󳴟󿡌	
諗	谂讅󾍯	
諘		
諙		
諛	䛕谀󼪊󾋿󾋽	
諜	𧨯𧩜谍䜓􁲝􁲜󾎃􁲞􁲛􁲚	
諝	𢝒㥠𧩑谞𧫐󴝔􃗒	
諞	谝𧫲	
諟	惿𧫚	
諠	􃗎	
諡	𧨦𬢶謚󾋲󾏭	
諢	诨𧬪𧮘顐	
諣	𧬭􄺣􄺥􄺤􄺢	
諤	𡅡𣤲谔讍󾎑	
諥		
諦	谛諟𧫚󾍡􁲃􁲄􁲅	
諧	谐􁲟􁲠	
諨		
諪	󾏤	
諫	𧧅諌谏󶅄􁲇	
諭	喻喩谕諭󾏞	
諮	谘󾍁	
諯		
諰	𦖷𧪳	
諱	讳𮘪󾋐􁲍􁲑􁲊􁲔󾍕􁲎󾎁􁲈􁲋􁲓􁲖􁲒󾎒􁲕􁲐􁲉􁲏􁲌󾏑󾐁	
諲	󾐂	
諳	谙𧩸𧫧􃗏􃗐󾒐	
諴	𧬌	
諵	䛁	
諶	訦谌􃗑	
諷	讽𧩠	󵧜
諸	𢒕𣦁诸𧭷󳮇󷾺󳰖󳿖󳿜󳿡􁱴􁱵􁱶	󳿭
諹	􄺡	
諺	喭𠷗𧧑谚󺷚􁲆󾍳󾍴󷐜	
諻		
諼	谖	
諽	愅	
諾	喏诺􁲡􁲢􁲣	
諿		
謀	呣𠰔㖼𢘓𧦥谋􁲙􁲘󽂄􁲗	
謁	謁谒􁲩􁲭􁲧􁲤􁲫􁲰󾌫􁲦󾌮􁲪􁲮􁲨􁲯􁲬􁲥󾎔󾏒	
謂	谓𧬴􁲲󾎓󾎚􁲱󾏔	
謄	𦫁誊󵠟	
謅	诌𧩖	
謆		
謇	𠹟𠽱𡄓𡅶𮘭𧪤𧬯𧮎𧮈􃗞󾍥􃗟􃗝󴩡	󴧥
謈	𧬉𧭤	󻦜
謉	𧫏􄺵􄺼􄺶􄺽	
謊	𧧢谎󾎅󵵦	
謋		
謍	𧮆	
謎	詸䛧谜󰘇	
謏	𧩮󾎲	󾐨
謐	䛑𧨨谧	
謑	𠿇𧨞䜁𧫟󰴟󾐰	󾎹
謒		
謓	􄎗󹑰􄺸󸽍	
謔	嚯谑𧫪􃗓󾍸􃗔􃗖􃗕	
謕	𧪥􃗜􃗚􃗛	
謖	谡󾍪􃗙	
謗	𧩂谤􁲳	
謘	䜄𧭟	
謙	谦𧫨󾎰􁲵􁲴󷆈􁲶󾑜	
謚	谥𧫺󾍷􄺺󾏂􄺻	
講	讲𮗻𧪿󲖢󾍶􁲻󾍘󵶋􁲺󾎆􁲸􁲷􁲼􁲹	
謜		
謝	𧧬谢𮘴𧬄􁳃	󳡕󿡶
謞	􃗘	
謟	𮘦􄺹	
謠	䚺䚻谣謡􁲾􁳁󾎠󾎡􁳀󾎣􁳂􁲿􁲽	
謣	𧨄𧪮譃􁳎󾐅	
謤	􄻁	
謥	𧩟𧩪􃗪	
謦	􃗬󾐟	
謧	㦒𧮛	
謨	𠻚𢜯谟謩󾎭􁳆󾎺􁳉􁳄􁳈􁳅󾏿􁳇	
謪		
謫	𡂓谪𧬍讁	
謬	谬𮘸𧬶􁳍󾐽	
謮		
謯	􃗥􃗦􃗤󾑒	
謰	嗹𫌼	
謱	􃗩	
謲		
謳	𠥺讴󶄛􃗠	
謵	􃗣􃗡􃗢	
謶	𧫽𧭧󾐓	
謷	謸𧭁􃗫	
謸	謷	
謹	𧫴谨𧭩󾎨󾎬􁳊󾏐􁳋󺵥􁳌	
謺	𧬓	
謻	𠗺𧩀	
謼	𠻢嘑𧦝􃗧	
謽	󾐼	
謾	㗄𠿐谩𧫩𧬒󳣊􃗨	
譀	𧧴𧫫󹇘	
譁	嘩𧪮𧮉􁳎􁳏	
譂	􄻎	
譄	􄻊	
譅	𧬃	
譆	􃗳	
譇	𧩫𧬅	
譈	󾐔􃗯􃗮	
證	𦷘𧁆𧁅证証𨧭𨨼𨨾𨪔䥌𨭧䥭􁳞󰲉􁳕􁳝􃩳󳏼􁳓􁳔􁳛􁳜󾝩󾞥􁳘󾞊􁳖􁳙󾞋󾟛􁳗􁳚	󳊴󳌡󴨅
譊	􃗰􃗱􃗲	
譋		
譎	谲􁳢􁳠􁳡󲏾	
譏	讥𮗸􁳤􁳥􁳧􁳣􁳦	
譐	􃗭	
譑	􃗹	
譒		
譓	譿􃗴	
譔	𧩿	
譕		
譖	谮譛𧮂􃗶󾐞􃗷􃗸􃗵	
譗		
識	𰐐𢨞𧥾识䛊𧨺𧬣󿴁󾎻󾏌󾏾󾑚􁳐􁳑󾑰󾑲󾑳􁳒	
譙	谯𰟳	
譚	谭䜖􁳟󾑆󾑈󾑋	
譜	諩𧪻𧫭谱𧭘	𧨌
譝	憴󾏕􃗿􃘀	
譞	𧭴􄻘􄻗	
譟	謲	
譠	󾐴􃗼􃗻􃗺	
譢		
譣	􃘁	
譤		
譥	譤	
警	䜘􁳲􁳱	
譧		
譨	󵝞	
譩		
譪	􃗾􃗽	
譫	噡谵	
譬	󴵽	
譭	䛼󱃖􄻙󾑕	
譮	諙􄻜	
譯	訳译𧬳󶅑󾐌􁳳	
議	议𲁤𧭖󾊬󾐖􁳰􁳪􁳫􁳬󾒈􁳯􁳮􁳭􁳨􁳩	
譳	𧬐	
譴	谴􁳴󿺡	
譶	𧭛𨑂	
護	䕶謢􁳷􁳿􁳶􁳸􁳻􁳽􁳼􁳾􁳹􁴀􁳺􁳵􁴁	
譸	嚋𡃮𡆓𧪀󳦀󳦼􃘅󿉚􃘆􃘄􃘃	
譹	􃘂	
譺	𧭐	
譻	􃘇	
譽	𣁎誉𧭒󾐊󾐈􁴂󾑭􁴄󸲞󾑮􁴃􁴅	
譾	𧫌謭𧬫	
譿		
讀	𡂝读讀􁴉􁴊󶅃􁴇􁴋􁴆􁴈	
讂	譞𧭦􃘌􃘏􃘍􃘋􃘊􃘎􃘈􃘉	
讄	𧫖𧬀𧮢	
讅		
讆	讏	
讈	𧬎	
讉	􄻮	
變	变𠮓変𢒛𢒟㣐𢒦𢒪𢒭𢻝𣀵變𦇥󲊾󲋧􁴏􁴚􁴙􁴘􁴗􁴍󵊰􁴎􁴐􁴔􁴓􁴒󼋃􁴖􁴕􁴛􀪈􁴝􁴌􁴜􁴑	
讋	詟𧮩𩐶􃘑􃘒	
讌	䜩𧮃􃘐	
讎	𠵁𢛇𢢧讐𩀕雠󼚺	󼘜
讑	𧭆	
讒	谗𲁰䜛􁴪󸎗󾎫󾏚􁴨􁴫󹃵􁴥􁴧􁴩	
讓	𦦬让誏譲𧮨􁴢󾏣󾏧􁴡󾑛󾑱󾑵􁴣󾒇􁴠􁴟􁴤􁴞	
讔	𧮐	
讕	㘓谰𧬘譋􃘓􃘔	
讖	䜟谶󾑡􁴬	
讗	𧮄􄻱	
讘	䜆􃘕	
讙	􃘖	
讚	𡂐讃􁴲􁴮􁴰󾑺􁴯􁴱􁴭	
讜	𧩡谠譡𧭢󾒓􃘗	
讝		
讞	囐𤅊谳􃘘􃘛􃘙􃘝􃘜􃘚􃘞	
讟	㾄	
谷	𠔌𭶻𡵾󳘵󼇪􁴳󱺒󱴙	
谸	𧮮	
谹	𧮯	𧮴
谻	𠙆𠙏𧮬𧮭𧮷󾈐	
谼	硔䜫	
谽	𧮰𧮳	𥓂
谾	𩓅	
谿	嵠磎𥡙豀􁴸󳱡􁴷􁴶􁴵􁴹	
豁	𰶖𧯆𧯉𰍢󾈙􁴴	
豂	􄻺	
豃	𧯘	
豅		
豆	𣅋𣅣梪𤽔𤽋䇺𧯚𧯜	
豇		
豈	岂󳭿󽹰󽹲󽹯󻙫	
豉	𢻃敊䜵䜻𩚡􁴻	㑥
豊	𧯽	
豋	𡖚㽅𤮘𢍪𧯭𧰐􃘠􃘡􃘟􃘢	
豌	𧯡𧯳􁴼􁴽􁴾	
豍	𧯪	
豎	竪𥪛䜿䝂􁵁􁵀􁵂􁴿	
豏	􃘣	
豐	丰𣍈豊𧯮𤲊􁵊􁵋􁵅􁵈󽹿􁵉󽺈􁵆􁵃􁵄􁵇	
豔	𡤩𡤸艳𦫢艶艷𧰟豓􁵍􁵎􁵌	
豕	𡰯𢁓𧰧𧰬􁵐􃩴􁵏	
豖	𢒔	
豗	拻䝇𧱉󳖕	
豚	𠭣𢄉𢃻𤜨㹠𦚌𧰭豘𧱔𧱯𧱮𧱸󰣂󻻣􁵓􁵑󰣓􁵔􁵒	
豛	𧰱𧰶𧱣𧱕􄼓	
豜	豣𧱚𧲀	
豝	𤜱𧲧	
豞	𧰴𧲳	
豟	𤜸𤝤䝈𧱒𧲒󽼤󽼥	
豠	𧱑	
象	𤉢𤊱𮙞𧰼󲠲􁵞􁵠􁵛󲪆􁵟󲢖􁵚󲢪􁵝􁵜􁵙󲡠􁵗􁵘󱷎󲢵󹰒􁵖󹺟󲣆	􁵡
豢	㹖𰶩𨤜󽼆􁵢􁵣	
豤	狠𧱗𧱟𧱨𪙲貇𧳢𱌦	
豥	𧱱􃘤􃘥	
豦	𤢓𠁅􃘦􃘧	
豧	􄼕	
豨	狶𧳐􃘨	
豩	𧲏	
豪	儫𢑸𩫎𩫒𩫕𩫚𩫞􁵨󽼎󰬹󽼙􁵤􁵦􁵫􁵬󲐘􁵥􁵧􁵮􁵩􁵭􁵪	󾳖􁵯
豫	𠄛𠄝忬𢘕䂊􁵷􁵺􁵸􁵴􁵹􁵳􃩵􁵵􁵶󽌚󱙾󲤖	
豬	𢑳猪猪䐗𧳯󶺹􁵰	􁵱􁵲
豭	猳󽼕	
豯		
豰	𧲇𧲐󱀐􃘩	
豱	󺶜	
豲	獂𧱂𧱖􃘪	
豳	𡺳󳯰󲗖􃮌􃮋􃮍	
豵	𤡆𧱭𧱷𧲓􃘫􃘭􃘬	
豶	獖豮𧴍	
豷	𤡬𧱲	
豸	廌𤞝𦎋𧋈𪺏𧳃􃘮󴂊􃘰󿺢􃘯􃘱	
豹	犳𤝧𧲡􁶄󴀣􁶁􁶆􁶃􁶀􁵿􁶂􁶅􁶇	𤞵
豺	犲𤝔𤝦𤠌􁵾􁵽󴀡􁵼􁵻󾈭	
豻	犴貋􃘳􃘲	
豽	𤜽􃘶􃘵􃘴	
豿	狗𧲿	
貀	𤜽𤝒𧰹豽􃘸	
貁	狖𮙩􃘷	
貂	㹦𪔸鼦󻵽󿊣􁶈󴀲􁶉󾈵􁶕􁶏􁶍󲣌􁶊􁶌􁶋󲢹􁶒􁶑􁶔􁶎􁶓􁶐	
貄	𤝽􃘺	
貅	㹯䝗𧲷􃘼􃘻	󾈬󾈾
貆	狟𧳔􃘹	
貇	􁶭	
貉	狢𧲪𧲦𧲩貈𧳇𧴏𧴘𧴞􁶠􁶛󾈶􁶝􁶗􁶜􁶘􁶟􁶖􁶚􁶞􁶙	󾈲
貊	狛𧲥貃貉	
貌	㒵狠𭸎㹸皀皃貇𧳓𧳒𧳖𨉍𨓅䫉󰟅󴁌󴁗􁶥􁶦󼹏􁶧󾧙􁶪􁶭􁶱􁶬􁶤􁶫􁶯􁶰􁶨􁶮	󾉃
貍	狸猍𧳟𧴔􁶡􁶢	
貏	𧳠𧳴􃘽􃘾	
貐	㺄󾉉􄼮	
貑	􃘿	
貒	猯䝎𧳲𧳩􃙃􃙁􃙂􃙄􃙀	
貓	猫􁶳􁶴􁶲	
貔	𤜻𤠞豼𧴀󴁝􃙊􃙆􃙍􃙋􃙈􃙉􃙌􃙇	
貕	􃙅	
貗	􃙖􃙔􃙕	
貘	獏􃙓􃙒	
貙	𤠾𧲰􃙏􃙑􃙎􃙐	
貚	󾉗	
貜	􃙘􃙗	
貝	蛽贝𪚾􁶶	
貞	𭾛𠨀𣦵贞鼑󱥵􁶷	󰔄󱏸
負	偩负𧴥󰓞	
財	㒲财𧴶𧵤𰷊𧸄􁶽􁶼􁶸􁶻􁶺􁶹	
貢	贡	
貣	𧴮	
貤	𥃸𥅓䝯𧷆	
貥		
貧	𡧋贫􁷆􁷇	𥥄
貨	𣱷𧴦货𧵰𧷴􁷁󰭆	
販	贩𧶶	
貪	𰷄􁷅󱼎􁷃󱽅􁷂􁷄	
貫	𢿒贯𧵗䝺󿿽󽽋􁷀	󽾗
責	责𧵩𧶌󰬿􁶿	
貯	𡪄贮𧵒𧵤	󴤜󻟿
貰	𧴹贳𧶚󰾹	
貱		
貲	􁷨	𤇬
貳	弐𠌗㒃𢎐貮贰􁷊􁷉􁷈􁷋󼤜󼤰󷤌󽽕􁷍󹻲󸰡􁷌󻖋󽽡󽾁	
貴	𡭙𰶵贵𧶪䝿𧸋􁷑󺆒􁷕􁷒􁷖􁷓􁷔	
貵		
貶	𦥕𦥘𦥧𡬯𧴷贬𧸘􁷙󽞍􁷜􁷘􁷚􁷛􁷗	
買	买𧹒𧵽󻨍	
貸	𠌗𣃐贷􁷡󾻰󱮄	
貹		
貺	贶𧵦𧵮󽽬	
費	费󽽴	
貼	贴	
貽	贻𰷅䞅􁷎󽾎􁷐􁷏	
貾	𧵇󽼴󰬺􃙙	
貿	𥆆𧴵贸𧵍𧵲𧶻𧶝󽽁󿞣󽽔􁷝􁷠󽽐󽽙􁷟󽽰󰴎􁷞	
賀	贺	
賁	贲賁	
賂	𮙾赂𧸚	
賃	赁	
賄	贿𧶅􁷦􁷥􁷧	
賅	赅賌	
賆		
資	𪗓资𣣬𧷕󴕇􁷣󶯁󵠥	
賈	𧵑𧵎贾􁷤	
賊	戝贼𧵪𰒭󽽊󽽛󿞤󸝵􁷢	
賋		
賌	􃙚	
賏		
賑	𧵉䝩赈􁷯􁷱􁷰	
賒	𧴳赊賖𧶟􁷴􁷳􁷲	
賓	𡧎𡧍𭓫宾𡫅𮱫𤍘𥦎𧶉𧶎賔𡪛󿌡󿌭􁷪􁷮󴦂􁷩󴥹􁷫󹭛󺹊􁷭󴧉􁷬󴧄	
賕		
賗		
賙	赒	
賚	赉𮚅𧶘𧶛𧷖󽽤󽌵󽽼󽾍󽾠􃙝	
賜	赐𧶽􁸄􁸃	
賝	𧷉󰭂	
賞	赏𧶜󳘎	
賟		
賠	赔	
賡	赓	
賢	𠤕𬥎臤贤䝨贒󰘴󽽧󽽽󽽻􁷿􁷽󽾀􁷼󽾌􁷻􁷾󽿓󽿦	
賣	売卖𧶠𧷓𧷨𧷵󶄬􁸂􁸁􁸀	
賤	贱賎𧶤󶅉􁷺󽽺	
賥	􃙛󰬾􃙜	
賦	𮙼𧵐赋䝾𧶣𧷲󽽆􁷵􁷸􁷶󽽸􁷹􁷷󽾏󽾚	
賧	𧵊	
賨	𢃏賩𧹆󴧩	
質	筫质貭𫎘𧸲󿆄󽾰	
賬	账𧹔󶄼	
賭	赌𧶴𧷿󽿈	
賮	𧷇贐󽩒􃙟	
賰		
賱		
賲	宲󱱈	
賳		
賴	𧡽赖𩓋頼𩓃󱀇􁸆󽾽󾦀􁸅	󾥎
賵	𠙒𮚐赗󲄷􃙞󽾳󽾵	
賶		
賸	𦫂𧷽䞉	
賹		
賺	赚𰷖𧸖􁸇	
賻	赙󼦭󽾞􃙠	
購	购𧶥𰷋𧷻𧸊􁸈􁸉􁸊	􁸋
賽	𡧳赛	
賾	𡁃𡄙歵𧶷赜𧷤𩌪􃙢􃙣󱠍􃙡	
賿	􄽍	
贀	􄽐	
贂		
贃		
贄	贽󽾜􃙤󽿙	
贅	赘𧷌𰷗𧸆𧸞𧸟􁸎􁸌􁸍󽀙	
贆	賧𧷼	
贇	𰷆𧸔	
贈	贈𰷐赠𧸑􁸑􁸐􁸏	
贉	𧸘􄽑	
贊	賛𮚏𮚋赞􁸔􁸓􁸒	󹅏
贍	赡𧸸𰷜𩟋󽿏󵊨􁸚􁸙􁸛	𧷘󾭁󿞷
贎	𧸱𧹇𨲴􄽚	
贏	赢󾻍􁸖󷆃􁸘􁸕􃩶􁸗	𡧐
贐	赆䝲𧂰	
贓	赃賍𧷢贜􁸜􁸞􁸝	
贔	屓𩖏󼬥	
贕	𧸷􃙥	󲘣
贖	赎𧹎󶅆󶄱􁸟󶷀	
贗	偐赝贋󶶨􁸠	
贙	𧷠𧹂󾖼􃙦󵊬	
贚	􄽢	
贛	贑𧹄赣贛𧹉𰷝𩐬𩑅􁸤􁸣󾮮󾮱􁸡󽂕􁸢	
赤	灻𤆍烾󳭙󲮵	󲳍􁸥
赥		
赦	𥘦𢼜𢽀𤆅󰞣󿝞󽶸	󻛻
赧	𢟻𢠱𤿜䚂𧹞𧹠𩈑𩈫𩈶􁸧􁸦	
赨	蚒𧋒𧌝𧹝	
赩	𦫜􃙧	
赫	㚘焃爀䓇𧹘􁸲󲰟󼌾􁸰􁸱󲲢􁸭􁸩󼌲􁸮􁸨󱃴󰪭􁸥􁸬􁸯􁸪􁸫󼏧	
赬	緽𧹙𧹚䞓𲊼頳󽶽󽶾󽷁	
赭		
赮		
赯		
走	㞫𣥕赱𡗱𧺆𣥚󾿁󳭁󳭈󰚑􁸴󱇾􁸳󻐽􁸶􁸵󰚒󴪠	𡹦󲰭󾿍
赲		
赳	𠡟𧺇𧺈𧺯􁸾	
赴	䞯䟔𨕍􁸻􁸸􁸼􁸹􁸺􁸷􁸽	
赶	𢆝􃙨	
起	𡆡起𧺫𨑓𨑔󿓸􁹆􁸿􁹂􁹈􁹁􁹀􁹄􁹃􁹊􁹅􁹉󳕃󲲓􁹇󾇴	󳿧󿑔􁹋􁹌
赸		
赹	𧺓𧻛󻚇	
赺		
赻		
赽	𧻯􄽦	
赾		
趀	𧾒􃙩󰫼󰫽	
趁	𢌝趂𮚶跈􁹣􁹠􁹡􁹤􁹢	
趃		
趄	𥩢䞡𧼀𧻾𧽀𨒚	
超	𧺽􁹟󲳑􁹙􁹛󳝡􁹝󲲔􁹜􁹚􁹞􁹘󿀝	
趆	𧺦𧻎𧺽􄽧󷤙􄽩	
趇		
趈		
趉	𧺐𧺖𧺙䞷𧿺	
越	𦈭𰙦𲃊𧻂􁹑􁹗􁹓􁹏􁹍􁹔􁹎󹻫􁹒󲲰󰕧􁹐󲳚󽶍󲳡􁹖	
趌	𨀙	
趍	𧻬􃙪	
趎		
趏	𧽂	
趐		
趑	赼	
趒		
趓	𧻞	
趔		
趕	赶􁹬	
趖		
趗	𧻻	
趘		
趙	𧺉赵􁹨􁹥󳘂􁹫􁹧􁹦􁹩󻚴􁹪	
趚		
趛	赺𧾏	
趜		
趝	􄽯	
趟	䠀󽶛	
趠	𢔄𧻠	
趡		
趢	􄽮	
趣	𠮋𧺥𧻃𧼈𧻽𧼝趨𧾉󲵞􁹮􁹲􁹱󽶒􁹯􁹭􁹰󻚵	
趤		
趥	䠓	
趦	𧾒	
趧		
趨	趋𧻫趍𧻬𧼜􁹺󲳛􁹵􁹷􁹾􁹴󽶎󳕛󲳾􁹹󳕦􁹼􁹻󿀹󿀸􁹶􁹽􁹸󽶦􁹳󲸬	󽶵
趩	𨅜􄾄	
趪	僙􃙮	
趫	𰷼	
趬	𰷵蹺􃙫󽶖􃙬􃙭	
趭		
趮	躁	
趯	𧾟䢰􃙯􃙰	
趲	䟎趱􃙱	
足	𠯁𤴕𠯣􁹿󳘪󾂷􁺀	
趴		
趵		
趶	𧿉	
趷		
趹	𨀆􃙵	
趺	呋𠰵𨁜􃙲	
趻		
趼	𥀹趼𨇿	
趽	𨁳	
趾	䟖􁺁	
趿	𢕬	
跁		
跂	𠈮𧿍𰸅䟣𨀣𩨝􃙴􃙳	
跅	𧿧𨂫	
跆		
跇	𧺿𧻸𧽁𧼪𧿱𨂰𨒧󽶀󽶚􃙶􃙷􃙸􃙹	
跈	䟢𨀀󾃈	
跉		
跊		
跋	𧿡跋䟦􁺃󾃁󼅁󳜫􁺄󳞫󳞉􁺅􁺂	
跌	趃􁺋􁺊	
跍		
跎	𧿶	
跏		
跐	𧿿􃙼	
跑	𨀓􁺉󸷵	
跒		
跓		
跕		
跖		
跗	趺𧿤𨁵	
跘	𨀷	
跙	𨆄	
跚	𨀢𨅊𨅖󰴐􁺆􁺈􁺇	
跛	㝿𤿑𨈵󿁝	󽊒
跜		
距	𧣒	
跟	𣥦𦚣𨁞󵤢􁺗	
跠		
跡	䟢䟱蹟𨒏迹𨒪𨖊󲬧󾃉􁺖􁺐􁺓󳟐􁺒󾃜􁺕󳢤󳟩󳢻󵣸􁺌󿍤􁺑􁺎􁺔􁺍􁺏	脔󲉤
跢		
跣		
跤	𨃤	
跦		
跧	􃙽	
跨	㐄𧿾𰸉𨀗𨁣𰸝𨃖􁺜􁺝􁺙􁺟􁺘󾃓􁺞󳡨􁺛󳣴󾃵􁺚	
跩	􃙷	
跪	𥜏𧻜𨅠󳥴􁺯􁺮􁺪􁺬􁺫􁺭􁺩	
跫	𧿖􃙾󾃏􃙿	
跬	䞨蹞𨇪􃙻	󻸓
跭		
跮		
路	𡽘𨱴􁺠󳟑󾃙󾃝􁺡􁺣􁺤􁺢􁺥󾃢󳢫󳢪󳣵	
跰	跰􃙺	
跱	𨂄𨃉󳟏	
跲	𨕽	
跳	趒𧿮䟭𨁓𨁔𨃜􁺦󾃠􁺨􁺧	
跴		
跺	跥	
跼	𨄙󾃩󾄛	
跽	𦜕𨃡􃚅􃚃􃚄􃚂󾃪	𨄲
跾	𢞣𢢱𨁀󿿜􃚋	
跿	𨃝􃚁	
踀		
踂	踙	􃚀
踃		
踄	􄾤	
踅	䠠	
踆	𰸓	
踇	􃚊	
踉		
踊	𧻹䞻踴􃚉􃚇􃚆􃚈	󾽉
踍		
踏	蹋𨅍𨅵𨆀蹹躢󶅼􁺹󹑡	
踐	践􁺲􁺳􁺱􁺴󹯼􁺰󳤔󳣓󳥿􁺵􁺶	
踑	𧿄䟚𨄎𨅤	
踒	𨄖	
踓		
踔		
踕	𨄀	
踖	趞𧾀𨅦𨆮	
踗	󾃸	
踘		
踙		
踚		
踛	𨅩􃚐	
踜	𨀱	
踝		
踞		
踟	􁺺	
踠	􃚍􃚌	
踡	䠰􃚏	𨃪
踢	踼􁺷􁺸	
踣	䞜𧻳䞳䞸𧽂𧽴䟔	
踤	𧺒􃚎	
踥		
踦	󾄖	
踧	𨀚𨁕󾃨	
踩		
踫	𨂝	
踮		
踰	𡫞𨄫󴨣󾄓	
踱	𨀟	
踳	僢堾蝽𨅱	
踴	踊𨂹𨃒􁺽􁺿􁺾	
踵	歱𣦟󳦿󾄡	
踶	𨁃	
踷		
踸		
踹	􁻁	
踺		
踻	𨀩	
踼	𨃠蹚𨄆𨆉􃚑􃚓􃚒	
踽		
踾		
踿		
蹀	𨁻𨂏𨅈󾃯󾄈󾄴	
蹁	𨇱􃚔􃚕	
蹂	𧿪􁻀	
蹃	􄾮	
蹄	𨀭𨂶蹏𨄪􁺼􁺻	
蹅		
蹇	𨇥䮿󴦁􃚝􃚜	
蹈	𰸒𨂆𨂻􁻆󾃺􁻅􁻈􁻇󹖰􁻄	
蹉	𲃽𨇏􁻂	􁻃
蹊	𤲺	
蹋	蹹𨆚躢􃩷󶅼	𮛥
蹌	𦭠𦭫𦯤跄􃚛󳜜	
蹍	𧿸𨃨󵧡󾃊󾄊	
蹎	𧽍𨈃󱲱􃚙󾄬􃚖􃚘􃚗	
蹐	𨇋􃚚	
蹓	󾄻	
蹔	󽷥󽷺	󾅩
