正字	異体字	附録字
㣇	𡱃㣇𢑞𧱈􄌥􄌦􄌤󴯫󴯼	𧰺
㣈	𠭾𠮇𨽼󲩈󱂋󴱛	𰇅󰘺
㣌		
㣍		
㣎	𢒮𤽖󰺿󰛂	
㣑		
㣒	􄌯󳿵	
㣓		
㣔		
㣙		
㣚		
㣛		
㣜		
㣝		
㣞	􄌱	
㣟		
㣠		
㣢		
㣣	㣣	
㣤	𧗸􄌸􄌹	
㣥		
㣪		
㣫	徸	
㣬	𢕃	
㣭	𨔩	
㣯		
㣰		
㣱		
㣶	􄍊	
㣷	􄍍	
㣻	󲧤	
㣾		
㣿	𢗇	
㤃	􅣯	
㤄	𢘀𢘨􄍖	
㤆		
㤈		
㤉	𱝽𢗬愘	
㤋	􅤋	
㤌		
㤍		
㤎		
㤏	𢦃𧖂	
㤒	𢙋𢡋􄍙󴞴	
㤔		
㤕		
㤖	詝	
㤚		
㤜	怴󶚭	
㤝	􄍚	
㤞	𢖲𰑛𢜬	
㤡	㤠𢤆󼘤	
㤢		
㤥		
㤦		
㤧		
㤨		
㤮	𢞪􄍪􄍩􄍨	
㤯		
㤱		
㤲	悏	
㤳		
㤴	𢛏	
㤶		
㤷	󴜤	
㤻	𢘵𢘴𢚿	
㤾		
㤿	𢜰	
㥀	􃢱󺌆	
㥂		
㥄		
㥅		
㥆	𢘶𱞩𢠻􄍫􄍬	
㥇		
㥈		
㥊		
㥋	偯	
㥌		
㥏	睓𦖌	
㥒	􄍯	
㥓	󴝩	
㥔	􄍤	
㥖		
㥚	㤤􄎇	
㥛	𢞳󴝎􄍾􄍿	
㥜		
㥝	󼘡	
㥟	𢞶𢠟󴝱	
㥡		
㥢	𢢕􄍺	
㥣	𢞨	
㥤	􄎌	
㥥		
㥨		
㥩		
㥬		
㥮	㤘	
㥯	㦩􄎙	
㥰		
㥲	󼘻􄎗	
㥳		
㥴	􄎖󴞉	
㥶	𢞝𢤑𢥛𢥜	
㥷	󺹾󺺒󰶞󺺏	
㥹		𢚅
㥼		
㥽		
㥾	􄎡􄎠	
㦀		
㦁	慩𢣜	
㦃	􄎞	
㦅	慸􄎢󴟊	
㦆	􄎥	
㦇		
㦊		
㦋		
㦌		
㦎	𢟸􄎱	
㦏		
㦐		
㦑		
㦓		
㦕	󴟹	
㦗		
㦘		
㦚	𢣑𢤴𨐵	
㦛	𢗓𢚎懙𢣟	
㦜		
㦝	𢤧󼚡	
㦟	󾉓􄏑	
㦡		
㦢	􄏀	
㦣	󼚭󼚻	
㦥		
㦦	㤸􄏡􄏣􄏢	
㦩		
㦪	𢥥	
㦫	𭟎	
㦬	𩉙􄏩	
㦭		
㦰	𢦜𢦝𭟲䇝󺭌󻔱	󻔡
㦴	㪾󵄙󵉍	
㦵		
㦶		
㦹	􄏱􄏲	
㦺	𢾯􄏴􄏵􄏶􄏷	
㦻	􄏹􁮌	
㦼		
㦿	𣓅	
㧀		
㧁	𢈊􄏺	
㧃		
㧄		
㧅		
㧆		
㧇		
㧉		
㧊	𢫂󿂣󿂘	
㧋		
㧌		
㧎		
㧒	抭	
㧓		
㧔		
㧕	󲻷󿃇	󿃄
㧗		
㧘		
㧙	捌	
㧚	𢭨	
㧡	󿂼	
㧢		
㧣		
㧤	􄐅	
㧥		
㧦	揈	
㧩		
㧪		
㧫	󽑦	
㧬	㧭𢭤􄐊􄐋	󻬢
㧭		
㧮	􄐈	
㧯		
㧲		
㧳	𢯌	
㧴		
㧶	揁	
㧷		
㧸	􄐌	
㧹	𢰐	
㧺	𩎽󿃮	
㧻	󰻓	
㧾		
㨁	󿃆􄐗􄐖	
㨂		
㨃	󿄲	
㨄	𠠄	
㨅	󿃙􄐙	
㨆		
㨊	撱𢸦	
㨋		
㨌	􄐦	
㨍		
㨎		
㨏	􄐤	
㨐		
㨑		
㨒		
㨔	􄐡	
㨖	󿅏􄐠󿅐	
㨙	𢭁	
㨚	𢵀􄐯	
㨛		
㨜	󿃴󿄛􄐭	
㨝		
㨞		
㨟		
㨠	𢳡􄐨󿄹	
㨡	𢬼捆	
㨢		
㨥		
㨧	撪􄐳	
㨪		
㨭		
㨮	󷕤	
㨰	󵝿	
㨳	􄐴	
㨴		
㨷	挋􄐸	
㨸		
㨹	𢴥	
㨺		
㨻		
㨾	𢵎󺹖󺹞󰡲􄐵􄐶	
㩄		
㩆		
㩇		
㩈		
㩊		
㩋	𢱩𢸳𢹱	
㩌	𢴢	
㩍	拺㨲㩞󳀗	
㩐		
㩖		
㩚	󿇎􄑑􄑒	
