親字	旧字	異体字
懈		𢢣
懊		㤇
懍		懔
懐	懷	
懕		㦔
懜		懵
懣		𢡛
懦		愞
懲	懲	
懶		懶
懺		懴
懼		愳
懿		㦤
戎		𢦦
成	成	
或		㦯
戛		戞
戟		𢧢
戦	戰	
截		𢧵
戯	戲	戱
戴		戴
戸	戶	户
戻	戾	
払	拂	
批		𢱧
扼		㧖搹
折		㪿
抜	拔	㧞
択	擇	
抽		𢭆
担	擔担	
拇		胟
拋		抛
拍		𢫦
拕		拖扡
拘		抅
拝	拜	
拠	據	㩀
拡	擴	㨯
拯		抍
拳		𢮙
拽		捙
拿		拏
指		𢫾
挙	擧	舉
挟	挾	
挿	插	揷
捐		捐
捜	搜	搜
捥		𢪸
掎		𢰤
掔		孯
掬		匊
掲	揭	
揄		𢶖
揶		捓
揺	搖	
搒		𢮔
搔		掻
搢		搢
搩		𢷡
搭		撘
携		𢹂㩗擕攜
摂	攝	
摑		掴
摻		撡
撃	擊	
撈		𢭐
撐		撑
播		𢿥
撼		㨔
撿		𢮦
擁		𢹬
擂		攂
擎		擏㢣
擡		抬
擣		搗𢭏
攢		攅
攪		撹
攫		爴
攬		㩜擥
攴		攵
敏	敏	
教	敎	
敢		𠭖
敦		㪟
数	數	𢿙
敲		搞㪣
整		𢿫
敵		𢿪
敷		旉𢾭
斉	齊	斊亝
斎	齋	斋
斑		辬
斟		酙
斥		㡿
斧		𨨞
断	斷	𣃔
斲		𠠇斵
於		扵
旁		㫄
旃		𣃼旜
旅	旅	
旆		斾
旒		㐬
旗		簱籏
旛		旙
既	旣	既
旧	舊	𦾔
旨		𠤔㫖
昂		昻
昃		𣅦
昇		曻
明		朙
昏		昬
星		皨曐
映		暎
春		萅旾
是		昰
昴		𣆻
昵		暱
昺		昞
昼	晝	
時		时旹
晃		晄
晋	晉	㬜
晒		曬
晟		晠
晢		晣
晩	晚	𣆶
普		暜
晰		晳
晴	晴	暒
晶		𣇵
暁	曉	
暄		煊
暑	暑	
暖		㬉
暦	曆	
暴		㬥
曄		曅
曠		昿
曦		㬢
曳		曵
更		㪅
曹		𣍘曺
曼		㬅
曽	曾	
替		㬱
最		㝡冣
朏		𣍧
朗	朗	朖
期		朞
朶		䒳朵
朽		𣏓
杆		桿
杉		杦
村		邨
杓		𣏐
条	條	
来	來	耒
杮		𣏕
杯		㮎桮盃
松		㮤梥柗枀枩
枕		𣏝
枡		桝
枢	樞	
枻		栧
柄		棅
柏		栢
柩		匛
柰		㮈
柳		栁桺
柵		栅柠
柺		枴
査		查
柿		柹
栃		𣜜杤
栄	榮	荣
栗		㮚
栟		栟
校		挍
栲		𣑥
栴		㮵
案		桉
桑		桒桒
桔		㮮
桜	櫻	
桟	棧	
梅	梅	坆槑栂楳
梓		榟杍
梔		栀
梨		棃
梱		棞
棄		弃
棋		棊
棬		椦
棲		栖
椁		槨
植		㯰
検	檢	
椰		㭨
椶		棕
楕		橢
楠		柟枏
楫		檝
楮		柠
楼	樓	
楽	樂	
楾		𤭯
概	槪	槩槪
榓		櫁樒
榴		橊
榼		𣖁
槁		槀
槃		柈
様	樣	
槙	槇	
槳		㯍
槵		梙
槶		椢
模		橅糢
権	權	
横	橫	
樸		檏
樹		𣗳
樽		罇墫
橈		𣓤
橋		𣘺槗
橌		橺
橐		槖
橛		橜
檃		櫽
檔		档
檗		蘗檘
檜		桧
檣		樯
檮		梼
檳		梹
櫟		檪
櫨		枦
櫱		蘖
櫳		㰍槞
櫺		欞
欄	欄	
欅		﨔
欒		栾
欖		㰖
欛		𣠽
欠	欠缺	𡙇缼
欧	歐	
欻		歘
款		欵㱁
歌		謌
歓	歡	
歔		歔
歩	步	
歯	齒	
歳	歲	
歴	歷	
歹		歺
歿		歾殁
殂		𣧫
残	殘	
殲		殱
殴	毆	
殺	殺	煞
殻	殼	㱿壳
毀		毁
毎	每	
毘		𣬈毗
毟		挘毮
氅		𪅶
氈		氊毡
氐		弖
気	氣	炁
氛		𣱦
氷		冰
汚		污洿汙
汴		汳
決		决
沃		𣵽
沈		沉
沖		冲
没	沒	
沢	澤	
沱		𣵺沲
沿		㳂沿
況		况况
泄		𣳘
泉		洤
法		㳒灋
泝		㴑
