親字	旧字	正字	本字	同字	古字	簡易	俗字
瞿							
矃							
矇							
矉							
矍							
矐							
矑							
矕							
矗							
矙							
矚							瞩
矛							
矜							
矞							
矟							
矠							
矢				笶			
矣							
知							
矧			矤	訠			
矩				榘			
矪							
矬							
短							
矮							
矯							
矰							
矱							
石							
矸							
矻							
矼							
砂							
砅							
砆							
砉							
砌							
砍							
砎							
砑							
砒							
研	硏						
砕	碎						
砙							
砝							
砠							
砡							
砢							
砣							
砥							
砦							
砧							
砬							
砭							
砮							
砰							
砲				礟礮			
破							
砵							
砷							
硃							
硄							
硅							
硇							
硈							
硌							
硎							
硑							
硒							
硜							
硝							
硞							
硠							
硡							
硣							
硤							
硨							
硪							
硫							
硬							
确							
硯							
硲							
硴							
硺							
硼							
硾							
碁							
碆							
碇				矴			
碊							𥒎
碌							
碏							
碑	碑						
碓							
碔							
碗							
碘							
碚							
碝							
碞							
碟							
碡							
碣							
碤							
碧							
碨							
碩							
碪							
碬							
碭							
碲							
碳							
碵							
確							
碻							
碼							
碽							
碾							
碿							
磁	𥔵			礠			
磅							
磆							
磇							
磈							
磉							
磊							
磋							
磌							
磎							
磏							
磐							
磑							
磒							
磓							
磔							
磕							
磖							
磚							
磛							
磟							
磠							
磡							
磤							
磦							
磧							
磨			䃺				
磪							
磬							
磯							
磲							
磳							
磴							
磶							
磷							
磹							
磺							
磻							
磼							
磽				墝			
磾							
磿							
礁							
礇							
礌							
礎							
礐							
礑							
礒							
礔							
礘							
礙				㝵			碍
礚							
礛							
礜							
礞							
礥							
礦							砿
礧							
礩							
礪							砺
礫							
礬							
礭							
礰							
礱							
礴							
礵							
示							
礼	禮				礼		
礽							
社	社						
礿				禴			
祀				禩			
祁							
祄							
祅							
祆							
祇							
祈	祈						
祉	祉						
祊							
祋							
祏							
祐	祐						
祑							
祓							秡
祔							
祖	祖						
祗							
祘							
祚							
祛							
祜							
祝	祝						
神	神			䰠			
祟							
祠							
祡							
祥	祥						
祧							
票			𤐫				
祩							秼
祫							
祭							
祲							
祹							
祺							
祻							
祼							
祾							
禁							
禄	祿						
禅	禪						
禊							
禋							
禌							
禍	禍				旤		
禎	禎						
福	福						
禑							
禓							
禔							
禕							
禖							
禘							
禛							
禜							
禝							
禡							
禦							
禧							
禨							
禫							
禯							
禰							祢
禱						祷	
禳							
禸							
禹							
禺							
离							
禼							
禽							
禾							
禿							
秀							
私							
秂							
秄							
秈							
秉							
秋			秌		龝𪛁		穐
种							
科							
秒							
秕				粃			
秖							
秘	祕						
秚							
秝							
秞							
租							
秠							
秢							
秣							
秤							
秥							
秦							
秧							
秩							
秪							
秫							
秬							
秭							
称	稱						穪
秱							
秸							
移							
稀							
稂							
稃							
稈				秆			
稊							
程							
稌							
稍							
税	稅						
稑							
稔							
稕							
稗							
稘							
稙							
稚			稺	穉			
稛				稇			
稜							
稞							
稟							禀
稠							
稡							
稧							
稫							
稭							
種							
稯							
稰							
稲	稻						
稴							
稵							
稷							
稸							
稹							
稼							
稽							𥡴
稿		稾		藳			
穀	穀			糓			
穂	穗						
穃							
穄							
穆							
穇							
穈							
穌							
積							
穎						頴	
穏	穩						
穕							
穖							
穙							
穜							
穝							
穟							
穠							
穡							
穢							
穣	穰						
穥							
穧							
穫							
穭							
穴							
穵							
究							
穸							
穹				宆			
空							
穽				阱	汫		
穾							
穿							
窀							
突	突						
窂							
窃	竊						
窄							
窅							
窆							
窈							
窊							
窋							
窐							
窒							
窓		窗	囱	牎牕窻			䆫
窔							
窕							
窖							
窘							
窞							
窟							
窠							
窣							
窩							
窪				漥			
窬							
窮			竆				
窯				窰			窑
窳							
窵							
窶							
窹							
窺							
窼							
窾							
窿				㝫			
竄							
竅							
竇							
竈							䆴灶竃𥧄
竉							
立							
竌							
竍							
竎							
竏							
竑							
竓							
竕							
站							
竚							
竛							
竜	龍				龒		
竟							
章							
竡							
竣							
童							
竦							
竧							
竨							
竪							
竫							
竬							
竭							
端							
竰							
竱							
竴							
競							竸
竹							
竺							
竻							
竽							
竾							
竿							
笂							
笆							
笇							
笈							
笊							
笏							
笑			𥬇				
笒							
笘							
笙							
笛							
笞							
笟							
笠							
笣							
笥							
符							
笧							
笨							
笩							
笪							
笫							
第							㐧
笭							
笮							
笯							
笰							
笱							
笳							
笴							
笵							
笹							
笽							
笿							
筀							
筁							
筅							
筆				笔			
筇							笻
筈							
等							
筋							
筌							
筍				笋箰			
筎							
筏				栰			
筐							筺
筑							
筒							
筓							笄
答							
筕							
策							
筠							
筤							
筥							
筦							
筧							
筩							
筪							
筬							
筮							
筯							
筰							
筲							
筳							
筴							
筵							
筷							
箄							
箇							
箉							
箋							䇳
箍							
箎							
箏							筝
箐							
箑							
箒				菷			
箔							
箕							
箖							
算				筭			
箘					箟		
箙							
箛							
箜							
箝							
箞							
箠							
管							
箥							
箬				篛			
箭							
箯							
箱							
箲							
箴							
箵							
箶							
箸							
箺							
箻							
箼							
箽							
箾							
節	節						
篁							
篂							
範							
篅							
篆							
篇							
篈							
築							
篊							
篋							
篌							
篏							
篔							
篖							
篗							
篙							
篚							
篝				𥵡			
篠			筱				筿
篡							簒
篤				䔍			
篥							
篦							箆
篨							
篩							
篪				䶵			
篰							
篲							
篳							
篴							
篵							
篶							
篷							
篸							
篹							
篺							
篼							
篾							
簀							
簁							
簂							
簃							
簄							
簆							
簇							
簈							
簉							
簋							
簌							
簍							
簎							
簏							
簓							
簗							𥱋
簙							
簛							
簞							箪
簟							
簠			盙	㝬			
簡	𥳑						
簣							
簥							
簦							
簧							
簨							
簪			兂				
簫							
簬							
簳							
簴							
簶							
簷							
簸							
簹							
簺							
簽							
簾							
簿							
籀			籒				籕
籃							
籅							𥫣
籆							
籊							
籌							筹
籍							
籏				簱			
籐				籘			
籑							
籓							
籔							䉤
籗							
籙							
籚							
籛							
籜							
籞							
籟							
籠							篭
籡							
籣							
籤							籖
籥							
籧							
籩							
籬							
籭							
籮							
籯				籝			
籰							
籲				龥			
米							
籵							
籹							
籼							
籽							
籾							
粁							
粂							
粆							
粉							
粋	粹						
粍							
粏							
粐							
粒							
粔							
粕							
粗							
粘		黏					
粛	肅						
粞							
粟							
粠							
粡							
粢							
粤							
粥			鬻				俼
粦			㷠				
粧							
粨							
粫							
粭							
粰							
粱							
粲							
粳		秔					稉
粶							
粷							
粺							
粻							
粼							
粽		糉					
精	精						
粿							
糀							
糂							
糄							
糅							
糈							
糊							
糎							
糏							
糒							
糔							
糕				餻			
糖	糖						𥹥
糗							
糘							
糙							
糚							
糜							
糝							
糞							
糟							
糠				穅粇			
糢							
糦							
糧				粮			
糩							
糫							
糯				稬			
糱				糵			
糲							
糴				籴			
糶				粜			
糸	絲糸						
系							
糾				糺			
紀							
紂							
紃							
約							
紅							
紆							
紇							
紈							
紉							
紊							
紋							
納							
紏							
紐							
紑							
紒							
紓							
純							
紕							
紖							
紗							
紘							綋
紙				帋			
級							
紛							
紜							
紝				絍			
紞							
素							
紡							
索							
紦							
紫							
紬							
紭							
紮							紥
累			絫				
細							
紱							
紲				絏			
紳							
紵							
紹							
紺							
紼							
紽							
紾							
紿							
絀							
絁							
終							
絃							
組							
絅							綗
絆							
絇							
経	經						
絎							
結							
絑							
絓							
絖							
絗							
絙							
絛				縧			
絜							
絞							
絡							
絢							
絣		絣					
絥							
給							
絧							
絨							
絪							
絮							
絰							
統							綂
絳							
絵	繪						
絶	絕						
絹							
絺							
絻							
絽							
絿							
綁							
綃							
綅							
綆							
綈							
綌							
綍							
綏							
綑							
綖							
継	繼			㡭			
続	續						
綛							
綜							
綝							
綞							
綟							
綢							
綣							
綦							
綧							
綪							
綬							
維							
綮							
綯							
綰							
綱							
網							
綴							
綵							
綶							
綷							紣
綸							
綹							
綺							
綻							
綽							
綾							
綿		緜					
緀				紪			
緂							
緃							
緄							
緅							
緆							
緇			𱹼				
緊							
緋							
緌							
緎							
総	總			捴摠緫			揔
緑	綠						
緒	緖						
緗							
緘							
緙							
線				綫			
緝							
緞							
締							
緡				緍			
緢							
緤							
緦							
編							
緩							
緪				絚			
緬							
緭							
緯							
緱							
緲							
練	練						
緵							
緶							
緹							
緺							
緻							
縀							
縁	緣						
縄	繩						
縅							
縈							
縉							縉
縊							
縋							
縐							
縑							
縒							
縕				緼			
縗							
縛							
縜							
縝							
縞							
縟							
縠							
縡							
縢							
縦	縱						
縨							
縫							
縬							
縭							
縮							
縯							
縲							
縳							
縵							
縶							
縷							
縹							
縺							
縻							
績							
縿							
繁	繁						
繃				綳			
繄							
繅							
繆							
繇							
繈				繦			
繊	纖						纎
繎							
繐							
繒							
織				𦀗			
繕							
繖							
繘							
繙							
繚							
繝							
繞							
繟							
繡						繍	綉
繢							
繥							
繧							
繫							繋
繭					絸		蠒
繮							
繯							
繰							
繳							
繵							
繸							
繹							
繻							
繽							
繾							
纁							
纂							
纃							緕
纆							
纇							
纈							
纊							絋
纍							
纏							纒
纐							
纑							䋆
纓							䋝
纔							
纕							
纘							纉
纚							
纛							
纜							䌫
纝							
纞							
缶	罐缶			缻鑵			𨫝
缸							
缿							
罃							
罄							
罅							
罌				甖			
罍							
罏							
网							罒罓
罔							
罕			䍑				
罘							
罛							
罜							
罝							
罟							
罠							
罡							
罣							
罤							
罥							
罦							
罧							
罨							
罩							䈇
罪				辠			
罫							
罭							
置							
罰				罸			
罱							
署	署						
罳							
罵							
罷							
罹							
罻							
罽							
罾							
罿							
羀							
羂							
羅							
羆							
羇							覉
羈							覊
羊							
羋							
羌				羗			
羍							
美							
羏							
羐							羑
羔							
羖							
羚							
羜							
羝							
羞							
羡							
羢							
群		羣					
羦							
羨							
義							
羭							
羯							
羲							𦏁
羴							
羶							
羸							
羹							羮
羼							
羽	羽						
羿							
翀							
翁							
翃							
翅				翄			
翈							
翊							
翌							
翎							
翏							
習							
翔							
翕							
翛							
翟							
翠							翆
翡							
翣							
翥							
翨							
翩							
翫							
翬							
翮							
翯							
翰							
翲							
翳							
翹							
翺		翱					
翻				飜			
翼				𦐂			
翽							
翾							
翿							
耀							
老							
考							
耄							
者	者						
耆							
耇				耈			
耋				耊			
而							
耍							
耎							
耏							
耐							
耑							
耒							
耓							
耔							
耕					畊		
耖							
耗			秏				
耘							
耙							
耜							
耝							
耞							
耟							
耠							
耡							
耤							
耦							
耨				鎒			
耬							
耮							
耰							
耳							
耴							
耵							
耶							
耷							
耹							
耺							
耼							聃
耽							躭
耾							
耿							
聄							
聆							
聊							
聒							
聖							垩
聘							
聚							
聞					𥹢		
聡	聰						聦
聢							
聤							
聭							
聯							聨
聱							
聳							
聴	聽						
聵							
聶							
職							聀軄
聹							
聻							
聾							
聿							
肁							
肄							
肆							
肇			肈				
肉							宍
肋							
肌							
肓							
肖							
肘							
肙							
肚							
肛							
肜							
肝							
肞							
股							
肢							
肥							
肦							
肧							
肩							
肪							
肫							
肭							
肮							
肯			肎				
肱							
育				毓			
肴				餚			
肸							肹
肺							
胃							
胄				伷			
胅							
胆	膽						
胈							
胊							
背							
胍							
胎							
胏							
胒							
胔							
胕							
胖							
胗							
胘							
胙							
胚							
胛							
胜							
胝							
胞							
胠							
胡							
胤							
胥							
胦							
胮							
胯							
胰							
胱							
胲							
胳							
胴							
胵							
胸				胷			
胹							
胺							
胻							
能							
胾							
脂							
脅							脋
脆		脃					
脇							䏮𦚰
脈					衇		脉
脊							
脖							
脗							
脘							
脚		腳		踋			
脛							𦙾
脜							
脞							
脠							
脡							
脤							
脧							
脩							
脬							
脯							
脰							
脱	脫				挩		
脳	腦			匘			
脵							
脹							
脺							
脼							
脽							
脾							腗
腁							胼
腄							
腅							
腆							
腇							
腊							
腋							
腌							
腎							
腐							
腑							
腒							
腓							
腔							
腕							
腠							
腡							
腥							
腧							
腨							
腩							
腫							
腮		顋					
腯							
腰				𦝫			
腱							
腴							
腷							
腸							膓
腹							
腺							
腿							
膀							
膁							
膂				膐			
膃							
膅							
膆							
膈							
膊							
膋							
膎							
膏							
膕							
膖							
膘							
膚				肤			
膛							
膜							
膝			厀				
膞							
膠							
膢							
膣				腟			
膤							
膨							
膩							𧸐
膮							
膰							
膲							
膳				饍			
膴							
膵							
膺							
膻							
膾				鱠			脍
膿							
臀				臋			
臁							
臂							
臅							
臆							
臉							
臊							
臍							𦜝
臎							
臏				髕			
臑							
臓	臟						
臕							
臖							
臗							
臘							
臙				胭			
臚							
臛							
臝							
臞				癯			
臠							
臡							
臣							
臤							
臥							卧
臧							
臨							
自							
臫							
臬							
臭	臭						臰
臮							
臱							
臲							
至							
致	𦤶						
臵							
臶							
臸							
臹							
臻							
臼							
臽							
臾							㬰
臿							
舀							
舁							
舂							㫪𣇃
舃							舄
舅							
興							
舌							
舎	舍						
舏							
舐				舓			䑛
舒							
舔							
舗	舖	鋪					
舙							
舚							
舛							
舜							
舝							
舞							
舟							
舠							
舡							
舢							
舨							
航							
舫							
般							
舲							
舳							
舴							
舵				䑨柁			
舶							
舷							
舸							
船							舩
舺							
舼							
舽							
艀							
艃							
艄							
艅							
艆							
艇							
艉							
艋							
艎							
艏							
艑							
艖							
艗							
艘							
艙							
艚							
艜							
艝							
艟							
艠							
艤							
艦							
艧							
艨							
艪				艣			
艫							舮
艭							
艮			𥃩				
良							
艱					囏		
色							
艴							
艶	艷	豔	豓				
艸							
艻							
艽				芁			
艾				𦫿			
艿							
芀							
芃							
芄							
芇							
芉							
芊							
芋							
芍							
芎							
芑							
芒			𦬆				
芓				茡			
芖							
芘							
芙							
芚							
芛							
芝							
芟							
芠							
芡							
芣							
芤							
芥							
芦	蘆						
芧							
芨							
芩							
芪							
芫							
芬							
芭							
芮							
芯							
芰							
花							芲
芳							
芴							
芷							
芸	藝芸			蓺	秇		
芹							
芺							
芻				蒭			
芼							
芽	芽						
芾							
芿							
苆							
苐							
苑							
苒							
苓							
苔							
苕							
苗							
苙							
苚							
苛							
苜							
苞							
苟							
苠							
苡			苢				
苣							
苤							
若							
苦							
苧							
苨							
苪							
苫							
苭							
苯							
英							偀
苳							
苴							
苶							
苷							
苹							
苺							
苻							
苾							
茀							
茁							
茂							
范							
茄							
茅							
茆							
茇							
茈							
茉							
茋							
茌							
茎	莖						
茖							
茗							
茘		荔					
茛							
茜							
茝							
茞							
茟							
茢							
茣							
茨							
茩							
茫							
茬							
茭							
茮							
茯							
茱							
茲					茊		兹
茳							
茴							
茵				䓰			
茶							
茷							
茸							
茹							
茺							
茼							
茽							
荀							
荂							
荃							
荄							
荅							
荇				莕			
草							
荊		荆					
荍							
荎							
荏							
荐							
荑							
荒							
荓							
荕							
荖							
荗							
荘	莊						㽵
荢							
荰							
荳							
荵							
荷							
荸							
荻				蔐藡			𦿷
荼							
荽							
荿							
莀							
莂							
莄							
莅				涖			蒞
莆							
莇							
莉							
莍							
莎							
莒							
莓							
莔							
莘							
莙							
莚							
莛							
莜							
莝							
莞							
莟							
莠							
莢							
莦							
莧							
莨							
莩							
莪							
莫							
莬							
莭							
莮							
莿							
菀							
菁							
菅							
菆							
菇							
菉							
菊							
菌							
菎							
菏							
菐							
菓							
菔							
菖							
菘							
菜							
菝							
菟				莵			
菠							
菡							
菥							
菨							
菩							
菪							
菫							
華	華			蕐			
菰			苽				
菱				蔆			
菲							
菴					葊		
菶							
菸							
菹				葅			
菻							
菼							
菽							
萁							
萃							
萄							
萆							
萇							
萊							莱
萋							
萌							萠
萍							
萎							
萏				𧂄			
萑							
萓							
萗							
萙							
萢							
萩							
萪							
萯							
萱				蕿藼蘐			
萵							
萸							茰
萹							
萼							蕚
落							
葄							
葆							
葇							
葈							
葉							
葍							
葎							
葏							
葐							
葑							
葒							
葖							
著	著						
葘							菑
葙							
葚							
葛							
葜							
葟							
葠							
葡							
董							
葤							
葥							
葦							
葧							
葩							
葫							
葬							塟
葭							
葮							
葯							
葰							
葱		蔥					
葳							
葴							
葵							
葶							
葷							
葸							
葹							
葺							
葼							
葽							
蒁							
蒄							
蒅							
蒐							
蒒							
蒔							
蒕							
蒗							
蒙							
蒜							
蒟							
蒡							
蒦				彠			
蒧							
蒨				蔳			
蒩							
蒪							
蒯							
蒱							
蒲							
蒴							
蒸							
蒹							
蒺							
蒻							
蒼							
蒽							
蒾							
蒿							
蓀							
蓁							
蓂							
蓄							
蓆							
蓇							
蓈							
蓉							
蓊							
蓋				葢			盖
蓌							
蓍							
蓎							
蓏							
蓐							
蓑				簑			簔
蓓							
蓖							
蓙							
蓚		蓨					
蓜							
蓧							
蓪							
蓬							
蓮	蓮						
蓯							
蓰							
蓱							
蓲							
蓴				蒓			
蓷							
蓻							
蓼							
蓽							
蓿							
蔀							
蔂							
蔃							
蔇							
蔌							
蔎							
蔑							
蔓							
蔔							
蔕				蒂			
蔗							
蔘			薓				
蔚							
蔛							
蔜							
蔞							
蔟							
蔡							
蔢							
蔣						蒋	
蔤							
蔦							
蔧							
蔪							
蔫							
蔬							
蔭							䕃𦹥𨼲
蔯							
蔲							
蔵	藏						
蔶							
蔽							
蔾							
蔿							
蕀							
蕁							
蕃							
蕆							
蕈							
蕉							
蕊							蕋蘂
蕎							
蕏							
蕑							
蕒							
蕓							
蕕							
蕖							
蕗							
蕘							
蕙							
蕜							
蕝							
蕞							
蕟							
蕠							
蕡							
蕢							
蕣							
蕤							
蕨							
蕩				蘯			
蕪							
蕫							
蕭							䔥
蕯							
蕷							
蕹							
蕺							
蕻							
蕽							
蕾							
薀				蕰			
薁							
薄							
薅							
薆							
薇							
薈							
薉							
薊							葪
薋							
薌							
薏							
薐							
薑			䕬				
薔							
薘							
薙							
薛			𧃎				
薜							
薝							
薟							
薠							
薢							
薤							
薥							
薦				侟			
薧							
薨							
薩							
薪							
薫	薰			蘍			
薬	藥						
薭							
薯							
薴							
薷							
薸							
薹							
薺							萕
薼							
薽							
薾							
薿							
藁							
藂							
藇							
藉							
藊							
藋							
藍							
藎							
藐							
藕							
藘							
藙							
藚							
藜							
藟							
藠							
藤				䕨			
藦							
藨							
藩							
藪							薮
藭							
藶							
藷							
藹							
藺							
藻							
藾							
藿							
蘀							
蘄							
蘅							
蘇							蘓
蘊							
蘋							
蘑							
蘖		櫱					
蘘							
蘙							
蘚							
蘛							
蘞							
蘠							
蘡							
蘢							
蘤							
蘧							
蘩							
蘭	蘭						
蘰							
蘶							
蘸							
蘹							
蘺							
蘼							
蘽							
蘿							
虂							
虆							
虍							
虎					虝		乕
虐							
虒							
虓							
虔							
虖							
虘							
虙							
虚	虛			虗			
虜	虜						
虞							
虠							
虡							
虢							
虣							
虤							
虧							𧇾
虩							
虫	蟲虫						䖝
虯							虬
虶							
虷							
虹							
虺							
虻				蝱			
蚇							
蚈							
蚊		蟁		蚉			
蚋		蜹					
蚌				蜯			
蚍							
蚑							
蚓							
蚕	蠶			蠺			蝅
蚖							
蚗							
蚘							
蚚							
蚜							
蚝							
蚡							
蚣							
蚤							
蚦							
蚧							
蚨							
蚩							
蚪							
蚫							
蚭							
蚯							
蚰							
蚱							
蚳							
蚴							
蚵							
蚶							
蚷							
蚸							
蚹							
蚿							
蛀							
蛁							
蛃							
蛄							
蛅							
蛆							
蛇							虵
蛈							
蛉							
蛋							
蛍	螢						
蛑							
蛒							
蛔							
蛕							
蛗							𧑉
蛙				䵷鼃			
蛚							
蛛							
蛜							
蛞							
蛟							
蛠							
蛣							
蛤							
蛥							
蛦							
蛩							
蛬							
蛭							
蛮	蠻						
蛯							
蛷							
蛸							
蛹							
蛺							
蛻							
蛼							
蛾				䖸			
蜀							
蜂			蠭				
蜃							
蜄							
蜅							
蜆							
蜇							
蜈							
蜉							
蜊							
蜍							
蜎							
蜏							
蜐							
蜑							
蜒							
蜓							
蜔							
蜘							
蜙							
蜚							
蜜							
蜞							
蜟							
蜡							
蜣							
蜥							
蜨							
蜩							
蜮							
蜱							
蜲							
蜴							
蜷							
蜺							
蜻							
蜼							
蜽							
蜾							
蜿							
蝀							
蝄			蛧				
蝌							
蝍							
蝎							
蝑							
蝓							
蝕							
蝗							
蝘							
蝙							
蝝							
蝟				猬			
蝠							
蝡							
蝣							
蝤							
蝥							
蝦							
蝨							虱
蝪							
蝮							
蝯							
蝲							
蝴							
蝶							
蝸							
蝻							
螂				蜋			
螃							
螄							
螅							
螇							
螈							
螉							
螋							
螌							
融							
螐							
螓							
螕							
螗							
螞							
螟							
螠							
螣							
螧							
螫							
螬							
螭							
螮				蝃			
螯							
螱							
螳							
螵							
螺							
螻							蝼
螽							
螾							
螿							
蟀							
蟄							
蟇							蟆
蟈							
蟉							
蟊							
蟋							
蟎							
蟐							
蟒							蠎
蟕							
蟖							
蟙							
蟚							
蟜							
蟟							
蟠							
蟢							
蟣							
蟤							
蟥							
蟦							
蟪							
蟫							
蟬							蝉
蟭							
蟯							
蟱							
蟳							
蟵							
蟶							
蟷							
蟹				蠏			
蟺							
蟻				螘			
蟾							
蟿							
蠁							
蠃							
蠅							蝿
蠆							
蠉							
蠊							
蠋							
蠍							
蠐							
蠑							
蠓							
蠔							
蠕							
蠖							
蠘							
蠙							
蠚							
蠛							
蠜							
蠞							
蠟						蝋	䗶
蠡				蟸			
蠢							
蠣				蠇			蛎
蠨							
蠮							
蠰							
蠱							
蠲							
蠵							
蠷							
蠹				蠧	螙		
蠼							
血							
衁							
衃							
衄							衂
衅							
衆			眾				
衈							
衉							䘔
衊							
衋							
行							
衍							
衎							
衑							
衒							
術							
衕							
街							
衙							
衚							
衛	衞						
衝							
衠							
衡							
衢							
衣							
表							
衩							
衫							
衮							袞
衯							
衰							
衱							
衲							
衵							
衷							
衹							
衻							
衽				袵			
衾			𧘭				
衿							
袀							
袁							
袂							
袈							
袋				帒			
袍							
袒							
袖							
袗				袮			
袘							
袙							
袚							
袛							
袜							
袟							
袢							
袤							
袨							
袪							
被							
袰							
袱							
袴				絝			褲
袷				裌			
袺							
袼							
袽							
袾							
袿							
裀							
裁							
裂							
裃							
裄							
装	裝						
裊				褭			
裋							
裍							
裎							
裏							
裑							
裒							
裓							
裔							
裕							
裘							
裙				帬			
裛							
補							
裞							
裟							
裡							
裧							
裨							
裯							
裰							
裱							
裲							
裳							
裴			裵				
裷							
裸				躶			
裹							
裼							
製							
裾							
褁							
褂							
褄							
褆							
複							
褊							
褌							
褍							
褎				褏			
褐	褐						
褒	襃						
褓		緥					
褕							
褖							
褘							
褙							
褚							
褜							
褞							
褠							
褡							
褥							
褦							
褧							
褨							
褪							
褫							
褰							
褱							
褵							
褶							
褷							
褸							
褹							
褺							
褻							
褾							
襀							
襁							
襂							
襄							㐮
襅							
襆							
襉							
襌							褝
襏							
襒							
襖							
襗							
襚							
襛							
襜							
襞							
襟				䘳			
襠							
襡							
襢							
襣							
襤				繿			
襦							
襫							
襭							
襮							
襯							
襰							
襲							
襳							
襴				襽			
襵							
襶							
襷							𧜎
襺							
襻							
襼							
襾							
西					卥		
要							
覂							
覃							
覆	覆						
覇		霸					
覈							
見							
規			䂓				
覓							覔
覕							
視	視				眎		
覗							
覘							
覚	覺				覐		
覛							
覜							
覟							
覠							
覡							
覥							
覦							
覧	覽						
親							
覬							
覯							
覰							覷
覲							
観	觀						
覴							
覵							
覶							覼
覿							
角							
觔							
觕							
觖							
觗							
觘							
觚							
觜							
觝							
觡							
解							觧
觥				觵			
触	觸						
觩							
觫							
觭							
觱							
觳							
觴							
觶							
觿				觹觽			
言							
訂							
訃							
訄							
訅							
訇							
計							
訊							
訌							
討							
訏							
訐							
訑							
訒							
訓							
訔							
訕							
訖							
託							
記				𧪄			
訛		譌					
訝							
訞							
訟							
訢							
訣							
訤							
訥							
訦							
訩							
訪							
訬							
設							
訯							
許							
訳	譯						
訴							
訵							
訶				哬			
訷							
診				𧦜			
註							
証	證証						
訾				訿			
詀							
詁							
詃							
詄							
詅							
詆							
詇							
詈							
詉							
詍							
詎							
詐							
詑							
詒							
詓							
詔							
評							
詖							
詗							
詘							
詛							
詜							
詝							
詞							
詠				咏			
詡							
詢							
詣							
詥							
試							
詩							
詫							
詬				訽			
詭							
詮							
詰							
話							
該							
詳							
詵							
詶							
詷							
詹							
詺							
詻							
詼							
詾							
詿							
誀							
誂							
誃							
誄							
誅							
誆							
誇							
誉	譽						
誋							
誌							
認							
誏							
誐							
誑							
誒							
誓							
誕							
誖							
誗							
誘				唀			
誙							
誚							
語							
誟							
誠							
誡							
誣							
誤							
誥							
誦							
誧							
誨							
誩							
説	說						
読	讀						
誮							
誰							
課							
誳							
誶							
誷							
誹							
誻							
誼			𧧼		竩		
誾							
調							
諂							
諃							
諄							
諆							
談							
諈							
諉							
諊							
請							
諍							
諏							
諑							
諒							
諓							
諔							
諕				譹			
論							
諗							
諚							
諛							䛕
諜							
諝							
諞							
諟							
諠							
諡		謚					
諢							
諤				讍			
諦							
諧							
諫							諌
諭	諭						
諮							
諰							
諱							
諳							
諴							
諵							
諶							
諷							
諸	諸						
諺							
諼							
諾							
諿							
謀							
謁	謁						
謂							
謄							
謅							
謆							
謇							
謊			詤				
謋							
謍							
謎							
謏							
謐							
謑							
謔							
謖							
謗							
謙							
講							
謜							
謝							
謞							
謟							
謡	謠						
謦							
謨							
謫				讁			
謬							
謰							
謳							𧦅
謷				謸			
謹	謹						
謼							
謾							
譂							
譃							
譄							
譅							
譆							
譈							
譊							
譍							
譎							
譏							
譑							
譒							
譓							
譔							
譖							譛
識							
譙							
譚							
譜							
譞							
譟							
譣							
警							
譩							
譫							
譬							
譭							
議							
譲	讓						
譴							
譶							
護							
譸							
譾				謭			
譿							
讃	讚						
讄							
讅							
讋							
讌				醼			
讏							
讐				讎			
讒							䜛
讔							
讕							
讖							䜟
讙							
讜							
讝							
讞							
讟							
谷							
谸							
谹							
谺				岈			
谽							
谾							
豁							
豅							𧯇
豆							
豇							
豈							
豉							
豊	豐豊						
豋							
豌				𧯡			
豎							
豏							
豑							
豕							
豗							
豙							
豚				豘			
豛							
豝							
象							𧰼
豢							
豣							
豤				貇			
豦							
豨							
豩							
豪							
豭							
豳							
豵							
豶							
豸							
豹							
豺				犲			
豻				犴貋			
豾							
貂				鼦			𧲸
貅							
貆							
貉				狢			
貊				貃			
貌				皃			㒵
貐							
貒							
貔				豼			
貘				獏			
貙							
貛							
貜							
貝							蛽
貞							
負							
財							
貢							
貣							
貤							
貧							
貨							
販							
貪							
貫							
責							
貯							
貰							
貲							
貴			䝿				
貶							
買							
貸							
貹							
貺							
費							
貼							
貽							
貿							
賀							
賂							
賃							
賄							
賅							
賆							
資							
賈							
賊							戝
賏							
賑							
賓	賓						賔
賕							
賖							賒
賙							
賚				𧶛			
賛	贊						
賜							
賝							
賞							
賠							
賡							
賢					贒		䝨
賤							賎
賦							
賨							
質							貭
賬							
賭							
賯							
賰							
賱							
賲							
賵							
賸							
賺							
賻							
購							
賽							
賾							
賿							
贃							
贄							
贅							
贇							
贈	贈						
贉							
贋		贗		偐			
贍							
贎							
贏							
贐				賮			
贓							賍
贔							
贖							
贛							
赤							
赥							
赦				𢼜			
赧							
赩							
赫							
赬							頳
赭							
赮							
走			𧺆				赱
赳							
赴							
起							
趁				趂			
趄							
超							
趈							
越							
趐							
趑				䠖			趦
趕							
趙							
趞							
趟							
趠							
趡							
趣							
趨							趍
趫							
趬							
趯							
趲							
足							
趵							
趷							
趹							
趺							
趼							
趾							
趿							
跀							
跂							
跅							
跆							
跇							
跈							
跊							
跋							䟦
跌							
跎				𧿶			
跏							
跑							
跔							
跕							
跖							
跗							
跙							
跚							
跛							
距							
跟							
跡							
跣							
跤							
跥							
跧							
跨							
跪							
跫							
跬				蹞			
路							
跱							
跲							
跳							
跴							
践	踐						
跼							
跽							
跿							
踁							
踄							
踅							
踆							
踉							
踊				踴			
踏							
踑							
踔							
踖							
踝							
踞							
踟							
踠							
踡							
踢							
踣							
踤							
踦							
踧							
踪				蹤			
踰							
踱							
踳							
踵							
踶							
踷							
