親字	旧字	異体字
屈		
届	屆	
屋		
屍		
屎		
屑		
展		
屛		屏
属	屬	
屠		
屢		屡
層	層	
履		
屭		屓
屮		
屯		
山		
屶		
屹		
岌		
岐		
岑		
岔		
岡		堽
岨		
岩		
岫		
岬		
岱		
岳	嶽	
岸		
峙		
峠		
峡	峽	
峨		峩
峪		
峭		
峯		
峰		
島		
峻		
崇		
崎		
崑		
崔		
崖		崕
崙		崘
崚		
崛		
崟		
崢		
崩		
嵋		
嵌		
嵎		
嵐		
嵒		
嵩		
嵬		
嵯		嵳
嶂		
嶄		
嶇		
嶋		
嶝		
嶢		
嶬		
嶮		
嶷		
嶺		
嶼		
巉		
巌	巖	
巍		
巒		
巓		
川		
州		
巡		
巣	巢	
工		
左		
巧		
巨		
巫		
差		
己		
已		
巳		
巴		
巷		
巻	卷	
巽	巽	
巾		
市		
布		
帆		
希		
帑		
帖		
帙		
帚		
帛		
帝		
帥		
師		
席		
帯	帶	
帰	歸	
帳		
帷		
常		
帽		
幀		
幃		
幄		
幅		
幌		
幎		
幔		
幕		
幗		
幟		
幡		
幢		
幣		
幫		幇
干		
平		
年		
幵		
幷		并
幸		
幹		
幺		
幻		
幼		
幽		
幾		
庁	廳	
広	廣	
庄		
庇		
床		
序		
底		
庖		
店		
庚		
府		
庠		
度		
座		
庫		
庭		
庵		
庶		
康		
庸		
廁		厠
廂		
廃	廢	
廈		厦
廉	廉	
廊	廊	
廓		
廖		
廛		壥
廝		厮
廟		
廠		厰
廡		
廨		
廩		
廬		
廱		
延		
廷		
建		
廻		
廿		
弁	辨辯瓣	弁
弄		
弊		
弋		
弌		
弍		
式		
弐	貳	
弑		
弓		
弔		
引		
弖		
弗		
弘		
弛		
弟		
弥	彌	
弦		
弧		
弩		
弭		
弱		
張		
強		
弸		
弼		
弾	彈	
彊		
彎		弯
当	當	
彗		
彙		
彝		彜
形		
彦	彥	
彩		
彪		
彫		
彬		
彭		
彰		
影		
彷		
役		
彼		
彽		
彿		
往		
征		
徂		
径	徑	
待		
徇		
很		
徊		
律		
後		
徐		
徒		
従	從	
得		
徘		
徙		
御		
徨		
復		
循		
徭		
微		
徳	德	
徴	徵	
徹		
徼		
徽		
心		
必		
忌		
忍		
忖		
志		
忘		
忙		
応	應	
忝		
忠		
忤		
快		
忱		
念		
忸		
忻		
忽		
忿		
怎		
怏		
怒		
怕		
怖		
怙		
怛		
怜		
思		
怠		
怡		
急		
怦		
性		
怨		
怩		
怪		
怫		
怯		
怱		悤
怺		
恁		
恂		
恃		
恊		
恋	戀	
恍		
恐		
恒	恆	
恕		
恙		
恚		
恟		
恢		
恣		
恤		卹
恥		
恨		
恩		
恪		
恫		
恬		
恭		
息		
恰		
恵	惠	
悁		
悃		
悄		
悉		
悋		
悌		
悍		
悒		
悔	悔	
悖		
悚		
悛		
悟		
悠		
患		
悦	悅	
悧		
悩	惱	
悪	惡	
悲		
悴		忰
悵		
悶		
悸		
悼		
悽		
悾		
情		
惆		
惇		
惑		
惓		
惘		
惚		
惜		
惟		
惣		
惧		
惨	慘	
惰		
想		
惴		
惶		
惷		
惹		
惺		
惻		
愀		
愁		
愃		
愆		
愈		愈
愉		
愍		
愎		
意		
愒		
愕		
愚		
愛		
感		
愧		
愨		
愬		
愴		
愾		
愿		
慂		
慄		
慇		
慈		
慊		
態		
慌		
