第1水準漢字（JIS X 0208:1990及び0213:2004）	第2水準漢字（JIS X 0208:1990及び0213:2004）	第3水準漢字（JIS X 0213:2004）	第4水準漢字（JIS X 0213:2004）	JIS X 0212:1990
郭				
部				
郡				
郎				
郊				
郁				
邸				
邪				
邦				
那				
邑				
還				
避				
遼				
遺				
選				
遷				
遵				
遮				
遭				
適				
遥				
遣				
遡				
遠				
遜				
違				
達				
道				
過				
遍				
運				
遊				
遇				
遅				
遂				
遁				
逼				
逸				
進				
週				
逮				
連				
逢				
造				
速				
逝				
通				
這				
逗				
途				
逓				
逐				
透				
逆				
逃				
送				
退				
追				
迷				
述				
迭				
迫				
迩				
迦				
返				
近				
迎				
迅				
迄				
迂				
辿				
込				
辻				
辺				
農				
辱				
辰				
辞				
辛				
轡				
轟				
轍				
轄				
輿				
輸				
輯				
輪				
輩				
輝				
輔				
載				
較				
軽				
軸				
転				
軟				
軒				
軍				
軌				
車				
躯				
身				
躍				
蹴				
蹟				
蹄				
踏				
踊				
践				
跳				
路				
跨				
跡				
距				
足				
趨				
趣				
越				
超				
起				
赴				
走				
赫				
赦				
赤				
贋				
贈				
購				
賭				
質				
賦				
賢				
賠				
賞				
賜				
賛				
賓				
賑				
賎				
賊				
資				
賄				
賃				
賂				
賀				
貿				
貼				
費				
貸				
買				
貴				
貰				
貯				
責				
貫				
販				
貨				
貧				
貢				
財				
負				
貞				
貝				
貌				
豹				
豪				
象				
豚				
豊				
豆				
谷				
讐				
讃				
護				
譲				
議				
警				
譜				
識				
謹				
謬				
謡				
謝				
講				
謙				
謎				
謄				
謂				
謁				
謀				
諾				
諺				
諸				
諮				
諭				
諦				
諜				
論				
諒				
諏				
諌				
請				
談				
調				
誼				
誹				
課				
誰				
読				
説				
誤				
誠				
語				
誘				
誕				
誓				
認				
誌				
誉				
誇				
詳				
該				
話				
詰				
詮				
詫				
詩				
試				
詣				
詠				
詞				
評				
詔				
詑				
詐				
証				
註				
診				
訴				
訳				
許				
設				
訪				
訣				
訟				
記				
託				
訓				
討				
訊				
計				
訂				
言				
触				
解				
角				
観				
親				
覧				
覚				
覗				
視				
規				
見				
覇				
覆				
要				
西				
襲				
襟				
襖				
褒				
褐				
複				
裾				
製				
裸				
裳				
裡				
裟				
補				
裕				
裏				
装				
裂				
裁				
袷				
袴				
被				
袖				
袋				
袈				
衿				
衷				
衰				
表				
衣				
衡				
衝				
衛				
街				
術				
行				
衆				
血				
蟻				
蟹				
螺				
融				
蝿				
蝶				
蝦				
蝕				
蝋				
蝉				
蜜				
蜘				
蜂				
蛾				
蛸				
蛮				
蛭				
蛤				
蛙				
蛎				
蛍				
蛋				
蛇				
蚤				
蚕				
蚊				
虻				
虹				
虫				
虞				
虜				
虚				
虐				
虎				
蘭				
蘇				
藻				
藷				
藩				
藤				
藍				
藁				
薯				
薮				
薬				
薫				
薪				
薩				
薦				
薙				
薗				
薄				
蕪				
蕩				
蕨				
蕗				
蕎				
蕊				
蕉				
蕃				
蔽				
蔵				
蔭				
蔦				
蔚				
蔓				
蔑				
蔀				
蓮				
蓬				
蓑				
蓋				
蓉				
蓄				
蒼				
蒸				
蒲				
蒜				
蒙				
蒔				
蒐				
蒋				
葺				
葵				
葱				
葬				
葦				
董				
葡				
葛				
著				
葎				
葉				
落				
萱				
萩				
萎				
萌				
萄				
菱				
菰				
華				
菩				
菟				
菜				
菖				
菓				
菌				
菊				
菅				
莱				
莫				
莞				
荻				
荷				
荘				
荒				
荏				
荊				
草				
茸				
茶				
茨				
茜				
茎				
茅				
茄				
茂				
英				
苫				
苧				
苦				
若				
苛				
苗				
苔				
苓				
苑				
苅				
芽				
芹				
芸				
芳				
花				
芯				
芭				
芦				
芥				
芝				
芙				
芋				
艶				
色				
良				
艮				
艦				
艇				
船				
舷				
舶				
舵				
般				
航				
舟				
舞				
舜				
舛				
舘				
舗				
舎				
舌				
興				
臼				
致				
至				
臭				
自				
臨				
臥				
臣				
臓				
臆				
膿				
膳				
膨				
膝				
膜				
膚				
膏				
腿				
腺				
腹				
腸				
腰				
腫				
腕				
腔				
腐				
腎				
脹				
脳				
脱				
脚				
脊				
脈				
脇				
脆				
脅				
脂				
能				
胸				
胴				
胤				
胡				
胞				
胎				
背				
胆				
胃				
肺				
肴				
育				
肱				
肯				
肪				
肩				
肥				
肢				
股				
肝				
肘				
肖				
肌				
肋				
肉				
肇				
聾				
職				
聴				
聯				
聡				
聞				
聖				
耽				
耶				
耳				
耗				
耕				
耐				
而				
者				
考				
老				
耀				
翼				
翻				
翰				
翫				
翠				
習				
翌				
翁				
羽				
義				
羨				
群				
美				
羊				
羅				
罷				
罵				
署				
罰				
置				
罫				
罪				
缶				
纏				
纂				
繰				
繭				
繕				
織				
繍				
繋				
繊				
繁				
績				
縮				
縫				
縦				
縞				
縛				
縄				
縁				
練				
緯				
緬				
緩				
編				
締				
線				
緒				
緑				
総				
緋				
緊				
綿				
綾				
綻				
綴				
網				
綱				
維				
綬				
綜				
続				
継				
絹				
絶				
絵				
統				
給				
絢				
絡				
絞				
結				
経				
組				
絃				
終				
紺				
紹				
紳				
細				
累				
紬				
紫				
索				
紡				
素				
紛				
級				
紙				
紘				
紗				
純				
紐				
納				
紋				
紅				
約				
紀				
糾				
系				
糸				
糧				
糠				
糟				
糞				
糖				
糎				
糊				
精				
粧				
粥				
粟				
粛				
粘				
粗				
粕				
粒				
粍				
粋				
粉				
粂				
粁				
籾				
米				
籍				
簿				
簾				
簸				
簡				
篭				
篤				
篠				
築				
篇				
範				
節				
箸				
箱				
箭				
箪				
管				
算				
箕				
箔				
箇				
箆				
策				
答				
筒				
筑				
筏				
筋				
等				
筈				
筆				
笹				
第				
符				
笥				
笠				
笛				
笑				
笈				
竿				
竺				
竹				
競				
端				
竪				
童				
竣				
章				
竜				
立				
竃				
窺				
窯				
窮				
窪				
窟				
窓				
窒				
窄				
窃				
突				
穿				
空				
究				
穴				
穫				
穣				
穐				
穏				
穎				
積				
穆				
穂				
穀				
稿				
稽				
稼				
稲				
種				
稜				
稚				
稗				
稔				
税				
程				
稀				
移				
称				
秩				
秦				
秤				
租				
秘				
秒				
科				
秋				
私				
秀				
禿				
禾				
禽				
禰				
禦				
福				
禎				
禍				
禅				
禄				
禁				
祷				
祭				
票				
祥				
祢				
神				
祝				
祖				
祐				
祉				
祈				
祇				
祁				
社				
礼				
示				
礎				
礁				
磯				
磨				
磐				
磁				
確				
碩				
碧				
碗				
碕				
碓				
碑				
碍				
碇				
碁				
硲				
硯				
硬				
硫				
硝				
砿				
砺				
破				
砲				
砧				
砦				
砥				
砕				
研				
砂				
石				
矯				
短				
矩				
矧				
知				
矢				
矛				
瞳				
瞭				
瞬				
瞥				
睦				
督				
睡				
着				
眼				
眺				
眠				
真				
県				
看				
眉				
省				
盾				
相				
直				
盲				
目				
盤				
監				
盟				
盛				
盗				
益				
盈				
盆				
盃				
皿				
皮				
皐				
皇				
皆				
的				
百				
白				
登				
発				
癖				
癒				
癌				
療				
痴				
痩				
痢				
痛				
痘				
痕				
痔				
症				
病				
疾				
疹				
疲				
疫				
疑				
疏				
疎				
疋				
畿				
畷				
畳				
異				
番				
畦				
略				
畢				
畠				
畝				
畜				
留				
畔				
畑				
畏				
界				
画				
町				
男				
申				
甲				
由				
田				
甫				
用				
甥				
産				
生				
甜				
甚				
甘				
甑				
瓶				
瓦				
瓢				
瓜				
璽				
環				
璃				
瑳				
瑠				
瑞				
瑛				
瑚				
琶				
琵				
琴				
琳				
琢				
琉				
理				
球				
現				
班				
珪				
珠				
珍				
珊				
珂				
玲				
玩				
玖				
王				
玉				
率				
玄				
獲				
獣				
獅				
獄				
猿				
猷				
猶				
献				
猫				
猪				
猟				
猛				
狽				
狼				
狸				
狭				
独				
狩				
狛				
狙				
狗				
狐				
狂				
状				
犯				
犬				
犠				
犀				
牽				
特				
牲				
物				
牧				
牢				
牡				
牟				
牝				
牛				
牙				
牒				
牌				
版				
片				
爾				
爽				
爺				
父				
爵				
爪				
爆				
燭				
燦				
燥				
燕				
燐				
燈				
燃				
熱				
熟				
熔				
熊				
煽				
煮				
煩				
照				
煤				
煙				
煎				
煉				
焼				
然				
焦				
無				
焚				
焔				
烹				
烏				
烈				
為				
点				
炭				
炎				
炊				
炉				
災				
灼				
灸				
灰				
灯				
火				
灘				
瀬				
瀧				
瀦				
瀞				
瀕				
濯				
濫				
濡				
濠				
濃				
濁				
激				
澱				
澗				
澄				
潰				
潮				
潤				
潟				
潜				
潔				
潅				
漸				
漬				
漫				
漣				
漢				
漠				
漕				
演				
漏				
漉				
漆				
漂				
漁				
滴				
滞				
滝				
滑				
滋				
滅				
溺				
溶				
溢				
溝				
溜				
準				
源				
溌				
満				
湿				
湾				
湯				
湧				
湛				
湘				
湖				
湊				
港				
測				
温				
渦				
渥				
渡				
渠				
減				
渚				
渓				
渋				
渉				
済				
渇				
清				
添				
混				
淵				
淳				
深				
淫				
淡				
淘				
淑				
淋				
淀				
涼				
液				
涯				
涜				
涛				
涙				
涌				
消				
浸				
海				
浴				
浮				
浬				
浪				
浩				
浦				
浜				
浅				
浄				
流				
派				
活				
洲				
洪				
洩				
津				
洞				
洛				
洗				
洋				
泳				
泰				
注				
泥				
泣				
波				
泡				
法				
泌				
泊				
泉				
況				
沿				
沼				
治				
油				
沸				
河				
沫				
沢				
没				
沙				
沖				
沓				
沌				
沈				
沃				
汽				
決				
汲				
汰				
池				
江				
汝				
汚				
汗				
汐				
汎				
求				
汁				
汀				
氾				
永				
氷				
水				
気				
民				
氏				
毛				
毘				
比				
毒				
毎				
母				
毅				
殿				
殻				
殺				
段				
殴				
殖				
残				
殊				
殉				
殆				
死				
歴				
歳				
歯				
歪				
歩				
武				
此				
正				
止				
歓				
歎				
歌				
款				
欽				
欺				
欲				
欧				
欣				
次				
欠				
欝				
欄				
櫨				
櫛				
櫓				
檎				
檀				
橿				
橡				
機				
橘				
橋				
樽				
樺				
樹				
樵				
樫				
横				
権				
模				
樟				
標				
樗				
樋				
槽				
槻				
槙				
様				
槍				
槌				
構				
榛				
榔				
榎				
榊				
概				
楽				
楼				
極				
楳				
楯				
業				
楢				
楠				
楚				
楕				
楓				
楊				
椿				
椴				
検				
椛				
椙				
椎				
植				
椋				
椅				
椀				
棺				
棲				
森				
棟				
棚				
棒				
棋				
棉				
棄				
梼				
梶				
梱				
械				
梯				
梨				
梧				
梢				
梗				
梓				
梅				
梁				
桶				
桧				
桟				
桝				
桜				
桔				
桓				
桑				
桐				
案				
桃				
桂				
桁				
栽				
格				
根				
核				
栴				
株				
栢				
校				
栗				
栖				
栓				
栄				
栃				
栂				
柿				
柾				
査				
柵				
柴				
柳				
柱				
柚				
柘				
柔				
染				
柑				
某				
柏				
柊				
柄				
柁				
架				
枯				
枢				
枠				
枝				
果				
枚				
林				
枕				
析				
枇				
板				
松				
杷				
杵				
東				
杯				
杭				
来				
杢				
条				
束				
杜				
杖				
杓				
村				
材				
杏				
李				
杉				
朽				
机				
朴				
朱				
札				
本				
末				
未				
木				
期				
朝				
望				
朗				
朕				
朔				
服				
朋				
有				
月				
最				
替				
曾				
曽				
曹				
書				
更				
曳				
曲				
曝				
曜				
曙				
曇				
暴				
暮				
暫				
暦				
暢				
暗				
暖				
暑				
暇				
暁				
智				
晶				
晴				
景				
普				
晩				
晦				
晒				
晋				
晃				
時				
昼				
是				
昭				
昨				
昧				
春				
映				
星				
昔				
易				
昏				
明				
昌				
昇				
昆				
昂				
旺				
旭				
旬				
早				
旨				
旧				
旦				
日				
既				
旗				
族				
旋				
旅				
施				
於				
方				
新				
斯				
断				
斬				
斧				
斥				
斤				
斡				
斜				
料				
斗				
斑				
斐				
斎				
斌				
斉				
文				
敷				
敵				
整				
数				
敬				
敦				
散				
敢				
教				
敗				
救				
敏				
故				
政				
放				
攻				
改				
支				
擾				
擬				
擦				
擢				
操				
擁				
撹				
撲				
撰				
撮				
播				
撫				
撤				
撞				
撚				
撒				
撃				
摺				
摸				
摩				
摘				
摂				
搾				
携				
搭				
搬				
損				
揺				
援				
揮				
握				
換				
揚				
揖				
提				
描				
揃				
掻				
掴				
掲				
掬				
措				
掩				
推				
控				
接				
探				
採				
掠				
掛				
掘				
排				
掌				
授				
掃				
捻				
捺				
捷				
捲				
据				
捨				
捧				
捜				
捗				
捕				
捌				
捉				
挿				
挽				
挺				
振				
挫				
挨				
挟				
挙				
挑				
按				
指				
持				
拾				
拷				
拶				
拳				
拭				
括				
拡				
拠				
拝				
招				
拙				
拘				
拓				
拒				
拐				
拍				
担				
抽				
押				
抹				
抵				
抱				
披				
択				
抜				
折				
抗				
投				
抑				
把				
抄				
技				
承				
批				
扶				
扱				
扮				
托				
払				
打				
才				
手				
扉				
扇				
所				
房				
戻				
戸				
戴				
戯				
戦				
戟				
戚				
或				
戒				
我				
成				
戎				
戊				
懸				
懲				
懐				
懇				
憾				
憶				
憲				
憩				
憧				
憤				
憐				
憎				
憂				
慾				
慶				
慰				
慮				
慨				
慧				
慣				
慢				
慕				
慎				
慌				
態				
慈				
感				
愛				
愚				
意				
愉				
愈				
愁				
惹				
想				
惰				
惨				
惣				
惟				
惜				
惚				
惑				
惇				
情				
悼				
悶				
悲				
悪				
悩				
悦				
患				
悠				
悟				
悔				
悌				
悉				
恵				
恰				
息				
恭				
恩				
恨				
恥				
恢				
恕				
恒				
恐				
恋				
怯				
怪				
怨				
性				
急				
怠				
思				
怜				
怖				
怒				
忽				
念				
快				
忠				
応				
忙				
忘				
志				
忍				
忌				
必				
心				
徽				
徹				
徴				
徳				
微				
循				
復				
御				
得				
従				
徒				
徐				
後				
律				
待				
径				
征				
往				
彼				
役				
影				
彰				
彬				
彫				
彪				
彩				
彦				
形				
当				
彊				
弾				
弼				
強				
張				
弱				
弧				
弦				
弥				
弟				
弛				
弘				
弗				
引				
弔				
弓				
弐				
式				
弊				
弄				
弁				
廿				
廼				
廻				
建				
廷				
延				
廠				
廟				
廓				
廊				
廉				
廃				
庸				
康				
庶				
庵				
庭				
庫				
座				
度				
府				
庚				
店				
庖				
底				
序				
床				
庇				
庄				
広				
庁				
幾				
幽				
幼				
幻				
幹				
幸				
年				
平				
干				
幣				
幡				
幕				
幌				
幅				
帽				
常				
帳				
帰				
帯				
席				
師				
帥				
帝				
帖				
希				
帆				
布				
市				
巾				
巽				
巻				
巷				
巴				
巳				
己				
差				
巨				
巧				
左				
工				
巣				
巡				
州				
川				
巌				
嶺				
嶋				
嵯				
嵩				
嵐				
崩				
崖				
崎				
崇				
峻				
島				
峰				
峯				
峨				
峡				
峠				
岸				
岳				
岱				
岬				
岩				
岨				
岡				
岐				
山				
屯				
履				
層				
屡				
屠				
属				
展				
屑				
屍				
屋				
届				
屈				
居				
局				
尿				
尾				
尽				
尼				
尻				
尺				
就				
尭				
尤				
尚				
尖				
少				
小				
導				
尋				
尊				
尉				
将				
射				
専				
封				
寿				
対				
寺				
寸				
寵				
寮				
審				
寧				
寡				
察				
寝				
寛				
寓				
寒				
富				
密				
寅				
寄				
寂				
宿				
容				
家				
宵				
宴				
害				
宰				
宮				
宥				
室				
宣				
客				
実				
宝				
宜				
宛				
定				
宙				
官				
宗				
宕				
宏				
宍				
完				
宋				
安				
守				
宇				
宅				
孫				
学				
孤				
季				
孟				
孝				
孜				
存				
字				
孔				
子				
嬰				
嬬				
嬢				
嬉				
嫡				
嫌				
嫉				
嫁				
媛				
媒				
婿				
婦				
婚				
婆				
婁				
娼				
娯				
娩				
娠				
娘				
娃				
威				
姿				
姻				
姶				
姫				
姪				
姦				
姥				
委				
姓				
姑				
姐				
始				
姉				
妾				
妻				
妹				
妬				
妨				
妥				
妙				
妖				
妓				
妊				
妄				
妃				
如				
好				
奴				
女				
奮				
奪				
奨				
奥				
套				
奔				
契				
奏				
奉				
奈				
奇				
奄				
夷				
失				
央				
夫				
太				
天				
大				
夢				
夜				
多				
夙				
外				
夕				
夏				
変				
壷				
売				
壱				
声				
壮				
壬				
士				
壕				
壌				
壊				
壇				
壁				
墾				
墳				
墨				
墜				
増				
墓				
境				
塾				
塵				
填				
塩				
塞				
塚				
塙				
塘				
塗				
塔				
塑				
塊				
塁				
塀				
堺				
堵				
場				
報				
堰				
堪				
堤				
堕				
堆				
堅				
堂				
堀				
埼				
基				
培				
執				
埴				
埠				
域				
埜				
城				
埋				
垣				
垢				
型				
垂				
坪				
坦				
坤				
坑				
坐				
坊				
均				
坂				
地				
圭				
在				
圧				
土				
園				
圏				
圃				
国				
固				
図				
囲				
困				
団				
因				
回				
四				
囚				
嚢				
嚇				
噺				
噸				
噴				
器				
噛				
噌				
噂				
嘱				
嘩				
嘘				
嘗				
嘉				
嘆				
嗣				
営				
喰				
喬				
喫				
喪				
喧				
喝				
喜				
喚				
喋				
喉				
善				
啓				
問				
商				
啄				
唾				
唱				
唯				
唖				
唐				
唇				
唆				
唄				
哲				
哩				
哨				
員				
哉				
品				
哀				
咽				
咳				
咲				
和				
咋				
命				
呼				
味				
呪				
周				
呑				
告				
呉				
呈				
呆				
呂				
吾				
吻				
吹				
吸				
含				
否				
吠				
吟				
君				
向				
吐				
吏				
后				
名				
同				
吋				
吊				
吉				
合				
各				
吃				
司				
号				
叶				
右				
史				
叱				
台				
可				
召				
叫				
只				
叩				
句				
古				
口				
叢				
叡				
叛				
叙				
受				
取				
叔				
収				
反				
双				
友				
及				
叉				
又				
参				
去				
厳				
厭				
厩				
厨				
原				
厚				
厘				
厄				
卿				
卸				
卵				
却				
即				
危				
印				
卯				
卦				
占				
卜				
博				
単				
南				
協				
卓				
卒				
卑				
半				
午				
升				
千				
十				
匿				
医				
区				
匹				
匪				
匡				
匠				
匝				
匙				
北				
化				
包				
匂				
匁				
勿				
勾				
勺				
勲				
勧				
勤				
勢				
募				
勝				
務				
勘				
動				
勉				
勇				
勅				
勃				
劾				
効				
労				
励				
劫				
努				
助				
劣				
加				
功				
力				
劉				
劇				
劃				
創				
割				
剰				
副				
剥				
剤				
剣				
剛				
剖				
前				
削				
則				
剃				
刻				
刺				
券				
刷				
制				
到				
利				
別				
判				
初				
列				
刑				
刊				
刈				
切				
分				
刃				
刀				
函				
出				
凹				
凸				
凶				
凱				
凪				
凧				
処				
凡				
凝				
凍				
凌				
凋				
准				
凄				
冷				
冶				
冴				
冬				
冨				
冥				
冠				
写				
冗				
冒				
再				
冊				
円				
内				
兼				
典				
具				
其				
兵				
共				
六				
公				
八				
全				
入				
兜				
党				
児				
兎				
免				
克				
光				
先				
兇				
兆				
充				
兄				
元				
允				
儲				
優				
償				
儒				
億				
儀				
僻				
僧				
僚				
僕				
僑				
像				
働				
僅				
傾				
傷				
債				
傭				
催				
備				
傘				
傑				
傍				
偽				
偶				
偵				
側				
偲				
健				
停				
偏				
偉				
倹				
倶				
倭				
倫				
倦				
値				
倣				
借				
候				
倖				
倒				
倍				
個				
倉				
俺				
俸				
俵				
俳				
修				
俣				
信				
保				
俗				
俊				
俄				
促				
係				
便				
侶				
侵				
侯				
侮				
侭				
価				
侠				
依				
供				
侍				
例				
侃				
使				
佼				
併				
佳				
作				
余				
何				
体				
佑				
佐				
住				
低				
位				
但				
佃				
伽				
似				
伺				
伸				
伶				
伴				
伯				
伝				
会				
休				
伐				
伏				
伎				
伍				
伊				
企				
任				
件				
仲				
仰				
仮				
以				
令				
代				
仙				
付				
他				
仕				
仔				
仏				
介				
今				
仇				
仁				
什				
人				
亮				
亭				
京				
享				
亨				
亦				
亥				
交				
亡				
亜				
些				
亙				
亘				
井				
五				
互				
云				
二				
事				
争				
予				
了				
亀				
乾				
乳				
乱				
也				
乞				
九				
乙				
乗				
乏				
乎				
乍				
之				
久				
乃				
主				
丹				
丸				
串				
中				
並				
両				
丞				
丙				
丘				
世				
且				
丑				
与				
不				
下				
上				
三				
丈				
万				
七				
丁				
一				
	龠			
	龝			
	龜			
	龕			
	齷			
	齶			
	齲			
	齬			
	齪			
	齧			
	齦			
	齣			
	齡			
	齠			
	齟			
	齔			
	齒			
	齏			
	齎			
	齋			
	齊			
	鼾			
	鼬			
	鼡			
	鼕			
	鼈			
	鼇			
	黽			
	黼			
	黻			
	黹			
	黷			
	黶			
	黴			
	黯			
	黨			
	黥			
	黠			
	點			
	黝			
	黜			
	默			
	黔			
	黐			
	黏			
	黎			
	黌			
	麾			
	麼			
	麸			
	麭			
	麪			
	麩			
	麥			
	麝			
	麕			
	麒			
	麑			
	麌			
	麋			
	麈			
	麁			
	鹽			
	鹹			
	鹵			
	鸞			
	鸛			
	鸚			
	鷽			
	鷸			
	鷯			
	鷭			
	鷦			
	鷙			
	鷓			
	鷏			
	鷆			
	鷄			
	鷂			
	鷁			
	鶻			
	鶺			
	鶸			
	鶲			
	鶯			
	鶫			
	鶩			
	鶤			
	鶚			
	鶉			
	鶇			
	鵺			
	鵲			
	鵯			
	鵤			
	鵞			
	鵝			
	鵙			
	鵑			
	鵐			
	鵈			
	鵆			
	鵄			
	鵁			
	鴿			
	鴾			
	鴪			
	鴦			
	鴣			
	鴟			
	鴕			
	鴒			
	鴉			
	鴈			
	鴆			
	鴃			
	鳰			
	鳬			
	鳫			
	鳧			
	鱸			
	鱶			
	鱧			
	鱠			
	鱚			
	鱇			
	鱆			
	鰾			
	鰺			
	鰲			
	鰰			
	鰮			
	鰥			
	鰤			
	鰡			
	鰛			
	鰕			
	鰔			
	鰓			
	鰒			
	鰌			
	鰊			
	鰉			
	鰈			
	鰆			
	鰄			
	鯲			
	鯱			
	鯰			
	鯤			
	鯣			
	鯢			
	鯡			
	鯔			
	鯒			
	鯑			
	鯏			
	鯊			
	鯆			
	鯀			
	鮹			
	鮴			
	鮨			
	鮠			
	鮟			
	鮗			
	鮖			
	鮓			
	鮑			
	鮃			
	魴			
	魘			
	魑			
	魏			
	魎			
	魍			
	魄			
	魃			
	鬻			
	鬲			
	鬱			
	鬯			
	鬮			
	鬪			
	鬩			
	鬨			
	鬧			
	鬥			
	鬣			
	鬢			
	鬟			
	鬚			
	鬘			
	鬆			
	髻			
	髷			
	髴			
	髱			
	髯			
	髮			
	髫			
	髦			
	髣			
	髢			
	髟			
	髞			
	體			
	髓			
	髑			
	髏			
	髀			
	骼			
	骰			
	骭			
	驫			
	驪			
	驩			
	驥			
	驤			
	驢			
	驟			
	驛			
	驗			
	驕			
	驍			
	驅			
	驃			
	驂			
	驀			
	騾			
	騷			
	騫			
	騙			
	騏			
	騅			
	騁			
	駻			
	駸			
	駲			
	駱			
	駮			
	駭			
	駢			
	駟			
	駝			
	駛			
	駘			
	駑			
	馼			
	馮			
	馭			
	馥			
	馘			
	馗			
	饕			
	饒			
	饑			
	饐			
	饌			
	饋			
	饉			
	饅			
	饂			
	餾			
	餽			
	餮			
	餬			
	餤			
	餡			
	餠			
	餞			
	餝			
	餘			
	餔			
	餒			
	餉			
	餃			
	飮			
	飭			
	飫			
	飩			
	飜			
	飆			
	飄			
	飃			
	颶			
	颱			
	颯			
	颪			
	顴			
	顳			
	顱			
	顰			
	顯			
	顫			
	顏			
	顋			
	顆			
	頽			
	頸			
	頷			
	頤			
	頡			
	頏			
	頌			
	韶			
	韵			
	韲			
	韭			
	韜			
	韋			
	韈			
	韆			
	韃			
	鞴			
	鞳			
	鞫			
	鞨			
	鞦			
	鞣			
	鞜			
	鞐			
	鞏			
	鞋			
	鞆			
	鞅			
	鞁			
	靼			
	靺			
	靹			
	靱			
	靫			
	靨			
	靦			
	靤			
	靡			
	靠			
	靜			
	靉			
	靈			
	靆			
	靄			
	靂			
	霾			
	霽			
	霹			
	霸			
	霰			
	霪			
	霤			
	霙			
	霖			
	霓			
	霑			
	霏			
	霎			
	霍			
	霈			
	霆			
	霄			
	雹			
	雜			
	雙			
	雖			
	雕			
	雎			
	雍			
	雋			
	雉			
	隹			
	隸			
	隶			
	隴			
	隲			
	隱			
	隰			
	險			
	隨			
	隧			
	隘			
	隗			
	隕			
	隍			
	隋			
	陷			
	陲			
	陬			
	陦			
	陟			
	陞			
	陝			
	陜			
	陏			
	陌			
	陋			
	陂			
	阯			
	阮			
	阨			
	阡			
	闥			
	闢			
	闡			
	關			
	闖			
	闕			
	闔			
	闍			
	闌			
	闊			
	闃			
	閾			
	閼			
	閻			
	閹			
	閭			
	閨			
	閧			
	閠			
	閙			
	閘			
	閖			
	閔			
	閊			
	閇			
	閂			
	钁			
	鑿			
	鑾			
	鑽			
	鑼			
	鑷			
	鑵			
	鑰			
	鑪			
	鑢			
	鑠			
	鑞			
	鑛			
	鑚			
	鑒			
	鑄			
	鑁			
	鐺			
	鐶			
	鐵			
	鐫			
	鐡			
	鐚			
	鐔			
	鐓			
	鐐			
	鐇			
	鐃			
	鏨			
	鏥			
	鏤			
	鏝			
	鏘			
	鏗			
	鏖			
	鏐			
	鏈			
	鏃			
	鎹			
	鎰			
	鎭			
	鎬			
	鎔			
	鍼			
	鍮			
	鍠			
	鍜			
	鍖			
	鍄			
