第1水準漢字	第2水準漢字	第3水準漢字	第4水準漢字
卜			
占			
卦			
卯			
印			
危			
即			
却			
卵			
卸			
卿			
厄			
厘			
厚			
原			
厨			
厩			
厭			
厳			
去			
参			
又			
叉			
及			
友			
双			
反			
収			
叔			
取			
受			
叙			
叛			
叡			
叢			
口			
古			
句			
叩			
只			
叫			
召			
可			
台			
叱			
史			
右			
叶			
号			
司			
吃			
各			
合			
吉			
吊			
吋			
同			
名			
后			
吏			
吐			
向			
君			
吟			
吠			
否			
含			
吸			
吹			
吻			
吾			
呂			
呆			
呈			
呉			
告			
呑			
周			
呪			
味			
呼			
命			
咋			
和			
咲			
咳			
咽			
哀			
品			
哉			
員			
哨			
哩			
哲			
唄			
唆			
唇			
唐			
唖			
唯			
唱			
唾			
啄			
商			
問			
啓			
善			
喉			
喋			
喚			
喜			
喝			
喧			
喪			
喫			
喬			
喰			
営			
嗣			
嘆			
嘉			
嘗			
嘘			
嘩			
嘱			
噂			
噌			
噛			
器			
噴			
噸			
噺			
嚇			
嚢			
囚			
四			
回			
因			
団			
困			
囲			
図			
固			
国			
圃			
圏			
園			
土			
圧			
在			
圭			
地			
坂			
均			
坊			
坐			
坑			
坤			
坦			
坪			
垂			
型			
垢			
垣			
埋			
城			
埜			
域			
埠			
埴			
執			
培			
基			
埼			
堀			
堂			
堅			
堆			
堕			
堤			
堪			
堰			
報			
場			
堵			
堺			
塀			
塁			
塊			
塑			
塔			
塗			
塘			
塙			
塚			
塞			
塩			
填			
塵			
塾			
境			
墓			
増			
墜			
墨			
墳			
墾			
壁			
壇			
壊			
壌			
壕			
士			
壬			
壮			
声			
壱			
売			
壷			
変			
夏			
夕			
外			
夙			
多			
夜			
夢			
大			
天			
太			
夫			
央			
失			
夷			
奄			
奇			
奈			
奉			
奏			
契			
奔			
套			
奥			
奨			
奪			
奮			
女			
奴			
好			
如			
妃			
妄			
妊			
妓			
妖			
妙			
妥			
妨			
妬			
妹			
妻			
妾			
姉			
始			
姐			
姑			
姓			
委			
姥			
姦			
姪			
姫			
姶			
姻			
姿			
威			
娃			
娘			
娠			
娩			
娯			
娼			
婁			
婆			
婚			
婦			
婿			
媒			
媛			
嫁			
嫉			
嫌			
嫡			
嬉			
嬢			
嬬			
嬰			
子			
孔			
字			
存			
孜			
孝			
孟			
季			
孤			
学			
孫			
宅			
宇			
守			
安			
宋			
完			
宍			
宏			
宕			
宗			
官			
宙			
定			
宛			
宜			
宝			
実			
客			
宣			
室			
宥			
宮			
宰			
害			
宴			
宵			
家			
容			
宿			
寂			
寄			
寅			
密			
富			
寒			
寓			
寛			
寝			
察			
寡			
寧			
審			
寮			
寵			
寸			
寺			
対			
寿			
封			
専			
射			
将			
尉			
尊			
尋			
導			
小			
少			
尖			
尚			
尤			
尭			
就			
尺			
尻			
尼			
尽			
尾			
尿			
局			
居			
屈			
届			
屋			
屍			
屑			
展			
属			
屠			
屡			
層			
履			
屯			
山			
岐			
岡			
岨			
岩			
岬			
岱			
岳			
岸			
峠			
峡			
峨			
峯			
峰			
島			
峻			
崇			
崎			
崖			
崩			
嵐			
嵩			
嵯			
嶋			
嶺			
巌			
川			
州			
巡			
巣			
工			
左			
巧			
巨			
差			
己			
巳			
巴			
巷			
巻			
巽			
巾			
市			
布			
帆			
希			
帖			
帝			
帥			
師			
席			
帯			
帰			
帳			
常			
帽			
幅			
幌			
幕			
幡			
幣			
干			
平			
年			
幸			
幹			
幻			
幼			
幽			
幾			
庁			
広			
庄			
庇			
床			
序			
底			
庖			
店			
庚			
府			
度			
座			
庫			
庭			
庵			
庶			
康			
庸			
廃			
廉			
廊			
廓			
廟			
廠			
延			
廷			
建			
廻			
廼			
廿			
弁			
弄			
弊			
式			
弐			
弓			
弔			
引			
弗			
弘			
弛			
弟			
弥			
弦			
弧			
弱			
張			
強			
弼			
弾			
彊			
当			
形			
彦			
彩			
彪			
彫			
彬			
彰			
影			
役			
彼			
往			
征			
径			
待			
律			
後			
徐			
徒			
従			
得			
御			
復			
循			
微			
徳			
徴			
徹			
徽			
心			
必			
忌			
忍			
志			
忘			
忙			
応			
忠			
快			
念			
忽			
怒			
怖			
怜			
思			
怠			
急			
性			
怨			
怪			
怯			
恋			
恐			
恒			
恕			
恢			
恥			
恨			
恩			
恭			
息			
恰			
恵			
悉			
悌			
悔			
悟			
悠			
患			
悦			
悩			
悪			
悲			
悶			
悼			
情			
惇			
惑			
惚			
惜			
惟			
惣			
惨			
惰			
想			
惹			
愁			
愈			
愉			
意			
愚			
愛			
感			
慈			
態			
慌			
慎			
慕			
慢			
慣			
慧			
慨			
慮			
慰			
慶			
慾			
憂			
憎			
憐			
憤			
憧			
憩			
憲			
憶			
憾			
懇			
懐			
懲			
懸			
戊			
戎			
成			
我			
戒			
或			
戚			
戟			
戦			
戯			
戴			
戸			
戻			
房			
所			
扇			
扉			
手			
才			
打			
払			
托			
扮			
扱			
扶			
批			
承			
技			
抄			
把			
抑			
投			
抗			
折			
抜			
択			
披			
抱			
抵			
抹			
押			
抽			
担			
拍			
拐			
拒			
拓			
拘			
拙			
招			
拝			
拠			
拡			
括			
拭			
拳			
拶			
拷			
拾			
持			
指			
按			
挑			
挙			
挟			
挨			
挫			
振			
挺			
挽			
挿			
捉			
捌			
捕			
捗			
捜			
捧			
捨			
据			
捲			
捷			
捺			
捻			
掃			
授			
掌			
排			
掘			
掛			
掠			
採			
探			
接			
控			
推			
掩			
措			
掬			
掲			
掴			
掻			
揃			
描			
提			
揖			
揚			
換			
握			
揮			
援			
揺			
損			
搬			
搭			
携			
搾			
摂			
摘			
摩			
摸			
摺			
撃			
撒			
撚			
撞			
撤			
撫			
播			
撮			
撰			
撲			
撹			
擁			
操			
擢			
擦			
擬			
擾			
支			
改			
攻			
放			
政			
故			
敏			
救			
敗			
教			
敢			
散			
敦			
敬			
数			
整			
敵			
敷			
文			
斉			
斌			
斎			
斐			
斑			
斗			
料			
斜			
斡			
斤			
斥			
斧			
斬			
断			
斯			
新			
方			
於			
施			
旅			
旋			
族			
旗			
既			
日			
旦			
旧			
旨			
早			
旬			
旭			
旺			
昂			
昆			
昇			
昌			
明			
昏			
易			
昔			
星			
映			
春			
昧			
昨			
昭			
是			
昼			
時			
晃			
晋			
晒			
晦			
晩			
普			
景			
晴			
晶			
智			
暁			
暇			
暑			
暖			
暗			
暢			
暦			
暫			
暮			
暴			
曇			
曙			
曜			
曝			
曲			
曳			
更			
書			
曹			
曽			
曾			
替			
最			
月			
有			
朋			
服			
朔			
朕			
朗			
望			
朝			
期			
木			
未			
末			
本			
札			
朱			
朴			
机			
朽			
杉			
李			
杏			
材			
村			
杓			
杖			
杜			
束			
条			
杢			
来			
杭			
杯			
東			
杵			
杷			
松			
板			
枇			
析			
枕			
林			
枚			
果			
枝			
枠			
枢			
枯			
架			
柁			
柄			
柊			
柏			
某			
柑			
染			
柔			
柘			
柚			
柱			
柳			
柴			
柵			
査			
柾			
柿			
栂			
栃			
栄			
栓			
栖			
栗			
校			
栢			
株			
栴			
核			
根			
格			
栽			
桁			
桂			
桃			
案			
桐			
桑			
桓			
桔			
桜			
桝			
桟			
桧			
桶			
梁			
梅			
梓			
梗			
梢			
梧			
梨			
梯			
械			
梱			
梶			
梼			
棄			
棉			
棋			
棒			
棚			
棟			
森			
棲			
棺			
椀			
椅			
椋			
植			
椎			
椙			
椛			
検			
椴			
椿			
楊			
楓			
楕			
楚			
楠			
楢			
業			
楯			
楳			
極			
楼			
楽			
概			
榊			
榎			
榔			
榛			
構			
槌			
槍			
様			
槙			
槻			
槽			
樋			
樗			
標			
樟			
模			
権			
横			
樫			
樵			
樹			
樺			
樽			
橋			
橘			
機			
橡			
橿			
檀			
檎			
櫓			
櫛			
櫨			
欄			
欝			
欠			
次			
欣			
欧			
欲			
欺			
欽			
款			
歌			
歎			
歓			
止			
正			
此			
武			
歩			
歪			
歯			
歳			
歴			
死			
殆			
殉			
殊			
残			
殖			
殴			
段			
殺			
殻			
殿			
毅			
母			
毎			
毒			
比			
毘			
毛			
氏			
民			
気			
水			
氷			
永			
氾			
汀			
汁			
求			
汎			
汐			
汗			
汚			
汝			
江			
池			
汰			
汲			
決			
汽			
沃			
沈			
沌			
沓			
沖			
沙			
没			
沢			
沫			
河			
沸			
油			
治			
沼			
沿			
況			
泉			
泊			
泌			
法			
泡			
波			
泣			
泥			
注			
泰			
泳			
洋			
洗			
洛			
洞			
津			
洩			
洪			
洲			
活			
派			
流			
浄			
浅			
浜			
浦			
浩			
浪			
浬			
浮			
浴			
海			
浸			
消			
涌			
涙			
涛			
涜			
涯			
液			
涼			
淀			
淋			
淑			
淘			
淡			
淫			
深			
淳			
淵			
混			
添			
清			
渇			
済			
渉			
渋			
渓			
渚			
減			
渠			
渡			
渥			
渦			
温			
測			
港			
湊			
湖			
湘			
湛			
湧			
湯			
湾			
湿			
満			
溌			
源			
準			
溜			
溝			
溢			
溶			
溺			
滅			
滋			
滑			
滝			
滞			
滴			
漁			
漂			
漆			
漉			
漏			
演			
漕			
漠			
漢			
漣			
漫			
漬			
漸			
潅			
潔			
潜			
潟			
潤			
潮			
潰			
澄			
澗			
澱			
激			
濁			
濃			
濠			
濡			
濫			
濯			
瀕			
瀞			
瀦			
瀧			
瀬			
灘			
火			
灯			
灰			
灸			
灼			
災			
炉			
炊			
炎			
炭			
点			
為			
烈			
烏			
烹			
焔			
焚			
無			
焦			
然			
焼			
煉			
煎			
煙			
煤			
照			
煩			
煮			
煽			
熊			
熔			
熟			
熱			
燃			
燈			
燐			
燕			
燥			
燦			
燭			
爆			
爪			
爵			
父			
爺			
爽			
爾			
片			
版			
牌			
牒			
牙			
牛			
牝			
牟			
牡			
牢			
牧			
物			
牲			
特			
牽			
犀			
犠			
犬			
犯			
状			
狂			
狐			
狗			
狙			
狛			
狩			
独			
狭			
狸			
狼			
狽			
猛			
猟			
猪			
猫			
献			
猶			
猷			
猿			
獄			
獅			
獣			
獲			
玄			
率			
玉			
王			
玖			
玩			
玲			
珂			
珊			
珍			
珠			
珪			
班			
現			
球			
理			
琉			
琢			
琳			
琴			
琵			
琶			
瑚			
瑛			
瑞			
瑠			
瑳			
璃			
環			
璽			
瓜			
瓢			
瓦			
瓶			
甑			
甘			
甚			
甜			
生			
産			
甥			
用			
甫			
田			
由			
甲			
申			
男			
町			
画			
界			
畏			
畑			
畔			
留			
畜			
畝			
畠			
畢			
略			
畦			
番			
異			
畳			
畷			
畿			
疋			
疎			
疏			
疑			
疫			
疲			
疹			
疾			
病			
症			
痔			
痕			
痘			
痛			
痢			
痩			
痴			
療			
癌			
癒			
癖			
発			
登			
白			
百			
的			
皆			
皇			
皐			
皮			
皿			
盃			
盆			
盈			
益			
盗			
盛			
盟			
監			
盤			
目			
盲			
直			
相			
盾			
省			
眉			
看			
県			
真			
眠			
眺			
眼			
着			
睡			
督			
睦			
瞥			
瞬			
瞭			
瞳			
矛			
矢			
知			
矧			
矩			
短			
矯			
石			
砂			
研			
砕			
砥			
砦			
砧			
砲			
破			
砺			
砿			
硝			
硫			
硬			
硯			
硲			
碁			
碇			
碍			
碑			
碓			
碕			
碗			
碧			
碩			
確			
磁			
磐			
磨			
磯			
礁			
礎			
示			
礼			
社			
祁			
祇			
祈			
祉			
祐			
祖			
祝			
神			
祢			
祥			
票			
祭			
祷			
禁			
禄			
禅			
禍			
禎			
福			
禦			
禰			
禽			
禾			
禿			
秀			
私			
秋			
科			
秒			
秘			
租			
秤			
秦			
秩			
称			
移			
稀			
程			
税			
稔			
稗			
稚			
稜			
種			
稲			
稼			
稽			
稿			
穀			
穂			
穆			
積			
穎			
穏			
穐			
穣			
穫			
穴			
究			
空			
穿			
突			
窃			
窄			
窒			
窓			
窟			
窪			
窮			
窯			
窺			
竃			
立			
竜			
章			
竣			
童			
竪			
端			
競			
竹			
竺			
竿			
笈			
笑			
笛			
笠			
笥			
符			
第			
笹			
筆			
筈			
等			
筋			
筏			
筑			
筒			
答			
策			
箆			
箇			
箔			
箕			
算			
管			
箪			
箭			
箱			
箸			
節			
範			
篇			
築			
篠			
篤			
篭			
簡			
簸			
簾			
簿			
籍			
米			
籾			
粁			
粂			
粉			
粋			
粍			
粒			
粕			
粗			
粘			
粛			
粟			
粥			
粧			
精			
糊			
糎			
糖			
糞			
糟			
糠			
糧			
糸			
系			
糾			
紀			
約			
紅			
紋			
納			
紐			
純			
紗			
紘			
紙			
級			
紛			
素			
紡			
索			
紫			
紬			
累			
細			
紳			
紹			
紺			
終			
絃			
組			
経			
結			
絞			
絡			
絢			
給			
統			
絵			
絶			
絹			
継			
続			
綜			
綬			
維			
綱			
網			
綴			
綻			
綾			
綿			
緊			
緋			
総			
緑			
緒			
線			
締			
編			
緩			
緬			
緯			
練			
縁			
縄			
縛			
縞			
縦			
縫			
縮			
績			
繁			
繊			
繋			
繍			
織			
繕			
繭			
繰			
纂			
纏			
缶			
罪			
罫			
置			
罰			
署			
罵			
罷			
羅			
羊			
美			
群			
羨			
義			
羽			
翁			
翌			
習			
翠			
翫			
翰			
翻			
翼			
耀			
老			
考			
者			
而			
耐			
耕			
耗			
耳			
耶			
耽			
聖			
聞			
聡			
聯			
聴			
職			
聾			
肇			
肉			
肋			
肌			
肖			
肘			
肝			
股			
肢			
肥			
肩			
肪			
肯			
肱			
育			
肴			
肺			
胃			
胆			
背			
胎			
胞			
胡			
胤			
胴			
胸			
能			
脂			
脅			
脆			
脇			
脈			
脊			
脚			
脱			
脳			
脹			
腎			
腐			
腔			
腕			
腫			
腰			
腸			
腹			
腺			
腿			
膏			
膚			
膜			
膝			
膨			
膳			
膿			
臆			
臓			
臣			
臥			
臨			
自			
臭			
至			
致			
臼			
興			
舌			
舎			
舗			
舘			
舛			
舜			
舞			
舟			
航			
般			
舵			
舶			
舷			
船			
艇			
艦			
艮			
良			
色			
艶			
芋			
芙			
芝			
芥			
芦			
芭			
芯			
花			
芳			
芸			
芹			
芽			
苅			
苑			
苓			
苔			
苗			
苛			
若			
苦			
苧			
苫			
英			
茂			
茄			
茅			
茎			
茜			
茨			
茶			
茸			
草			
荊			
荏			
荒			
荘			
荷			
荻			
莞			
莫			
莱			
菅			
菊			
菌			
菓			
菖			
菜			
菟			
菩			
華			
菰			
菱			
萄			
萌			
萎			
萩			
萱			
落			
葉			
葎			
著			
葛			
葡			
董			
葦			
葬			
葱			
葵			
葺			
蒋			
蒐			
蒔			
蒙			
蒜			
蒲			
蒸			
蒼			
蓄			
蓉			
蓋			
蓑			
蓬			
蓮			
蔀			
蔑			
蔓			
蔚			
蔦			
蔭			
蔵			
蔽			
蕃			
蕉			
蕊			
蕎			
蕗			
蕨			
蕩			
蕪			
薄			
薗			
薙			
薦			
薩			
薪			
薫			
薬			
薮			
薯			
藁			
藍			
藤			
藩			
藷			
藻			
蘇			
蘭			
虎			
虐			
虚			
虜			
虞			
虫			
虹			
虻			
蚊			
蚕			
蚤			
蛇			
蛋			
蛍			
蛎			
蛙			
蛤			
蛭			
蛮			
蛸			
蛾			
蜂			
蜘			
蜜			
蝉			
蝋			
蝕			
蝦			
蝶			
蝿			
融			
螺			
蟹			
蟻			
血			
衆			
行			
術			
街			
衛			
衝			
衡			
衣			
表			
衰			
衷			
衿			
袈			
袋			
袖			
被			
袴			
袷			
裁			
裂			
装			
裏			
裕			
補			
裟			
裡			
裳			
裸			
製			
裾			
複			
褐			
褒			
襖			
襟			
襲			
西			
要			
覆			
覇			
見			
規			
視			
覗			
覚			
覧			
親			
観			
角			
解			
触			
言			
訂			
計			
訊			
討			
訓			
託			
記			
訟			
訣			
訪			
設			
許			
訳			
訴			
診			
註			
証			
詐			
詑			
詔			
評			
詞			
詠			
詣			
試			
詩			
詫			
詮			
詰			
話			
該			
詳			
誇			
誉			
誌			
認			
誓			
誕			
誘			
語			
誠			
誤			
説			
読			
誰			
課			
誹			
誼			
調			
談			
請			
諌			
諏			
諒			
論			
諜			
諦			
諭			
諮			
諸			
諺			
諾			
謀			
謁			
謂			
謄			
謎			
謙			
講			
謝			
謡			
謬			
謹			
識			
譜			
警			
議			
譲			
護			
讃			
讐			
谷			
豆			
豊			
豚			
象			
豪			
豹			
貌			
貝			
貞			
負			
財			
貢			
貧			
貨			
販			
貫			
責			
貯			
貰			
貴			
買			
貸			
費			
貼			
貿			
賀			
賂			
賃			
賄			
資			
賊			
賎			
賑			
賓			
賛			
賜			
賞			
賠			
賢			
賦			
質			
賭			
購			
贈			
贋			
赤			
赦			
赫			
走			
赴			
起			
超			
越			
趣			
趨			
足			
距			
跡			
跨			
路			
跳			
践			
踊			
踏			
蹄			
蹟			
蹴			
躍			
身			
躯			
車			
軌			
軍			
軒			
軟			
転			
軸			
軽			
較			
載			
輔			
輝			
輩			
輪			
輯			
輸			
輿			
轄			
轍			
轟			
轡			
辛			
辞			
辰			
辱			
農			
辺			
辻			
込			
辿			
迂			
迄			
迅			
迎			
近			
返			
迦			
迩			
迫			
迭			
述			
迷			
追			
退			
送			
逃			
逆			
透			
逐			
逓			
途			
逗			
這			
通			
逝			
速			
造			
逢			
連			
逮			
週			
進			
逸			
逼			
遁			
遂			
遅			
遇			
遊			
運			
遍			
過			
道			
達			
違			
遜			
遠			
遡			
遣			
遥			
適			
遭			
遮			
遵			
遷			
選			
遺			
遼			
避			
還			
邑			
那			
邦			
邪			
邸			
郁			
郊			
郎			
郡			
部			
郭			
郵			
郷			
都			
鄭			
酉			
酋			
酌			
配			
酎			
酒			
酔			
酢			
酪			
酬			
酵			
酷			
酸			
醇			
醍			
醐			
醒			
醗			
醜			
醤			
醸			
釆			
采			
釈			
里			
重			
野			
量			
金			
釘			
釜			
針			
釣			
釦			
釧			
鈍			
鈎			
鈴			
鈷			
鉄			
鉛			
鉢			
鉦			
鉱			
鉾			
銀			
銃			
銅			
銑			
銘			
銚			
銭			
鋒			
鋤			
鋪			
鋭			
鋲			
鋳			
鋸			
鋼			
錆			
錐			
錘			
錠			
錦			
錨			
錫			
錬			
錯			
録			
鍋			
鍍			
鍔			
鍛			
鍬			
鍵			
鍾			
鎌			
鎖			
鎗			
鎚			
鎧			
鎮			
鏑			
鏡			
鐘			
鐙			
鐸			
鑑			
鑓			
長			
門			
閃			
閉			
開			
閏			
閑			
間			
関			
閣			
閤			
閥			
閲			
闇			
闘			
阜			
阪			
防			
阻			
阿			
陀			
附			
降			
限			
陛			
院			
陣			
除			
陥			
陪			
陰			
陳			
陵			
陶			
陸			
険			
陽			
隅			
隆			
隈			
隊			
階			
随			
隔			
隙			
際			
障			
隠			
隣			
隷			
隻			
隼			
雀			
雁			
雄			
雅			
集			
雇			
雌			
雑			
雛			
離			
難			
雨			
雪			
雫			
雰			
雲			
零			
雷			
電			
需			
震			
霊			
霜			
霞			
霧			
露			
青			
靖			
静			
非			
面			
革			
靭			
靴			
鞄			
鞍			
鞘			
鞠			
鞭			
韓			
韮			
音			
韻			
響			
頁			
頂			
頃			
項			
順			
須			
預			
頑			
頒			
頓			
頗			
領			
頚			
頬			
頭			
頴			
頻			
頼			
題			
額			
顎			
顔			
顕			
願			
顛			
類			
顧			
風			
飛			
食			
飢			
飯			
飲			
飴			
飼			
飽			
飾			
餅			
養			
餌			
餐			
餓			
館			
饗			
首			
香			
馨			
馬			
馳			
馴			
駁			
駄			
駅			
駆			
駈			
駐			
駒			
駕			
駿			
騎			
騒			
験			
騨			
騰			
驚			
骨			
骸			
髄			
高			
髪			
髭			
鬼			
魁			
魂			
魅			
魔			
魚			
魯			
鮎			
鮒			
鮪			
鮫			
鮭			
鮮			
鯉			
鯖			
鯛			
鯨			
鯵			
鰍			
鰐			
鰭			
鰯			
鰹			
鰻			
鱈			
鱒			
鱗			
鳥			
鳩			
鳳			
鳴			
鳶			
鴇			
鴎			
鴛			
鴨			
鴫			
鴬			
鴻			
鵜			
鵠			
鵡			
鵬			
鶏			
鶴			
鷲			
鷹			
鷺			
鹸			
鹿			
麓			
麗			
麟			
麦			
麹			
麺			
麻			
麿			
黄			
黍			
黒			
黙			
黛			
鼎			
鼓			
鼠			
鼻			
齢			
龍			
	丐		
	丕		
	丗		
	个		
	丱		
	丶		
	丼		
	丿		
	乂		
	乕		
	乖		
	乘		
	乢		
	亂		
	亅		
	亊		
	于		
	亞		
	亟		
	亠		
	亢		
	亰		
	亳		
	亶		
	仂		
	仄		
	仆		
	仍		
	从		
	仗		
	仞		
	仟		
	仭		
	价		
	伉		
	伜		
	估		
	佇		
	佗		
	佚		
	佛		
	佝		
	佞		
	佩		
	佯		
	佰		
	佶		
	佻		
	來		
	侈		
	侏		
	侑		
	侖		
	侘		
	侫		
	俎		
	俐		
	俑		
	俔		
	俘		
	俚		
	俛		
	俟		
	俤		
	俥		
	俯		
	俶		
	俾		
	倅		
	倆		
	倏		
	們		
	倔		
	倚		
	倡		
	倥		
	倨		
	倩		
	倪		
	倬		
	偃		
	假		
	偈		
	偐		
	偕		
	偖		
	做		
	偬		
	偸		
	傀		
	傅		
	傚		
	傲		
	傳		
	傴		
	僂		
	僉		
	僊		
	僖		
	僞		
	僣		
	僥		
	僭		
	僮		
	僵		
	價		
	儁		
	儂		
	儉		
	儔		
	儕		
	儖		
	儘		
	儚		
	儡		
	儷		
	儺		
	儻		
	儼		
	儿		
	兀		
	兌		
	兒		
	兔		
	兢		
	兩		
	兪		
	兮		
	冀		
	冂		
	冉		
	册		
	冏		
	冐		
	冑		
	冓		
	冕		
	冖		
	冢		
	冤		
	冦		
	冩		
	冪		
	冫		
	冰		
	冱		
	冲		
	决		
	况		
	冽		
	凅		
	凉		
	凖		
	凛		
	凜		
	几		
	凩		
	凭		
	凰		
	凵		
	凾		
	刄		
	刋		
	刎		
	刔		
	刧		
	刪		
	刮		
	刳		
	刹		
	剄		
	剋		
	剌		
	剏		
	剔		
	剞		
	剩		
	剪		
	剱		
	剳		
	剴		
	剽		
	剿		
	劈		
	劍		
	劑		
	劒		
	劔		
	劬		
	劭		
	劵		
	劼		
	勁		
	勍		
	勒		
	勗		
	勞		
	勠		
	勣		
	勦		
	勳		
	勵		
	勸		
	勹		
	匆		
	匈		
	匍		
	匏		
	匐		
	匕		
	匚		
	匣		
	匯		
	匱		
	匳		
	匸		
	區		
	卅		
	卆		
	卉		
	卍		
	卞		
	卩		
	卮		
	卷		
	卻		
	厂		
	厖		
	厠		
	厥		
	厦		
	厮		
	厰		
	厶		
	參		
	叟		
	叨		
	叭		
	叮		
	叺		
	吁		
	吝		
	吩		
	听		
	吭		
	吮		
	吶		
	吼		
	吽		
	呀		
	呎		
	呟		
	呰		
	呱		
	呵		
	呶		
	呷		
	呻		
	咀		
	咄		
	咆		
	咎		
	咏		
	咐		
	咒		
	咢		
	咤		
	咥		
	咨		
	咫		
	咬		
	咯		
	咸		
	咼		
	咾		
	哂		
	哄		
	哇		
	哈		
	哘		
	哢		
	哥		
	哦		
	哭		
	哮		
	哺		
	哽		
	唏		
	唔		
	售		
	唳		
	唸		
	唹		
	啀		
	啅		
	啌		
	啖		
	啗		
	啜		
	啝		
	啣		
	啻		
	啼		
	啾		
	喀		
	喃		
	喇		
	喊		
	喘		
	喙		
	喞		
	喟		
	喨		
	喩		
	單		
	嗄		
	嗅		
	嗇		
	嗔		
	嗚		
	嗜		
	嗟		
	嗤		
	嗷		
	嗹		
	嗽		
	嗾		
	嘔		
	嘖		
	嘛		
	嘯		
	嘲		
	嘴		
	嘶		
	嘸		
	噎		
	噐		
	噤		
	噪		
	噫		
	噬		
	嚀		
	嚆		
	嚊		
	嚏		
	嚔		
	嚠		
	嚥		
	嚮		
	嚴		
	嚶		
	嚼		
	囀		
	囁		
	囂		
	囃		
	囈		
	囎		
	囑		
	囓		
	囗		
	囘		
	囮		
	囹		
	囿		
	圀		
	圄		
	圈		
	圉		
	國		
	圍		
	圓		
	圖		
	團		
	圜		
	圦		
	圷		
	圸		
	圻		
	址		
	坎		
	坏		
	坡		
	坩		
	坿		
	垈		
	垉		
	垓		
	垠		
	垤		
	垪		
	垰		
	垳		
	埀		
	埃		
	埆		
	埒		
	埓		
	埔		
	埖		
	埣		
	堊		
	堋		
	堙		
	堝		
	堡		
	堯		
	堽		
	塋		
	塒		
	塢		
	塰		
	塲		
	塹		
	墅		
	墟		
	墫		
	墮		
	墸		
	墹		
	墺		
	墻		
	壅		
	壑		
	壓		
	壗		
	壘		
	壙		
	壜		
	壞		
	壟		
	壤		
	壥		
	壯		
	壹		
	壺		
	壻		
	壼		
	壽		
	夂		
	夊		
	夐		
	夘		
	夛		
	夥		
	夬		
	夭		
	夲		
	夸		
	夾		
	奎		
	奐		
	奕		
	奘		
	奚		
	奠		
	奢		
	奧		
	奩		
	奬		
	奸		
	妁		
	妍		
	妛		
	妝		
	妣		
	妲		
	姆		
	姙		
	姚		
	姜		
	姨		
	娉		
	娑		
	娚		
	娜		
	娟		
	娥		
	娵		
	娶		
	婀		
	婉		
	婢		
	婪		
	婬		
	媚		
	媼		
	媽		
	媾		
	嫂		
	嫋		
	嫐		
	嫖		
	嫗		
	嫣		
	嫦		
	嫩		
	嫺		
	嫻		
	嬋		
	嬌		
	嬖		
	嬪		
	嬲		
	嬶		
	嬾		
	孀		
	孃		
	孅		
	孑		
	孕		
	孚		
	孛		
	孥		
	孩		
	孰		
	孱		
	孳		
	孵		
	學		
	孺		
	宀		
	它		
	宦		
	宸		
	寃		
	寇		
	寉		
	寐		
	寔		
	寞		
	寢		
	寤		
	寥		
	實		
	寨		
