10級	9級	8級	7級	6級	5級	4級	3級	準2級	2級	準1級	1級
								槽			
								棺			
								棟			
								棚			
								桟			
								栽			
								核			
								栓			
								柳			
								枢			
								枠			
								析			
								杉			
								朴			
								朕			
								曹			
								暁			
								昆			
								旋			
								斎			
								斉			
								擬			
								撲			
								撤			
								摩			
								搭			
								据			
								捜			
								挿			
								挟			
								挑			
								拷			
								括			
								拙			
								拒			
								拐			
								抹			
								披			
								把			
								抄			
								扶			
								扉			
								戻			
								懸			
								懲			
								懐			
								懇			
								憾			
								憤			
								慶			
								愉			
								愁			
								惰			
								悼			
								患			
								悠			
								恭			
								忍			
								徹			
								循			
								彰			
								弦			
								弔			
								弊			
								廷			
								廃			
								庸			
								庶			
								幣			
								帥			
								崇			
								岬			
								屯			
								履			
								尼			
								尚			
								尉			
								寮			
								寧			
								寡			
								寛			
								宵			
								宰			
								宜			
								嫡			
								嫌			
								媒			
								娠			
								姻			
								妥			
								妊			
								妄			
								妃			
								奨			
								奔			
								壮			
								壌			
								塾			
								塚			
								塑			
								塁			
								塀			
								堪			
								堕			
								堀			
								培			
								垣			
								坪			
								囚			
								嚇			
								嗣			
								喪			
								喝			
								唯			
								唇			
								唆			
								呉			
								呈			
								吟			
								叙			
								叔			
								厄			
								升			
								勲			
								勅			
								劾			
								剰			
								剛			
								剖			
								刃			
								凹			
								凸			
								准			
								充			
								償			
								儒			
								僚			
								僕			
								傘			
								傑			
								偽			
								偵			
								偏			
								倫			
								俸			
								俊			
								侯			
								侮			
								併			
								但			
								伯			
								仙			
								亭			
								享			
								亜			
								丙			
								且			
									𥡴		
									𠮟		
									麺		
									麓		
									鶴		
									鬱		
									骸		
									駒		
									餌		
									餅		
									顎		
									頰		
									頬		
									頓		
									須		
									頃		
									韓		
									隙		
									闇		
									鎌		
									鍵		
									鍋		
									錮		
									錦		
									釜		
									采		
									醒		
									酎		
									那		
									遡		
									遜		
									辣		
									蹴		
									踪		
									賭		
									賂		
									貼		
									貪		
									貌		
									謎		
									諧		
									諦		
									誰		
									詮		
									詣		
									訃		
									裾		
									袖		
									蜜		
									蜂		
									虹		
									虎		
									藤		
									藍		
									蔽		
									蔑		
									蓋		
									葛		
									萎		
									苛		
									芯		
									艶		
									舷		
									臼		
									臆		
									膳		
									膝		
									腺		
									腫		
									腎		
									脊		
									脇		
									股		
									肘		
									羨		
									羞		
									罵		
									緻		
									綻		
									籠		
									箸		
									箋		
									窟		
									稽		
									瞳		
									瞭		
									睦		
									眉		
									瘍		
									痩		
									痕		
									畿		
									畏		
									瓦		
									璧		
									璃		
									瑠		
									玩		
									狙		
									牙		
									爽		
									爪		
									煎		
									潰		
									溺		
									湧		
									淫		
									沙		
									沃		
									汰		
									汎		
									氾		
									毀		
									楷		
									椎		
									椅		
									梗		
									桁		
									柿		
									柵		
									枕		
									曽		
									曖		
									昧		
									旺		
									旦		
									斬		
									斑		
									摯		
									捻		
									捗		
									捉		
									挫		
									挨		
									拶		
									拳		
									拭		
									拉		
									戴		
									戚		
									憬		
									憧		
									慄		
									惧		
									恣		
									怨		
									彙		
									弥		
									弄		
									巾		
									嵐		
									崖		
									尻		
									宛		
									嫉		
									妬		
									妖		
									填		
									塡		
									塞		
									堆		
									嘲		
									嗅		
									喩		
									喉		
									唾		
									唄		
									哺		
									咽		
									呪		
									呂		
									匂		
									勾		
									勃		
									剥		
									剝		
									刹		
									凄		
									冶		
									冥		
									僅		
									傲		
									俺		
									侶		
									伎		
									亀		
									乞		
									丼		
									串		
										輸	
										諭	
										芽	
										異	
										爵	
										瀞	
										槪	
										成	
										憤	
										巽	
										姬	
										城	
										噴	
										周	
										卿	
										割	
										兔	
										𨻶	
										𦤶	
										華	
										盛	
										愈	
										奔	
										墳	
										充	
										頻	
										響	
										難	
										逸	
										贈	
										賓	
										謹	
										謁	
										視	
										褐	
										著	
										臭	
										者	
										署	
										繁	
										練	
										節	
										突	
										穀	
										禎	
										禍	
										祝	
										祖	
										祐	
										祈	
										祉	
										社	
										碑	
										琢	
										煮	
										漢	
										渚	
										海	
										梅	
										暑	
										既	
										敏	
										懲	
										憎	
										慨	
										悔	
										層	
										墨	
										塀	
										器	
										嘆	
										喝	
										卑	
										勤	
										勉	
										免	
										僧	
										侮	
										館	
										飼	
										飯	
										都	
										諸	
										羽	
										精	
										靖	
										福	
										祥	
										神	
										益	
										猪	
										晴	
										塚	
										降	
										隆	
										類	
										遼	
										廉	
										連	
										蓮	
										殺	
										虜	
										朗	
										廊	
										蘭	
										欄	
										契	
										龝	
										龜	
										龍	
										齡	
										齒	
										齋	
										齊	
										鼠	
										鼎	
										黨	
										點	
										黛	
										默	
										黑	
										黍	
										黃	
										麿	
										麹	
										麵	
										麴	
										麪	
										麥	
										麟	
										麒	
										鹽	
										鹼	
										鹸	
										鸚	
										鷺	
										鷹	
										鷲	
										鷗	
										鷄	
										鶯	
										鵬	
										鵡	
										鵠	
										鵜	
										鴻	
										鴬	
										鴫	
										鴨	
										鴦	
										鴛	
										鴎	
										鴈	
										鴇	
										鳶	
										鳳	
										鳩	
										鱗	
										鱒	
										鱈	
										鰻	
										鰺	
										鰹	
										鰯	
										鰭	
										鰐	
										鰍	
										鯵	
										鯛	
										鯖	
										鯉	
										鮭	
										鮫	
										鮪	
										鮒	
										鮎	
										魯	
										魁	
										鬪	
										髮	
										髭	
										體	
										髓	
										驛	
										驗	
										驒	
										驅	
										騷	
										騨	
										駿	
										駕	
										駈	
										駁	
										馴	
										馳	
										馨	
										饗	
										餠	
										餘	
										餐	
										飴	
										飮	
										顯	
										顛	
										顚	
										顏	
										頸	
										頴	
										頚	
										頗	
										頁	
										韮	
										韭	
										韃	
										鞭	
										鞠	
										鞘	
										鞍	
										鞄	
										靱	
										靭	
										靜	
										靖	
										靑	
										靈	
										霞	
										雫	
										雜	
										雛	
										雙	
										雁	
										雀	
										隼	
										隸	
										隱	
										險	
										隨	
										隈	
										陷	
										陀	
										阿	
										關	
										閤	
										閏	
										閃	
										鑛	
										鑓	
										鑄	
										鐸	
										鐵	
										鐙	
										鏑	
										鎭	
										鎧	
										鎚	
										鎗	
										鎔	
										鍾	
										鍬	
										鍔	
										鍍	
										鍊	
										錫	
										錨	
										錢	
										錘	
										錐	
										錆	
										錄	
										鋸	
										鋲	
										鋪	
										鋤	
										鋒	
										銳	
										銚	
										銑	
										鉾	
										鉦	
										鉤	
										鈷	
										鈎	
