㵎壑
一紀
一統
一統志
一網打尽
一網打尽（盡）
一網打盡
一縷
一脈相通
一臂
一臂力
一般
一茶頃
一葉
一葉落知天下秋
一葦
一蓑
一蓑・一簑
一蓮託生
一虚一盈
一虚（虛）一盈
一虛一盈
一行
一衣帯水
一衣帯（帶）水
一衣帶水
一裘一葛
一見如旧
一見如旧（舊）
一見如舊
一見識
一視同仁
一触即発
一触即發
一触卽発
一触卽發
一触（觸）即（卽）発（發）
一觴一詠
一觸即発
一觸即發
一觸卽発
一觸卽發
一言
一言以蔽之
一言半句
一言半句・一言半辞（辭）
一言半辞
一言半辭
一言居士
一諾千金
一貫
一蹴
一身
一軌
一軍
一轂
一轍
一過
一道
一酔千日
一酔（醉）千日
一醉千日
一鉤
一鉤金
一銖
一陣
一陽來復
一陽来復
一陽来（來）復
一隅
一隻眼
一雙
一面
一面識
一韻到底
一顧
一顧傾城
一飡
一飡之徳
一飯
一飯三吐哺
一飯之報
一飯之頃
一飯恩
一饋十起
一駄
一騎当千
一騎当（當）千
一騎當千
一體
一髪
一髪引千鈞
一齊
丁丁
丁丁発止
丁丁発（發）止
丁丁發止
丁倒
丁冬
丁冬・丁東・丁当（當）・丁璫
丁半
丁口
丁壮
丁壮（壯）
丁壯
丁夜
丁夫
丁女
丁子
丁寧
丁年
丁当
丁役
丁憂
丁憂・丁艱
丁東
丁璫
丁男
丁當
丁稚
丁艱
丁賦
丁銀
丁銀・丁賦
丁香
丁香結
七七日
七出
七十二候
七十子
七去
七古
七哀詩
七国
七国之乱
七国之亂
七国（國）
七国（國）之乱（亂）
七國
七國之乱
七國之亂
七堂
七声
七声（聲）
七夕
七大
七子
七宝
七宝（寶）
七寶
七尺去不踏師影
七年之病求三年之艾
七律
七徳
七徳舞
七情
七政
七教
七星
七曜
七書
七校
七歩才
七歩詩
七生
七略
七竅
七経
七経（經）
七絶
七經
七縦七擒
七縦七禽
七縦（縱）七禽（＝擒）
七縱七擒
七縱七禽
七聲
七言古詩
七言律詩
七言絶句
七貴
七賢
七転八倒
七転（轉）八倒
七轉八倒
七雄
七難
七難（難）
七音
七順
七香車
七難
万一
万万
万世
万世不易
万乗
万乘
万事休
万井
万人敵
万仞
万全
万劫
万化
万口
万口一談
万古
万壽
万壽節
万壽節
万夫
万夫之望
万姓
万寿
万寿節
万寿節
万年
万年青
万幾
万態
万戸
万戸侯
万斛
万斯同
万方
万有
万朶
万機
万歳
万歳楽
万歳樂
万死
万死一生
万殊
万派
万物之霊
万物之靈
万物逆旅
万畳
万疊
万目
万石
万祥
万福
万章
万端
万策
万籟
万綠叢中紅一点
万綠叢中紅一點
万緑叢中紅一点
万緑叢中紅一點
万緣
万縁
万能
万般
万謝
万象
万邦
万里
万里侯
万里同風
万里橋
万里比隣
万里長城
万重
万鈞
万鍾
万雷
万霊
万靈
万頃
万（萬）一
万（萬）万（萬）
万（萬）世
万（萬）世不易
万（萬）乗（乘）
万（萬）事休
万（萬）井
万（萬）人敵
万（萬）仞
万（萬）全
万（萬）劫
万（萬）化
万（萬）口
万（萬）口一談
万（萬）古
万（萬）夫
万（萬）夫之望
万（萬）姓
万（萬）寿（壽）
万（萬）寿（壽）節（節）
万（萬）年
万（萬）年青
万（萬）幾・万（萬）機
万（萬）態
万（萬）戸
万（萬）戸侯
万（萬）斛
万（萬）斯同
万（萬）方
万（萬）有
万（萬）朶
万（萬）歳
万（萬）歳楽（樂）
万（萬）死
万（萬）死一生
万（萬）殊
万（萬）派
万（萬）物之霊（靈）
万（萬）物逆旅
万（萬）畳（疊）
万（萬）目
万（萬）石
万（萬）祥
万（萬）福
万（萬）章
万（萬）端
万（萬）策
万（萬）籟
万（萬）緑（綠）叢中紅一点（點）
万（萬）縁（緣）
万（萬）能
万（萬）般
万（萬）謝
万（萬）象
万（萬）邦
万（萬）里
万（萬）里侯
万（萬）里同風
万（萬）里橋
万（萬）里比隣
万（萬）里長城
万（萬）重
万（萬）鈞
万（萬）鍾
万（萬）雷
万（萬）霊（靈）
万（萬）頃
丈丈
丈人
丈六
丈夫
丈室
丈母
丈量
三上
三不去
三世
三五
三五七言
三五夜
三人成虎
三人成虎・三人為（爲）市虎
三人為市虎
三人爲市虎
三人行必有我師
三仁
三代
三伏
三伝
三伝（傳）
三体書
三体詩
三体（體）書
三体（體）詩
三余
三余（餘）
三倉
三傳
三儀
三元
三公
三冬
三刀
三刀之夢
三分鼎足
三刺
三匝
三十二相
三十六策走是上計
三十而立
三十輻共一轂
三千世界
三危
三友
三古
三台
三史
三司
三后
三呉
三品
三唐
三嘆
三嘆（嘆）・三歎
三器
三国
三国志
三国志演義
三国（國）
三国（國）志
三国（國）志演義
三國
三國志
三國志演義
三墨
三墨（墨）
三墳五典
三変
三変（變）
三夏
三多
三字石経
三字石経（經）
三字石經
三字経
三字経（經）
三字經
三季
三孤
三学
三学（學）
三學
三宝
三宝（寶）
三宥
三宮
三家
三家・三桓
三寶
三寸不律
三寸舌
三尊
三少
三尸
三尺
三尺水
三尺水・三尺秋水
三尺法
三尺秋水
三尺童子
三峡
三峡（峽）
三峽
三川
三巳
三巴
三帀
三帀・三匝
三師
三帰
三帰（歸）
三年不窺園
三年不蜚不鳴
三年之喪
三弦
三弦・三絃
三径
三径（徑）
三徑
三従
三従（從）
三從
三徳
三思
三悪趣
三悪道
三悪（惡）趣・三悪（惡）道
三惡趣
三惡道
三愆
三戒
三戸
三才
三才図会
三才図會
三才図（圖）会（會）
三才圖会
三才圖會
三教
三族
三族之刑
三易
三星
三春
三昧
三時
三晉
三更
三曹
三朝
三木
三本
三桓
三楚
三業
三極
三楽
三楽（樂）
三槐
三槐九棘
三樂
三権
三権（權）
三權
三歎
三正
三歸
三殤
三民主義
三河
三泉
三浣
三浣・三澣
三澣
三災
三牲
三玄
三王
三界
三畏
三略
三皇
三皇五帝
三省
三知
三礼
三礼（禮）
三神山
三禮
三秋
三秋思
三秦
三絃
三経
三経（經）・三逕
三統暦
三統暦（曆）
三統曆
三經
三綱
三綱五常
三綱領八条目
三綱領八条（條）目
三綱領八條目
三老
三老五更
三考
三聖
三苗
三蒼
三蒼・三倉
三蔵
三蔵（藏）
三藏
三蘇
三虫
三虫（蟲）
三蟲
三行
三計
三語掾
三論
三論宗
三變
三豕渉河
三豕渉河・三豕渡河
三豕渡河
三赦
三軍
三軍可奪帥
三輔
三辰
三辺
三辺（邊）
三途
三逕
三通
三達尊
三邊
三都
三都賦
三鈷
三門
三閭大夫
三革
三韓
三韻
三顧
三餘
三體書
三體詩
三鼓
三嘆
三墨
上丁
上下
上下議論
上世
上之所好、下必甚焉
上乗
上乗（乘）
上乘
上九
上交
上京
上人
上仙
上仙・上僊
上代
上供
上僊
上元
上元夫人
上冬
上午
上卦
上卿
上古
上司
上品
上啓
上善
上国
上国（國）
上國
上墓
上士
上声
上声（聲）
上壽
上変
上変（變）
上天
上奏
上官大夫
上客
上寿
上寿（壽）
上将
上将軍
上将（將）
上将（將）軍
上將
上將軍
上工
上巳
上帝
上平
上弦
上意
上意下達
上戸
上手
上指
上日
上旨
上旬
上春
上智
上書
上木
上東門
上林
上柱国
上柱国（國）
上柱國
上根
上梓
上歳
上洛
上流
上浣
上浣・上澣
上海
上清
上游
上澣
上田
上甲
上申
上界
上番
上疏
上皇
上相
上眞
上真
上真（眞）
上知
上知・上智
上秋
上第
上納
上聞
上聲
上肢
上腴
上臾
上臾・上腴
上苑
上葉
上蔡
上蘭
上表
上覧
上覧（覽）
上覽
上計
上訴
上諭
上謁
上謁（謁）
上變
上賀
上賓
上足
上路
上輩
上農
上途
上道
上達
上郡
上都
上院
上陽
上頭
上騰
上﨟
上謁
下下
下世
下乗
下乗（乘）
下乘
下九
下交
下人
下付
下付・下附
下体
下体（體）
下元
下克上
下克（＝剋）上
下処
下処（處）
下剋上
下剤
下剤（劑）
下劑
下午
下吏
下品
下問
下国
下国（國）
下國
下土
下地
下坐
下堂
下士
下壽
下大夫
下奴
下妻
下婢
下子
下学
下学上達
下学（學）
下学（學）上達
下學
下學上達
下官
下寿
下寿（壽）
下帷
下平
下座
下座・下坐
下弦
下情
下意
下愚
下戸
下手
下手人
下旬
下根
下梢
下民
下気
下気（氣）
下氣
下江
下泉
下流
下浣
下浣・下澣
下游
下湿
下湿（濕）
下澣
下濕
下獄
下界
下番
下直
下相
下県
下県（縣）
下種
下第
下筆
下筆成章
下策
下縣
下舂
下落
下處
下賤
下走
下足
下車
下輩
下邑
下邳
下酒
下里
下里巴人
下野
下附
下風
下食
下飯
下馬
下馬評
下體
不一
不世
不世出
不中
不乂
不亀手
不亀手之薬
不亀手之藥
不亀（龜）手
不亀（龜）手之薬（藥）
不了
不予
不予（豫）
不二価
不二価・不儲価
不二価（價）
不二價
不仁
不以人廃言
不以人廃（廢）言
不以人廢言
不作
不佞
不例
不侮暗室
不便
不俱戴天
不倒翁
不倫
不偏不党
不偏不党（黨）
不偏不黨
不偏諱
不備
不儲価
不入虎穴不得虎子
不共
不具
不出戸知天下
不刊
不刊之書
不利
不動尊
不動尊・不動明王
不動明王
不勝杯杓
不即不離
不即（卽）不離
不卽不離
不友
不召之臣
不可勝数
不可思議
不可思議・不思議
不可諱
不咸
不問
不器
不因人熱
不壊
不壊（壞）
不壞
不夜城
不天
不失正鵠
不如帰
不如帰（歸）
不如意
不如歸
不孫
不定
不宣
不尽
不尽（盡）
不屑
不屑之教誨
不帰客
不帰（歸）客
不平
不庭
不廃巻
不廢巻
不弁咫尺
不弁菽麥
不弁菽麦
不弁（辨）咫尺
不弁（辨）菽麦（麥）
不弐過
不弐（貳）過
不弟
不弟・不悌
不律
不得要領
不忍
不忍人
不応為
不応爲
不応（應）為（爲）
不快
不思議
不怨天不尤人
不悉
不悌
不悱不発
不悱不発（發）
不悱不發
不惑
不惜身命
不愧于屋漏
不慮
不憤不啓
不憫
不應為
不應爲
不成
不成人
不成器
不戒視成
不才
不才・不材
不抜
不拾遺
不撓
不撓・不橈
不敏
不敢当
不敢当（當）
不敢當
不敵
不文律
不日
不易
不昧
不時
不朽之芳
不材
不果
不橈
不次
不欺暗室
不欺暗室・不侮暗室
不歯
不歯（齒）
不歸客
不毛
不治
不淑
不測
不然
不犯
不用意
不由径
不盡
不知
不知其子視其友
不知手之舞之足之蹈之
不知足
不磨
不祥
不祿
不稽
不穀
不立文字
不第
不経
不経（經）
不經
不羈
不群
不義
不老不死
不聊生
不肖
不能賛一辞
不能賛一辭
不能賛（贊）一辞（辭）
不能贊一辞
不能贊一辭
不臣
不興
不舎昼夜
不苟
不蔓不枝
不蔵怒
不蔵（藏）怒
不藏怒
不虞
不虞之誉
不虞之誉（譽）
不虞之譽
不血食
不覚
不覚（覺）
不覺
不言之教
不言之花
不言実行
不言実（實）行
不言實行
不設城府
不訾
不訾・不貲
不諱
不識一丁字
不豫
不貲
不貳過
不起
不践跡
不践（踐）跡
不踐跡
不踰矩
不躐等
不軌
不辜
不辨咫尺
不辨菽麥
不辨菽麦
不辱君命
不退転
不退転（轉）
不退轉
不通水火
不逞
不遇
不遇時
不道
不遜
不遜・不孫
不遷怒
不釈巻
不釈（釋）巻・不廃（廢）巻
不釋巻
不韙
不齒
不龜手
不龜手之薬
不龜手之藥
与与
与世推移
与党
与党（黨）
与国
与国（國）
与國
与太者
与奪
与存
与手
与時俯仰
与知
与聞
与被
与議
与黨
与（與）世推移
与（與）時俯仰
丐児
丐兒
丐取
丐命
丐夫
丐子
丐子・丐児（兒）・丐夫
丐戸
丐養
丑三
丑旦
且字
且月
丕休
丕子
丕承
丕業
丕業・丕緒・丕績・丕烈
丕烈
丕祚
丕緒
丕績
丕顕
丕顕（顯）
丕顯
世上
世乱識忠臣
世乱（亂）識忠臣
世亂識忠臣
世事
世交
世代
世代書香
世俗
世儒
世務
世卿
世嗣
世塗
世塵
世外
世好
世嫡
世子
世子・世嗣
世守
世宗
世官
世家
世尊
世帯
世帯（帶）
世帶
世幹
世徳
世情
世態
世才
世故
世族
世栄
世栄（榮）
世業
世榮
世標
世母
世父
世界
世祖
世祿
世範
世系
世紛
世累
世職
世胄
世臣
世表
世襲
世説
世論
世譜
世路
世途
世途・世塗・世路
世運
世道
世道人心
世閒好物不堅牢
世間好物不堅牢
世間（閒）好物不堅牢
丘冢
丘園
丘土
丘塋
丘塚
丘塚・丘冢
丘墟
丘墳
丘壑
丘壟
丘壟・丘壠・丘隴
丘壠
丘山
丘民
丘索
丘虚
丘虚（虛）・丘墟
丘虛
丘賦
丘軻
丘里
丘里之言
丘陵
丘隅
丘隴
丘首
丙丁
丙午
丙夜
丙部
丞丞
丞史
丞相
両三行涙
両三行涙（淚）
両三行淚
両両
両京
両儀
両全
両制
両可
両周
両岐
両広
両広（廣）
両府
両廣
両得
両手汗
両手汗・両把汗
両把汗
両晉
両歧
両歧・両岐
両浙
両淮
両漢
両漢（漢）
両省
両税法
両端
両虎相闘
両虎相闘（鬪）
両虎相鬪
両辺倒
両辺（邊）倒
両造
両邊倒
両部
両重陽
両閒
両間
両間（閒）
両雄
両頭蛇
両髦
両漢
並世
並称
並称（稱）
並稱
並耕
並肩
並行
並駕斉駆
並駕斉驅
並駕斉（齊）駆（驅）
並駕齊駆
並駕齊驅
丫環
丫童
丫頭
丫髻
丫鬟
丫鬟・丫環・丫髻・丫頭
中二千石
中井履軒
中人
中伏
中使
中傷
中元
中共
中冓
中冬
中分
中原
中原逐鹿
中厨
中唐
中国
中国（國）
中國
中土
中坐
中堂
中堅
中塗
中夏
中夕
中外
中夜
中天
中官
中宮
中宵
中宵・中夜
中射
中射・中謝
中尉
中山
中州
中座
中座・中坐
中庭
中庶子
中庸
中廚
中廚・中厨
中心
中情
中懐
中懐（懷）
中懷
中日
中春
中書
中書省
中書舎人
中有
中朝
中枢
中枢（樞）
中樞
中歳
中気
中気（氣）
中氣
中江藤樹
中流
中浣
中浣・中澣
中涓
中澣
中男
中秋
中納言
中腸
中興
中舎
中華
中葉
中表
中觴
中説
中論
中謝
中貴
中貴・中貴人
中貴人
中路
中軍
中軸
中途
中途・中塗
中道
中酒
中陰
中陰・中有
中饋
丰姿
丰容
丰采
丰采・丰姿・丰容
丱女
丱歯
丱歯（齒）
丱童
丱角
丱齒
串夷
串戯
串戯（戲）
串戲
串狎
串票
串童
串通
丸剤
丸剤（劑）
丸劑
丸髻
丹丘
丹丘子
丹冊
丹台
丹台（臺）
丹唇
丹唇・丹脣
丹堊
丹墀
丹心
丹念
丹書
丹朱
丹沙
丹液
丹田
丹石
丹石心
丹砂
丹砂・丹沙
丹碧
丹穴
丹精
丹脂
丹脣
丹臺
丹花
丹英
丹英・丹花
丹薬
丹薬（藥）
丹藥
丹誠
丹鉛
丹闕
丹陛
丹霄
丹霞
丹青
丹頂
丹鳳
主一無適
主上
主事
主人
主体
主体（體）
主使
主司
主器
主媼
主客
主宰
主家
主将
主將
主帥
主帥・主将（將）
主幹
主弁
主弁（辨）
主張
主恩
主戸
主持
主敬存誠
主文
主母
主父
主眼
主第
主簿
主義
主翁
主膳
主臣
主観
主観的
主観（觀）
主観（觀）的
主觀
主觀的
主計
主賓
主辨
主辱臣死
主静
主静（靜）
主靜
主領
主體
乂安
乃公
乃昔
乃武乃文
乃父
乃祖
乃者
乃至
久仰
久佚
久故
久曠
久淹
久淹・久滞（滯）・久留
久滞
久滯
久濶
久留
久稽
久約
久繫
久要
久視
久逸
久逸（逸）・久佚
久闊
久闊・久濶
久逸
之字路
之罘
乍可
乎古止点
乎古止点（點）
乎古止點
乏匱
乏月
乏絶
乏興
乏軍興
乏軍興・乏興
乏頓
乏餒
乖忤
乖忤・乖迕・乖悖・乖繆・乖戻（戾）
乖悖
乖戻
乖戾
乖異
乖異・乖違
乖繆
乖迕
乖違
乖隔
乖離
乗人之車者載人之患
乗伝
乗伝（傳）
乗傳
乗勢
乗桴浮于海
乗機
乗田
乗矢
乗竜
乗竜（龍）
乗車之会
乗車之会（會）
乗車之會
乗輿
乗長風破万里浪
乗長風破萬里浪
乗除
乗雲
乗鶴
乗黃
乗黄
乗黄（黃）
乗龍
乗（乘）人之車者載人之患
乗（乘）勢
乗（乘）桴浮于海
乗（乘）長風破万（萬）里浪
乘人之車者載人之患
乘勢
乘桴浮于海
乘長風破万里浪
乘長風破萬里浪
乙乙
乙夜
乙夜之覧
乙夜之覧（覽）
乙夜之覽
乙禽
乙科
乙第
乙部
乙鳥
乙鳥・乙禽
九丘
九五
九仞
九仞功虧一簣
九伯
九冬
九刑
九卿
九原
九合
九品
九回
九回・九迴
九回腸
九回腸・九迴腸
九垓
九垓・九陔・九畡・九閡
九夏
九天
九天直下
九夷
九官
九官・九工
九州
九工
九微
九思
九折
九拜
九拝
九拝（拜）
九族
九星
九春
九曜
九月九日
九服
九服・九畿
九死一生
九江
九泉
九法
九流
九淵
九牛一毛
九牧
九畡
九畿
九疇
九皋
九秋
九穀
九穀（穀）
九竅
九章
九経
九経（經）
九經
九華
九華帳
九華灯
九華灯（燈）
九華燈
九衢
九賓
九軍
九迴
九迴腸
九逝
九重
九重天
九閡
九陔
九霄
九飯
九鼎
九穀
乞丐
乞丐・乞匃・乞匄
乞匃
乞匄
乞命
乞巧
乞巧奠
乞師
乞活
乞火不若取燧
乞盟
乞言
乞身
乞食
乞骸
乞骸・乞身
乞骸骨
乱世
乱世英雄
乱俗
乱倫
乱流
乱点
乱点（點）
乱神
乱算
乱脈
乱臣
乱臣賊子
乱舞
乱道
乱邦
乱階
乱離
乱雲
乱首
乱麻
乱點
乱（亂）算
乳人
乳名
乳媼
乳嫗
乳嫗・乳媼・乳人・乳母
乳母
乳気
乳気（氣）
乳氣
乳糜
乳臭
乳虎
乳酪
乳養
乾乾
乾元
乾児
乾児（兒）
乾兒
乾坤
乾坤一擲
乾坤之徳
乾徳
乾没
乾浄
乾浄（淨）
乾涸
乾淨
乾湿
乾湿（濕）
乾濕
乾燥
乾端坤倪
乾笑
乾糧
乾綱
乾薪
乾酪
乾隆
乾飯
乾餱
乾餱・乾飯・乾糧
乾鵠
乾鵲
乾鵲・乾鵠
亀井南溟
亀兆
亀卜
亀坼
亀手
亀文鳥跡
亀書
亀殻
亀毛
亀玆
亀玉
亀甲獣骨
亀甲獣（獸）骨
亀甲獸骨
亀竜壽
亀竜寿
亀竜（龍）寿（壽）
亀策
亀策・亀筴・亀筮
亀筮
亀筴
亀紐
亀紫
亀綬
亀背
亀裂
亀趺
亀鈕
亀鈕・亀紐
亀鏡
亀鑑
亀鑑・亀鏡
亀鵠
亀鶴
亀鶴・亀鵠
亀鼈
亀鼎
亀齡
亀齢
亀齢（齡）
亀龍壽
亀龍寿
亂算
了了
了事
了得
了悟
了意
了戻
了戻（戾）
了戾
了承
了然
了知
了簡
了見
了見・了簡
了解
予一人
予奪
予寧
予小子
予後
予怠
予感
予料
予期
予測
予章
予見
予譲
予讓
予餞会
予餞會
予（豫）後
予（豫）怠
予（豫）感
予（豫）期
予（豫）測・予（豫）料
予（豫）章
予（豫）見
予（豫）譲（讓）
予（豫）餞会（會）
争友
争奈
争奪
争子
争端
争罵
争臣
争衡
争訟
争鋒
争長
事事
事事無成
事事物物
事井臼
事以密成
事件
事例
事典
事功
事半功倍
事変
事変（變）
事大
事大主義
事宜
事情
事態
事故
事業
事機
事況
事無二成
事理
事由
事略
事端
事變
事象
事跡
事跡・事迹・事蹟
事蹟
事迹
二三
二三子
二人同心其利断金
二人同心其利断（斷）金
二人同心其利斷金
二儀
二元論
二典
二十二子
二十八宿
二十四史
二十四孝
二十四気
二十四気（氣）・二十四節（節）気（氣）
二十四氣
二十四節気
二十四節氣
二十四節気
二十四節氣
二千石
二千里外故人心
二南
二喬
二喬・二橋
二四不同二六対
二四不同二六対（對）
二四不同二六對
二天
二姓
二尊
二帝三王
二心
二更
二月花
二柄
二桃殺三子
二橋
二毛
二気
二気（氣）
二氣
二流
二程
二聖
二至二分
二豎
二酉
二陸
二雅
二難
二難（難）
二難
于于
于公高門
于嗟
于帰
于帰（歸）
于歸
于越
于闐
于闐・于𥧑
于𥧑
云云
云何
云為
云為（爲）
云爲
云爾
互市
互恵
互恵（惠）
互惠
互文
互角
互訓
互譲
互譲（讓）
互讓
互選
五丈原
五不取
五不取（＝娶）
五不娶
五不孝
五代
五代史
五伯
五伯・五覇・五霸
五体
五体（體）
五侯鯖
五倫
五典
五内
五刑
五劇
五十歩百歩
五千文
五千言
五千言・五千文
五原
五古
五味
五四運動
五地
五塵
五声
五声（聲）
五夜
五大
五子之歌
五季
五官
五尺之童
五山
五岳
五岳（嶽）
五嶺
五嶺・五領
五嶽
五帝
五常
五彩
五彩・五采
五律
五悪
五悪（惡）
五情
五惡
五感
五慾
五戒
五指
五教
五斗米
五斗米道
五方
五星
五更
五服
五材
五柳先生
五権憲法
五権（權）憲法
五權憲法
五欲
五欲・五慾
五毒
五渓
五渓（溪）
五溪
五牲
五畜
五百羅漢
五百羅漢（漢）
五百羅漢
五眼
五礼
五礼（禮）
五祀
五福
五禮
五穀
五穀（穀）
五管
五紀
五経
五経博士
五経大全
五経掃地
五経正義
五経（經）
五経（經）博士
五経（經）大全
五経（經）掃地
五経（經）正義
五絶
五經
五經博士
五經大全
五經掃地
五經正義
五聲
五聴
五聴（聽）
五聽
五胡
五胡十六国
五胡十六国（國）
五胡十六國
五臓
五臓六腑
五臓（臟）
五臓（臟）六腑
五臟
五臟六腑
五臣
五色
五色無主
五花馬
五花馬・五花驄
五花驄
五苦
五蠹
五行
五行相剋
五行相剋・五行相勝
五行相勝
五行相生
五行説
五覇
五言
五車書
五輪
五逆
五道将軍
五道将（將）軍
五道將軍
五達道
五采
五里霧中
五金
五銖銭
五銖銭（錢）
五銖錢
五門
五陵
五雑組
五雑（雜）組
五雜組
五雲
五雲車
五霊
五霊（靈）
五霸
五靈
五音
五領
五風十雨
五馬
五體
五鼓
五穀
井井
井井・井然
井地
井岡山
井岡（＝崗）山
井崗山
井市
井幹
井底蛙
井梧
井然
井田
井田・井地
井竈
井絡
井臼
井蛙
井蛙・井鼃
井蛙不可以語於海
井蛙不可以語於海・井鼃不可以語於海
井陘
井魚
井鼃
井鼃不可以語於海
些事
些些
些些・些細・些少
些少
些細
些話
亜傅
亜卿
亜子
亜将
亜将（將）
亜將
亜流
亜父
亜相
亜聖
亟務
亟行
亡人
亡佚
亡八
亡匿
亡匿・亡竄
亡卒
亡命
亡国
亡国（國）
亡國
亡地
亡失
亡帰
亡帰（歸）
亡年交
亡慮
亡是公
亡欠
亡欠（缺）
亡歸
亡状
亡状（狀）
亡狀
亡竄
亡缺
亡羊之嘆
亡羊之嘆（嘆）（＝歎）
亡羊之歎
亡羊之嘆
亡羊補牢
亡聊
亡臣
亡虜
亡走
亡逸
亡逸（逸）・亡佚
亡霊
亡靈
亡頼
亡魂
亡魂・亡霊（靈）
亡逸
亢傲
亢旱
亢直
亢礼
亢礼（禮）
亢禮
亢竜有悔
亢竜（龍）有悔
亢陽
亢顔
亢龍有悔
交交
交午
交叉
交合
交合・交媾
交媾
交子
交差
交差・交叉
交情
交感
交態
交戟
交手
交接
交換
交易
交款
交歓
交歓（歡）・交款・交驩
交歡
交河
交渉
交游
交界
交睫
交窓
交結
交絶不出悪声
交絶不出悪聲
交絶不出悪（惡）声（聲）
交絶不出惡声
交絶不出惡聲
交耳
交耳・交頭接耳
交臂
交衢
交誼
交趾
交趾・交阯
交迭
交通
交遊
交遊・交游
交鈔
交鋒
交錯
交関
交関（關）
交關
交阯
交際
交頭接耳
交驩
亥月
亥豕之譌
亦歩亦趨
亨熟
亨通
亨運
亨飪
享受
享国
享国（國）
享國
享宴
享年
享有
享楽
享楽（樂）
享樂
享祀
享祉
享祉・享福
享祭
享祭・享祀
享福
享食
京兆
京兆尹
京劇
京口
京国
京国（國）
京國
京城
京官
京尹
京師
京洛
京畿
京華
京邑
京都
京闕
亭亭
亭候
亭候・亭堠
亭午
亭台
亭台（臺）
亭吏
亭堠
亭次
亭毒
亭然
亭燧
亭父
亭育
亭育・亭毒
亭臺
亭長
亭長・亭父・亭吏
亭障
亮察
亮抜
亮月
亮然
亮直
亮達
亮闇
亮陰
亮陰・亮闇
亶父
亶父・亶甫
亶甫
人一能之己百之
人不学不知道
人不学（學）不知道
人不學不知道
人世
人中
人中師子
人中獅子
人中獅（＝師）子
人中騏驥
人主
人之安宅
人之将死其言也善
人之将（將）死其言也善
人之將死其言也善
人之患在好為人師
人之患在好為（爲）人師
人之患在好爲人師
人事
人事不省
人事蓋棺定
人代
人倫
人傑
人口
人各有能有不能
人君
人君之度
人命
人命案
人和
人品
人境
人士
人外
人天
