A/D変換
いい面の皮
いうは易く行うは難し
いかりを買う
いかり心頭に発する
いかんともし難い
いかんの意を表する
いがたに嵌める
いきが切れる
いきが掛かる
いきが詰まる
いきが長い
いきぎもを抜く
いきた空はない
いきちを絞る
いきの下
いきの根
いきの緒
いきを入れる
いきを凝らす
いきを吐く
いきを吞む
いきを吹き返す
いきを引き取る
いきを弾ませる
いきを殺す
いくさの庭
いけ図図しい
いけ好かない
いさいを放つ
いさい構わず
いざ知らず
いざ鎌倉
いしが流れて木の葉が沈む
いしに枕し流れに漱ぐ
いしに漱ぎ流れに枕す
いしに立つ矢
いしに齧りついても
いしの上にも三年
いしばしを叩いて渡る
いしゃの不養生
いしょく足りて礼節を知る
いそうろう三杯目にはそっと出し
いそがば回れ
いたくもない腹を探られる
いたご一枚下は地獄
いたちの最後っ屁
いたちの道
いたに付く
いたる所
いたれり尽くせり
いちから十まで
いちか八か
いちぎに及ばず
いちげん以てこれを蔽う
いちじが万事
いちじつの長
いちじつ作さざれば一日食らわず
いちじゅの陰一河の流れも他生(多生)の縁
いちなん去ってまた一難
いちにを争う
いちねんの計は元旦にあり
いちべつ以来
いちまい上
いちみゃく相通ずる
いちもく置く
いちも二も無く
いちゅうの人
いちよう落ちて天下の秋を知る
いちを聞いて十を知る
いっかを成す
いっかんの終わり
いっきくの涙
いっけん虚に吠ゆれば万犬実を伝う
いっこく一城の主
いっさつ入れる
いっしょうに付する
いっしょうを買う
いっしょう功なりて万骨枯る
いっしを報いる
いっし乱れず
いっすいの夢
いっすんの光陰軽んずべからず
いっすんの虫にも五分の魂
いっすん先は闇
いっせいを風靡する
いっせきを投じる
いっせき設ける
いっせんを画する
いっちゅうを輸する
いっとう地を抜く
いっぱい地に塗れる
いっぱい食わす
いっぱんをもって全豹を卜す
いっぴの力を仮す
いっぷく盛る
いつぼうの争い
いつやの覧
いとを引く
いに介する
いに満たない
いに適う
いぬと猿
いぬの遠吠え
いぬも歩けば棒に当たる
いぬも食わない
いのちあっての物種
いのちから二番目
いのちの洗濯
いのちの綱
いのちの親
いのちを削る
いのちを懸ける
いのちを投げ出す
いのちを落とす
いの一番
いの中の蛙大海を知らず
いの儘
いはいを汚す
いはつを伝う
いばらの道
いびり出す
いへん三たび絶つ
いまにして思う
いまは昔
いまや遅しと
いまわの際
いま一つ
いま少し
いま泣いた烏がもう笑った
いもの煮えたも御存じない
いもを洗うよう
いも寝られず
いやが応でも
いやでも応でも
いやも応もない
いれかわり立ち代わり
いろの白いは七難隠す
いろを付ける
いろを失う
いろを正す
いわく言い難し
いわしの頭も信心から
いを以て夷を制す
いを体する
いを尽くす
いを強くする
いを決する
いを用いる
いを立てる
いを迎える
いんかん遠からず
いんがを含める
いんじゅを帯びる
いんじゅを解く
いんとくあれば陽報あり
いんどうを渡す
いんに籠もる
ういの奥山
うえを下へ
うおと水
うかがいを立てる
うかぶ瀬
うきぎの亀
うきみを窶す
うきよの塵
うきよの情け
うきよの波
うきよの風
うけに入る
うごうの衆
うごきが取れない
うごの筍
うしに対して琴を弾ず
うしに引かれて善光寺参り
うしの歩み
うしの涎
うしは牛連れ馬は馬連れ
うしろがみを引かれる
うしろを見せる
うしを馬に乗り換える
うじより育ち
うすがみを剥ぐよう
うそから出た実
うそで固める
うそも方便
うそ寒
うそ寒い
うちの人
うちの者
うっちゃりを食う
うって一丸となる
うつつを抜かす
うつばりの塵を動かす
うてば響く
うでが上がる
うでが立つ
うでが鳴る
うでに磨きをかける
うでに縒りをかける
うでに覚えがある
うでを上げる
うでを拱く
うでを振るう
うでを摩る
うどの大木
うなぎの寝床
うのけで突いたほど
うぶごえを上げる
うまい汁を吸う
うまが合う
うまには乗ってみよ人には添うてみよ
うまのせを分ける
うまの耳に念仏
うまれも付かぬ
うまを牛に乗り換える
うみに千年山に千年
うみのおやより育ての親
うみの幸
うみの物とも山の物ともつかない
うみの苦しみ
うむを言わせず
うむ相通ずる
うめに鶯
うもれぎに花が咲く
うゆうに帰す
うらには裏がある
うらの裏を行く
うらみを晴らす
うらみを飲む
うらみ骨髄に徹す
うらを返す
うら寂しい
うら恥ずかしい
うら悲しい
うら若い
うりことばに買い言葉
うりの蔓に茄子はならぬ
うり二つ
うろの恩
うろ覚え
うわさをすれば影がさす
うんでいの差
うんの尽き
えいがの夢
えたりや応
えたり賢し
えつに入る
えつぼに入る
えてに帆を揚げる
えどの敵を長崎で討つ
えに描いた餅
えのない所に柄をすげる
えびで鯛を釣る
えぼ鯛
えも言われぬ
えらぶ所がない
えりを正す
えんおうの契り
えんぎを担ぐ
えんぎを祝う
えんこう月を取る
えんじゃく安んぞ鴻鵠の志を知らんや
えんそ河に飲むも腹に満つるに過ぎず
えんなき衆生は度し難し
えんのしたの力持ち
えんは異なもの味なもの
えんりょ会釈もない
おいきに花
おいては子に従え
おいの一徹
おいの僻耳
おいの繰り言
おうせつに暇がない
おうた子に教えられて浅瀬を渡る
おおおとこ総身に知恵が回りかね
おおきなお世話
おおきな顔をする
おおぐちを叩く
おおさかの食い倒れ
おおでを振る
おおなたを振るう
おおぶねに乗ったよう
おおぶろしきを広げる
おおみえを切る
おおむこうを唸らせる
おおめに見る
おかぶを奪う
おかまを起こす
おくかに屋を架す
おくじょう屋を架す
おくのほそ道
おくばに物が挟まったよう
おくびにも出さない
おくびょうかぜに吹かれる
おくれを取る
おごれる者久しからず
おさえが利く
おさきぼうを担ぐ
おさき真っ暗
おさとが知れる
おざが醒める
おざしきが掛かる
おしえの庭
おして知るべし
おしも押されもせぬ
おすな押すな
おそきに失する
おそれ乍ら
おたあ様
おちゃを挽く
おちゃを濁す
おっ母
おっ父
おとがいが落ちる
おとがいを叩く
おとがいを解く
おとこが立つ
おとこは度胸女は愛嬌
おとなしの構え
おとに聞く
おなじ穴の狢
おなじ釜の飯を食う
おにが出るか蛇が出るか
おにが笑う
おにに金棒
おにの居ぬ間の洗濯
おにの念仏
おにの目にも涙
おにの霍乱
おにの首を取ったよう
おにも十八番茶も出花
おのれを虚しゅうする
おはちが回ってくる
おは打ち枯らす
おひゃくどを踏む
おひれが付く
おひれを付ける
おびに短し襷に長し
おぼれる者は藁をも摑む
おみこしを上げる
おめがねに適う
おめに掛かる
おめに掛ける
おめに留まる
おもいたつ日が吉日
おもいも寄らない
おもいを懸ける
おもいを晴らす
おもいを致す
おもい内にあれば色外に現る
おもい半ばに過ぐ
おもうに任せない
おもう念力岩をも通す
おもう様
おもきを置く
おもても振らず
おもてを伏す
おもてを冒す
おもてを起こす
おもてを飾る
おもにを下ろす
おやの光は七光
おやの心子知らず
おやの脛を齧る
おやぶねに乗ったよう
おらが春
おりに触れ(て)
おりも折
おり悪しく
おわりを全うする
おを塗中に曳く
おを引く
おんどを取る
おんなの腐ったよう
おんなは氏なくして玉の輿
おんな三人寄れば姦しい
おんな賢しゅうて牛売りそこなう
おんに着せる
おんに着る
おんぶに抱っこ
おんを仇で返す
おんを売る
お倉
お偉方
お出で
お出でお出で
お口汚し
お安い
お寒い
お帰りなさい
お気に入り
お決まり
お決り
お眠
お蔵
お薄
かいいぬに手を噛まれる
かいけいのはじを雪ぐ
かいしんの笑み
かいじんに帰する
かいとう乱麻を断つ
かいより始めよ
かえらぬ人となる
かえらぬ旅
かえりみて他を言う
かえるの子は蛙
かえるの面に水
かおから火が出る
かおが利く
かおが売れる
かおが広い
かおが揃う
かおに係わる
かおに泥を塗る
かおに紅葉を散らす
かおを合わせる
かおを潰す
かおを直す
かおを立てる
かおを繋ぐ
かおを貸す
かかんの言
かぎゅう角上の争い
かぎりある世
かぎりある道
かぎりなき人
かぎりなき位
かくせいの感
かげが差す
かげが薄い
かげで糸を引く
かげになり日向になり
かげの形に添うよう
かげも形もない
かげを潜める
かげを落とす
かごの鳥
かささぎの橋
かさに着る
かさの台が飛ぶ
かざあなを開ける
かざかみに(も)置けない
かしょのくにに遊ぶ
かしょ万金に抵る
かしらに霜を置く
かしらの雪
かしらを下ろす
かしらを横に振る
かしらを縦に振る
かじを取る
かせいは虎よりも猛し
かせいを俟つ
かせぐに追い付く貧乏なし
かぜが吹けば桶屋が儲かる
かぜに櫛り雨に沐う
かぜの便り
かぜの吹き回し
かぜの子
かぜの神
かぜを切る
かぜを食らう
かぜ光る
かぜ薫る
かたずを吞む
かたで息をする
かたで風を切る
かたなの錆
かたにが下りる
かたに嵌まる
かたに掛かる
かたの如く
かたの荷が下りる
かたはだ(を)脱ぐ
かたひじ(を)張る
かたぼうを担ぐ
かたみが広い
かたみが狭い
かたるに落ちる
かたわらに人無きが如し
かたを並べる
かたを入れる
かたを怒らす
かたを持つ
かたを落とす
かたを貸す
かちに乗る
かちゅうの栗を拾う
かちんと来る
かっこ良い
かっすれども盗泉の水を飲まず
かって兜の緒を締めよ
かっぱの屁
かっぱの川流れ
かっ飛ばす
かつを入れる
かてば官軍
かでんに履を納れず
かどが取れる
かどが立つ
かどばんに立つ
かなぐり捨てる
かなづちの川流れ
かなわぬときの神頼み
かには甲羅に似せて穴を掘る
かねが唸る
かねに目がくらむ
かねに糸目をつけない
かねに飽かす
かねのなる木
かねの切れ目が縁の切れ目
かねの草鞋で探す
かねは天下の回りもの
かねもち喧嘩せず
かねや太鼓で捜す
かねを寝かす
かの鳴くような声
かびが生える
かふくは糾える縄の如し
かぶが上がる
かぶりを振る
かべに耳あり
かほうは寝て待て
かまを掛ける
かみそりの刃を渡る
かみならぬ身
かみなりが落ちる
かみの国
かみも仏もない
かみを下ろす
かめのこうより年の功(劫)
かめんを脱ぐ
かめんを被る
かもが葱をしょって来る
かもなく不可もなし
かも知れない
かゆい所に手が届く
からすに反哺の孝あり
からすの濡れ羽色
からすの行水
からすの足跡
からすの雌雄
からすを鷺
からだを壊す
からだを張る
からだを粉にする
からを破る
かりの世
かりの便り
かりの宿
かれきに花
かれきも山の賑わい
かわいい子には旅をさせよ
かわたけの流れの身
かわの字
かんかを交える
かんかん帽
かんくの水
かんくの雨
かんげきを縫う
かんこどりが鳴く
かんしんの股くぐり
かんしんを買う
かんじょう合って銭足らず
かんぜんする所がない
かんたんの夢
かんたんの歩み
かんたんを砕く
かんたん相照らす
かんてんの慈雨
かんで含める
かんながらの道
かんなん汝を玉にす
かんにんぶくろの緒が切れる
かんに障る
かんの虫
かんばの労
かんぷ無きまでに
か弱い
か細い
か黒い
がいかを上げる
がいこつを乞う
がいせいの才
がいだおのずから珠を成す
がこう闘牛の尾を誤って牧童に笑わる
がた落ち
がぶ飲み
がべいに帰す
がらがら蛇
がら明き
がら空き
がら紡
がりょうてんせいを欠く
がり勉
がり版
がを張る
がを折る
がんこう紙背に徹す
がんしょく無し
がんちゅうに無い
がんを掛ける
きあいを入れる
きあいを掛ける
きいて極楽見て地獄
きえんを上げる
きえんを吐く
きから落ちた猿
きか居くべし
きが付く
きが利く
きが合う
きが咎める
きが回る
きが多い
きが差す
きが引ける
きが張る
きが急く
きが揉める
きが散る
きが気でない
きが済む
きが滅入る
きが熟する
きが短い
きが立つ
きが紛れる
きが置けない
きが若い
きが触れる
きが遠くなる
きが重い
きが長い
ききしに勝る
ききみみを立てる
きくは一時の恥聞かぬは末代の恥
きげんを取る
きげん気褄を取る
きこの勢い
きこの間に相見える
きじも鳴かずば打たれまい
きじょうの空論
きする所
きせきに入る
きせんを制する
きそくを展ばす
きちがいに刃物
きっきょうは糾える縄の如し
きって捨てる
きって落とす
きつねと狸の化かし合い
きつねの嫁入り
きで鼻を括る
きどうに乗る
きど色に表れず
きな臭い
きに乗ずる
きに入る
きに掛かる
きに病む
きに竹を接ぐ
きに縁りて魚を求む
きに障る
きに食わない
きのうの今日
きのうの淵は今日の瀬
きのうの錦今日の綴れ
きのうは人の身今日は我が身
きの端
きは心
きばを剥く
きばを研ぐ
きばを鳴らす
きびすを接する
きびすを返す
きびに付す
きぶつ金仏石仏
きまりが悪い
きみゃくを通じる
きめん人を威す
きもが太い
きもが小さい
きもが据わる
きもに銘じる
きもを冷やす
きもを潰す
きゃくと白鷺は立ったが見事
きゃっこうを浴びる
きゅうかつを叙する
きゅうこうを温める
きゅうしに一生を得る
きゅうじんの功を一簣に虧(欠)く
きゅうすれば通ず
きゅうそ猫を噛む
きゅうちょう懐に入る
きゅうぼくは雕るべからず
きゅうよの一策
きゅうを据える
きゅうを負う
きょうきんを開く
きょうの着倒れ
きょうべんを執る
きょうらんを既倒に廻らす
きょくじつ昇天の勢い
きょせいを張る
きょせい墜つ
きょそを失う
きょは気を移す
きよみずの舞台から飛び降りる
きりきり舞い
きりんも老いては駑馬に劣る
きを一にする
きを付ける
きを入れる
きを兼ねる
きを取り直す
きを吐く
きを吞まれる
きを回す
きを変える
きを引く
きを張る
きを悪くする
きを持たせる
きを揉む
きを晴らす
きを楽にする
きを落とす
きを衒う
きを見て森を見ず
きを見るに敏
きを許す
きを配る
きんか一朝の夢
きんしつ相和す
きんじょう花を添える
きんだんの木の実
きんてきを射当てる
きんときの火事見舞い
きんの卵
きんを攫む者は人を見ず
ぎっくり腰
ぎゅうじを執る
ぎゅうとうをもって鶏を割く
ぎょいに召す
ぎょいを得る
ぎょうかんを読む
ぎょふくに葬られる
ぎょふの利
ぎょろ目
ぎを見てせざるは勇無きなり
くいぜを守る
くうか食われるか
くうこくの跫音
くうや食わず
くぎを刺す
くさいものに蓋をする
くさい飯を食う
くさきも眠る
くさきも靡く
くさっても鯛
くさのねを分けて捜す
くさばの陰
くさを打って蛇を驚かす
くしの歯が欠けたよう
くしの歯を挽く
くじゅうを嘗める
くすりにしたくも無い
くすり九層倍
くそも味噌も一緒
くたばり損い
くたばり損ない
くだを巻く
くだんの如し
くちうらを合わせる
くちから先に生まれる
くちが堅い
くちが干上がる
くちが悪い
くちが掛かる
くちが曲がる
くちが減らない
くちが滑る
くちが裂けても
くちが軽い
くちが過ぎる
くちが酸っぱくなる
くちが重い
くちぐるまに乗る
くちと腹が違う
くちに乗る
くちに任せる
くちに出す
くちのはに上る
くちのはに掛かる
くちの下から
くちは禍の門
くちばしが黄色い
くちばしを入れる
くちばしを挟む
くちびるを反す
くちびるを噛む
くちびるを尖らす
くちびる亡びて歯寒し
くちびを切る
くちも八丁手も八丁
くちを入れる
くちを出す
くちを切る
くちを利く
くちを割る
くちを合わせる
くちを噤む
くちを尖らす
くちを慎む
くちを拭う
くちを挟む
くちを掛ける
くちを揃える
くちを極めて
くちを滑らす
くちを糊する
くちを衝いて出る
くつわを並べる
くつを隔てて痒きを掻く
くにくの策
くに破れて山河あり
くの字点
くびが危ない
くびが回らない
くびが繋がる
くびが飛ぶ
くびすを接する
くびすを返す
くびねっこを押さえる
くびを捻る
くびを突っ込む
くびを長くする
くもの子を散らす
くもゆきが怪しい
くもを摑む
くもを霞と
くも衝くばかり
くらい人臣を極める
くらがりから牛を引き出す
くらが建つ
くらやみから牛
くりくり坊主
くるしい時の神頼み
くるまの両輪
くんしは独りを慎む
くんしは豹変す
くんしゅ山門に入るを許さず
くんし危うきに近寄らず
ぐい飲み
ぐうのねも出ない
ぐうの音
ぐこう山を移す
ぐしゃも千慮に一得あり
ぐしょ濡れ
ぐっと来る
ぐの骨頂
ぐんばいを上げる
ぐんもう象を評す
ぐんもんに降る
ぐんを抜く
けいえい相伴う
けいえい相弔う
けいかくが取れる
けいがいに接する
けいぐんの一鶴
けいこうとなるも牛後となるなかれ
けいたり難く弟たり難し
けいてい牆に鬩ぐ
けいめい狗盗
けがの功名
けたくそが悪い
けちを付ける
けちん坊
けち臭い
けっかの勢い
けっきに逸る
けっきの勇
けの生えた
けむに巻く
けむりを立てる
けを吹いて疵を求む
けんえんの仲
けんかを売る
けんかを買う
けんか両成敗
けんか過ぎての棒千切り
けんがの弁
けんがみねに立たされる
けんてき岩を穿つ
けんばの労をとる
けんを競う
げいが無い
げいが細かい
げいじゅつのための芸術
げいじゅつは長く人生は短し
げいの虫
げいは身を助ける
げきりんに触れる
げたを履かせる
げたを預ける
げめん如菩薩内心如夜叉
げんごに絶する
げんめつの悲哀
げんを俟たない
げんを左右にする
こいぐちを切る
こいの滝登り
こいの闇
こいは思案の外
こいは盲目
こういん矢の如し
こうかい先に立たず
こうかく泡を飛ばす
こうけいに中る
こうけつを絞る
こうこくの志
こうさんなき者は恒心なし
こうざい相半ばする
こうじの学
こうじんを拝する
こうじ門を出でず
こうじ魔多し
こうせい畏るべし
こうぜつの徒
こうぜんの気
こうぜんの秘密
こうちゅうの虱
こうとうの巷
こうと死して走狗烹らる
こうふんを洩らす
こうべを回らす
こうぼうも筆の誤り
こうぼう筆を選ばず
こうぼくは風に折らる
こうやの明後日
こうやの白袴
こうらが生える
こうらを干す
こうらを経る
こうりょう一炊の夢
こうりょう悔いあり
こうを聞く
こう成り名遂ぐ
こえが掛かる
こえの下から
こえを吞む
こえを掛ける
こえを揃える
こえを殺す
こえ無き声
こきょうへ錦を飾る
こくびゃくを弁ぜず
こけつに入らずんば虎子を得ず
こけんに関わる
ここうを凌ぐ
ここうを脱する
ここうを逃れて竜穴に入る
ここに於いて
ここの声を上げる
こころが動く
こころが晴れる
こころが通う
こころが重い
こころが騒ぐ
こころに刻む
こころに掛ける
こころに浮かぶ
こころに留める
こころに適う
こころの丈
こころの琴線に触れる
こころの雲
こころを入れ替える
こころを動かす
こころを合わせる
こころを向ける
こころを奪う
こころを寄せる
こころを引き付ける
こころを打つ
こころを砕く
こころを致す
こころを許す
こころを遣る
こころを配る
こころを鬼にする
ここを先途と
ここ一番
こしが低い
こしが弱い
こしが強い
こしが砕ける
こしが軽い
こしが重い
こしを入れる
こしを屈める
こしを折る
こしを抜かす
こしを据える
こそ泥
こちゅうの天地
こっちの物
こっ酷い
こつにく相食む
こてを翳す
ことある時
ことここに至る
ことじに膠す
ことと次第による
ことなきを得る
ことに触れて
ことの序で
ことの由
ことばが過ぎる
ことばに余る
ことばに甘える
ことばに針を持つ
ことばの綾
ことばは国の手形
ことばを交わす
ことばを尽くす
ことばを掛ける
ことばを濁す
ことばを返す
ことばを飾る
ことも愚か
ことを分ける
ことを好む
ことを構える
ことを起こす
こと志と違う
こと程さように
こどもの使い
こどもの日
こどもは風の子
こぬか三合持ったら養子に行くな
このごに及んで
このよの別れ
このよの外
このよの限り
こは三界の首枷
こは鎹
こぼねが折れる
こまたの切れ上がった
こみみに挟む
こゆえの闇
ころばぬ先の杖
ころんでもただは起きない
こわいもの見たさ
こんじゃくの感
こんを詰める
ごうき木訥仁に近し
ごうに入っては郷に従え
ごうを煮やす
ごおうの寅
ごくいんを押す
ごしょうを願う
ごたぶんに洩れず
ごた混ぜ
ごった煮
ごった返す
ごて得
ごね得
ごまめの歯軋り
ごまめの魚交じり
ごり押し
さいくは流流仕上げを御覧じろ
さいげつ人を待たず
さいごの切り札
さいごの審判
さいごの晩餐
さいさんが取れる
さいふの底をはたく
さいふの紐を握る
さいふの紐を締める
さかずきを貰う
さかずきを返す
さきが見える
さきを争う
さきを越す
さきんずれば人を制す
さくし策に溺れる
さぐりを入れる
さけに吞まれる
さけは百薬の長
さしも草
さじょうの楼閣
さじを投げる
さすて引く手
さたの限り
さつきの節
さつきの鯉の吹き流し
さつびらを切る
さばの生き腐れ
さばを読む
さるも木から落ちる
さる者は日々に疎し
さる者は追わず
さわらぬ神に祟りなし
さんう来らんと欲して風楼に満つ
さんかいの珍味
さんがいの首枷
さんしゃを避く
さんしゅの神器
さんしょうは小粒でもぴりりと辛い
さんじゃくの秋水
さんじゃくの童子
さんじゅうろっけい逃げるに如かず
さんじょうの垂訓
さんずの川
さんせんの教え
さんぜの縁
さんど目の正直
さんにん寄れば文殊の知恵
さんねん飛ばず鳴かず
さんばら髪
さんびょうし揃う
さんを乱す
さんを置く
さん付け
さ入れ言葉
ざあます言葉
ざいてんの霊
ざが白ける
ざく切り
ざまは無い
ざまを見ろ
ざゆうの銘
ざら紙
ざんぎくの宴
ざんぜんを保つ
ざんぜん頭角を現す
しあんに余る
しあんに暮れる
しかばねに鞭打つ
しかを指して馬となす
しかを逐う
しかを逐う者は山を見ず
しがに(も)掛けない
しがらみ草紙
しきいが高い
しきしまの道
しこの間
しさいに及ばず
しして後已む
ししに鞭打つ
ししの子落とし
しし身中の虫
しし食った報い
しじの齢を数える
しせい命あり
しせる孔明生ける仲達を走らす
しせんを越える
しぞくの商法
したが回る
したにも置かない
したに出る
したの先
したの根の乾かぬうち
したり顔
したを出す
したを巻く
しちゅうに活を求める
しち難しい
しち面倒
しち面倒臭い
しっしょうを買う
しっちん万宝
しっぱいは成功のもと
しっぽを出す
しっぽを巻く
しっぽを振る
しっぽを摑む
しづの女
しづの男
しづの苧環
しでの山
しでの旅
しなを作る
しにばなを咲かせる
しにみずを取る
しにんに口なし
しに上す
しぬ者貧乏
しのごの言う
しの商人
しの突く雨
しは己を知る者の為に死す
しばいを打つ
しばの骨を買う
しひゃくしびょうの外
しびれを切らす
しふくを肥やす
しふんの香
しぶかわが剥ける
しめいを制する
しもた屋
しも舌に及ばず
しゃかに説法
しゃがみ込む
しゃくの種
しゃしゃり出る
しゃしんの行
しゃじくを流す
しゃっきんを質に置く
しゃに構える
しゅうか敵せず
しゅうはを送る
しゅうびを開く
しゅそく所を異にす
しゅちゅうに収める
しゅつらんの誉れ
しゅに交われば赤くなる
しゅを入れる
しゅんしょう一刻直千金
しゅんじゅうに富む
しゅんじゅうの筆法
しゅんみん暁を覚えず
しょいなげを食わせる
しょういを捨てて大同に就く
しょうじきの頭に神宿る
しょうじょうの差
しょうじん閑居して不善をなす
しょうせい落つ
しょうちゅうの珠
しょうねん老い易く学成り難し
しょうの月
しょうの虫を殺して大の虫を助ける
しょうびの急
しょうもんの出し後れ
しょうを射んと欲すればまず馬を射よ
しょくしが動く
しょくしゅを伸ばす
しょしん忘るべからず
しょば代
しらぬかおの半兵衛
しらはの矢が立つ
しらを切る
しりあしを踏む
しりうまに乗る
しりが割れる
しりが暖まる
しりが来る
しりが軽い
しりが重い
しりが長い
しりげを抜く
しりに帆を掛ける
しりに敷く
しりに火がつく
しりめに掛ける
しりを叩く
しりを拭う
しりを持ち込む
しりを据える
しりを捲る
しりを端折る
しる人ぞ知る
しれた事
しろい歯を見せる
しろい物
しろい目
しんえんに臨む
しんき蒔き直し
しんけつを注ぐ
しんこんに徹す
しんさんを嘗める
しんしょくを忘れる
しんすいの労
しんたい谷まる
しんたんを寒からしめる
しんだ子の年を数える
しんで花実が咲くものか
しんとうを滅却すれば火もまた涼し
しんにゅうを掛ける
しんは泣き寄り、他人は食い寄り
しんめいを賭する
しんを問う
じか薬籠中の物
じぎに等しい
じこうに投じる
じごくで仏に会う
じごくの沙汰も金次第
じごくの釜の蓋が開く日
じしん雷火事親父
じじょの交わり
じっしの指す所
じの文
じばらを切る
じもくを集める
じゃが芋
じゃが薯
じゃじゃ馬
じゃの道は蛇
じゃん拳
じゅうじを切る
じゅうぜんの君
じゅうばこの隅を楊枝でほじくる
じゅうもくの見るところ
じゅうよく剛を制す
じゅしの名を成す
じゅし教うべし
じゅっちゅうに陥る
じゅんぷうに帆を上げる
じょうかの盟
じょうが強い
じょうが移る
じょうきを逸する
じょうずの手から水が漏れる
じょうに脆い
じょうを通じる
じょしと小人とは養い難し
じり安
じり貧
じり高
じを低くする
じんかん到る所青山あり
じんこうに膾炙する
じんこうも焚かず屁もひらず
じんごに落ちない
じんじを尽くして天命を待つ
じんせいのための芸術
じんせい意気に感ず
じんもんに降る
すいかも辞せず
すいが身を食う
すいぎょの交わり
すいせいの如く現れる
すいほうに帰する
すいも甘いも噛み分ける
すえぜん食わぬは男の恥
すがたを消す
すきこそ物の上手なれ
すきを凝らす
すぎたるは(猶)及ばざるが如し
すずしい顔
すずめの涙
すずめ百まで踊り忘れず
すっぽ抜ける
すなを噛ます
すなを噛むよう
すねに傷持つ
すねを齧る
すべったの転んだのと
すべての道はローマに通ず
すみに置けない
すみの衣
すみを打つ
すみを流したよう
すめば都
する事なす事
すんてつ人を刺す
ずいきの涙
ずうずう弁
ずが高い
ずに乗る
ずに当たる
ずば抜ける
ずぶ濡れ
ずべ公
ずり上がる
ずり下がる
ずり落ちる
ずれ込む
せいあの見
せいうんの志
せいこくを射る
せいしん一到何事か成らざらん
せいだく併せ吞む
せいては事をし損じる
せいてんの霹靂
