䫏頭
一更
一書
一服
一望
一朝
一朝一夕
一朝之忿
一朝之患
一期
一期一会
一期一会（會）
一期一會
一本槍
一札
一朶
一条
一条（條）
一杯
一枝春
一條
一概
一概（槪）
一槪
一樹蔭一河流
一次
一歩高一歩
一死一生乃知交情
一殺多生
一毛
一毛不抜
一毛作
一毫
一気
一気呵成
一気（氣）
一気（氣）呵成
一氣
一氣呵成
一汁一菜
一決
一沐三握髪
一治一乱
一治一乱（亂）
一治一亂
一波動則万波生
一波動則万（萬）波生
一波動則萬波生
一洒
一洗
一派
一流
一涯
一瀉千里
一炊之夢
一点
一点（點）
一片
一牛鳴地
一物
一犬吠形百犬吠声
一犬吠形百犬吠声（聲）
一犬吠形百犬吠聲
一狐之腋
一狐裘三十年
一献
一献（獻）
一獻
一理
一環
一生
一生懸命
一生苦楽依他人
一生苦楽（樂）依他人
一生苦樂依他人
一疋
一病息災
一痕
一盞
一盞灯
一盞灯（燈）
一盞燈
一目
一目十行
一目瞭然
一瞥
一瞬
一知半解
一石二鳥
一碧
一碧万頃
一碧万（萬）頃
一碧萬頃
一種
一穂
一穂（穗）
一穗
一空
一竿風月
一笑
一笑千金
一筆
一等親
一策
一篷
一簞食一瓢飲
一簣
一簣・一蕢
一簣之功
一籌
一粒万倍
一粒万（萬）倍
一粒萬倍
一粟
一粲
一糸不乱
一糸不亂
一糸不挂
一糸不掛
一糸（絲）不乱（亂）
一糸（絲）不掛・一糸（絲）不挂
一系
一紀
一終
一統
一絲不乱
一絲不亂
一絲不挂
一絲不掛
一絶
一網打尽
一網打尽（盡）
一網打盡
一緒
一縷
一義
一翼
一脈
一脈相通
一臂
一臘
一臥
一致
一興
一舎
一般
一芸
一芸（藝）
一茶頃
一落千丈
一葉
一葉落知天下秋
一葦
一蓮托生
一蕢
一薫一蕕
一藝
一行
一衣帯水
一衣帯（帶）水
一衣帶水
一裘一葛
一見
一見如旧識
一見如旧（舊）識
一見如舊識
一見識
一視同仁
一覧
一覧（覽）
一覽
一角
一触即発
一触即發
一触卽発
一触卽發
一触（觸）即（卽）発（發）
一觴一詠
一觸即発
一觸即發
一觸卽発
一觸卽發
一言一行
一言以蔽之
一言半句
一言居士
一諾
一諾千金
一議
一變
一貧一富乃知交態
一貫
一貴一賤交情乃見
一路
一路平安
一蹴
一躍
一身
一身都是胆
一身都是胆（膽）
一身都是膽
一車薪之火
一軌
一軍
一転
一転（轉）
一輪
一轉
一轍
一辞
一辞（辭）
一辭
一辺倒
一辺（邊）倒
一途
一進一退
一遊一予
一遊一予（豫）
一遊一豫
一遍
一過
一道
一邊倒
一部
一部始終
一郭
一郭・一廓
一酔千日
一酔（醉）千日
一醉千日
一長一短
一門
一院
一陣
一陽來復
一陽来復
一陽来（來）復
一隅
一隻眼
一雙
一霎
一面
一面識
一韻到底
一頭
一顧
一顧傾人城
一顰一笑
一飧之徳
一飯三吐哺
一飯之報
一飯之恩
一飯之頃
一餉
一饋十起
一騎当千
一騎当（當）千
一騎當千
一體
一髪
一髪引千鈞
一點
一齊
一喝
一層
丁丁
丁令
丁冬
丁冬・丁東
丁半
丁口
丁壮
丁壮（壯）
丁壯
丁夫
丁女
丁子
丁寧
丁年
丁強
丁当
丁当（當）・丁璫
丁役
丁憂
丁数
丁数（數）
丁數
丁東
丁璫
丁男
丁當
丁稚
丁艱
丁重
丁銀
丁零
丁零・丁令・丁霊（靈）
丁霊
丁靈
丁香
丁香結
七七日
七五三
七出
七十二候
七十二弟子
七十子
七十而従心所欲不踰矩
七十而従（從）心所欲不踰矩
七十而從心所欲不踰矩
七去
七国
七国（國）
七國
七堂
七堂伽藍
七夕
七大
七大寺
七宝
七宝（寶）
七宿
七寶
七尺
七尺去不踏師影
七弦琴
七弦琴・七絃琴
七律
七徳
七情
七政
七教
七星
七曜
七書
七歩才
七珍
七生
七生報国
七生報国（國）
七生報國
七略
七福神
七種
七竅
七絃琴
七経
七経（經）
七絶
七經
七縦七擒
七縦（縱）七擒
七縱七擒
七草
七言
七言古詩
七言律詩
七言排律
七言絶句
七賢
七転八倒
七転八起
七転（轉）八倒
七転（轉）八起
七轉八倒
七轉八起
七道具
七雄
七難
七音
七顚八倒
七香車
万一
万万
万丈
万世
万世一系
万世不易
万乗
万乗之君
万乗（乘）
万乗（乘）之君
万乘
万乘之君
万事休
万人敵
万仞
万仞・万尋
万代
万億
万全
万劫
万化
万古
万喚
万国
万国（國）
万國
万壑
万壽
万壽節
万壽節
万寿
万寿節
万寿節
万寿（壽）
万寿（壽）節（節）
万尋
万巻
万年
万年之後
万幾
万幾・万機
万径
万径（徑）
万徑
万恨
万感
万態
万戸
万戸侯
万斛
万方
万有
万朶
万機
万歳
万歳後
万歳楽
万歳楽（樂）
万歳樂
万死
万死一生
万物
万物之逆旅
万物之霊
万物之霊（靈）
万物之靈
万福
万端
万籟
万緑叢中紅一点
万緑叢中紅一点（點）
万緑叢中紅一點
万能
万舞
万般
万落
万葉
万葉仮名
万葉仮（假）名
万葉假名
万計
万謝
万象
万邦
万里
万里侯
万里橋
万里長城
万重
万金
万鈞
万鍾
万鎰
万障
万雷
万頃
万騎
万骨
万（萬）
丈丈
丈人
丈六
丈夫
丈夫非無涙、不灑離別間
丈室
丈母
三七日
三丈之木
三三九度
三三五五
三上
三不去
三不孝
三不幸
三世
三世因果
三事
三五
三五夜
三五夜中新月色
三人成虎
三人為市虎
三人為（爲）市虎
三人爲市虎
三人行必有我師
三仁
三代
三代実録
三代実（實）録
三代實録
三伏
三伝
三伝（傳）
三位
三体
三体石経
三体石經
三体詩
三体（體）
三体（體）石経（經）
三体（體）詩
三余
三余（餘）
三侑
三倉
三倉・三蒼
三傑
三傳
三儀
三元
三光
三公
三冬
三刀
三刀之夢
三分之計
三分鼎足
三到
三則不赦
三務
三匝
三十二相
三十六宮
三十六峰
三十六計
三十六計不如遁
三十有室
三十而立
三十輻共一轂
三千世界
三卿
三叉
三友
三台
三史
三司
三后
三吏三別
三吐
三命
三品
三唐
三嘆
三嘆・三歎
三器
三国
三国一
三国志
三国志演義
三国（國）
三国（國）一
三国（國）志
三国（國）志演義
三國
三國一
三國志
三國志演義
三塗
三墳五典八索九丘
三壇
三壺
三変
三変（變）
三夏
三多
三始
三字石経
三字石経（經）
三字石經
三字経
三字経（經）
三字經
三季
三孤
三学
三学（學）
三學
三官
三宝
三宝（寶）
三宥
三宮
三家
三家詩
三寒四温
三寶
三寸舌
三尊
三尸
三尺
三尺秋水
三尺童子
三山
三峡
三峡（峽）
三峽
三巳
三巴
三師
三帰
三帰（歸）
三年不窺園
三年不蜚不鳴
三年之喪
三弦
三弦・三絃
三径
三径（徑）
三徑
三従
三従（從）
三從
三復
三徳
三思
三患
三悪
三悪道
三悪（惡）
三悪（惡）道
三惑
三惡
三惡道
三愆
三戒
三才
三才図会
三才図會
三才図（圖）会（會）
三才圖会
三才圖會
三折肱
三拜九拜
三拝九拝
三拝（拜）九拝（拜）
三捉髪
三損友
三教
三教指帰
三教指帰（歸）
三教指歸
三文
三方
三族
三易
三星
三春
三春暉
三昧
三時
三晉
三晋
三晋（晉）
三晡
三曲
三更
三曹
三朝
三本
三桓
三業
三極
三楽
三楽（樂）
三槐
三樂
三権
三権（權）
三權
三歎
三正
三歸
三殤
三民主義
三河
三浣
三浣・三澣
三浦梅園
三澣
三火
三災
三点
三点（點）
三無私
三爵
三牲
三牲之養
三猿
三玄
三王
三珠樹
三甲
三界
三畏
三略
三疾
三百
三百代言
三百篇
三皇
三皇五帝
三益友
三省
三知
三礼
三礼（禮）
三神
三神山
三禮
三秋
三秋思
三秦
三種神器
三章
三竿
三等親
三絃
三経
三経（經）
三統
三統暦
三統暦（曆）
三統曆
三絶
三經
三綱
三綱五常
三綱領八条目
三綱領八条（條）目
三綱領八條目
三老
三老五更
三考
三聖
三舎
三苗
三蒼
三蔵
三蔵法師
三蔵（藏）
三蔵（藏）法師
三藏
三藏法師
三藐三菩提
三藩之乱
三藩之乱（亂）
三藩之亂
三蘇
三虫
三虫（蟲）
三蟲
三行
三親
三計
三計塾
三論
三諫
三謝
三譲
三譲（讓）
三護
三變
三讓
三賦
三赦
三足烏
三跪九叩
三蹟
三蹟・三迹
三軍
三軍可奪帥
三軍可奪気
三軍可奪気（氣）
三軍可奪氣
三輔
三辰
三辺
三迹
三途
三途・三塗
三途川
三通
三達尊
三達徳
三遷
三都
三都賦
三里
三鈷
三鑑
三門
三関
三関（關）
三閭
三閭大夫
三關
三霊
三霊（靈）
三靈
三面網
三革
三韓
三韻
三顧
三飧
三餘
三體
三體石経
三體石經
三體詩
三點
三鼓
上丁
上下
上下一心
上下天光
上世
上乗
上乗（乘）
上乘
上京
上人
上仁
上仙
上仙・上僊
上代
上使
上供
上僊
上僭
上元
上公
上冬
上升
上升・上昇
上午
上卿
上古
上句
上台
上司
上告
上命
上和下睦
上品
上啓
上善
上国
上国（國）
上國
上坐
上場
上士
上声
上声（聲）
上壽
上大夫
上天
上奏
上孰
上官
上宮疏
上寿
上寿（壽）
上将
上将軍
上将（將）
上将（將）軍
上將
上將軍
上局
上工
上巳
上帝
上席
上平
上年
上庠
上座
上座・上坐
上弦
上徳
上意
上意下達
上慢
上戸
上手
上指
上文
上方
上日
上旨
上旬
上昇
上春
上智
上書
上月
上木
上林苑
上柱国
上柱国（國）
上柱國
上根
上梓
上棟
上毛
上江
上洛
上流
上浣
上浣・上澣
上海
上清
上游
上澣
上熟
上熟・上孰
上田
上甲
上申
上界
上略
上番
上疏
上皇
上相
上知
上知・上智
上秋
上程
上穹
上章
上第
上策
上納
上聞
上聲
上肢
上膊
上舎
上苑
上蔟
上衆
上行
上衣
上表
上覧
上覧（覽）
上覽
上言
上計
上訴
上諭
上謁
上謁（謁）
上賓
上賢
上足
上農
上道
上達
上達部
上都
上長
上院
上陽
上陽花
上頭
上首尾
上騰
上﨟
上謁
下下
下世
下世話
下乗
下乗（乘）
下乘
下交
下人
下付
下付・下附
下伏
下体
下体（體）
下俚
下僕
下僚
下元
下克上
下克上・下剋上
下剋上
下剤
下剤（劑）
下劑
下北面
下午
下司
下吏
下命
下品
下問
下国
下国（國）
下國
下土
下地
下坐
下堂
下士
下壽
下大夫
下奴
下妻
下婢
下嫁
下学上達
下学（學）上達
下學上達
下官
下寿
下寿（壽）
下層
下層（層）
下帷
下平
下年
下座
下座・下坐
下弦
下情
下愚
下戸
下手
下手人
下文
下方
下旬
下根
下榻
下殤
下民
下江
下泉
下流
下浣
下浣・下澣
下澣
下獄
下田
下界
下番
下直
下瞰
下知
下種
下第
下筆
下策
下肢
下腿
下臣
下舂
下落
下衆
下計
下賜
下賤
下走
下足
下車
下達
下邑
下邳
下郎
下里
下野
下附
下降
下院
下陰
下風
下馬
下馬評
下體
下﨟
下層
不一
不与
不世
不世出
不中
不乙
不亀手之薬
不亀手之藥
不亀（龜）手之薬（藥）
不予
不予（豫）
不二
不二価
不仁
不介意
不以人廃言
不以人廃（廢）言
不以人廢言
不以言挙人
不以言挙（擧）人
不以言擧人
不作
不例
不便
不信
不俱戴天
不倒翁
不値一銭
不値一銭（錢）
不値一錢
不倫
不偏
不偶
不備
不入虎穴不得虎子
不共
不共戴天
不具
不刊之書
不利
不動
不動尊
不動明王
不動産
不勝
不勝杯杓
不勝簪
不即不離
不即（卽）不離
不卽不離
不参
不参（參）
不參
不友
不可
不可分
不可勝数
不可及
不可思議
不可抗力
不可欠
不可欠（缺）
不可缺
不可解
不可諱
不可避
不合理
不吉
不周
不和
不問
不器
不器量
不図
不図（圖）
不圖
不埒
不壊
不壊（壞）
不壞
不変
不変（變）
不夜城
不如
不如帰
不如帰（歸）
不如意
不如歸
不始末
不孝
不孫
不孫・不遜
不定
不実
不実（實）
不宣
不實
不審
不尽
不尽（盡）
不屈
不屑之教誨
不帰
不帰客
不帰（歸）
不帰（歸）客
不常有
不平
不幸
不庭
不弁咫尺
不弁東西
不弁菽麥
不弁菽麦
不弁（辨）咫尺
不弁（辨）東西
不弁（辨）菽麦（麥）
不弐過
不弐（貳）過
不弔
不弟
不弟・不悌
不当
不当（當）
不律
不得已
不得要領
不徳
不忍
不忠
不快
不思議
不恤緯
不恭
不恵
不恵（惠）
不悉
不悌
不悱不発
不悱不発（發）
不悱不發
不惑
不惜身命
不惠
不愍
不意
不愧于屋漏
不慮
不憤不啓
不憫
不憫・不愍
不成器
不才
不抜
不拾遺
不挟長
不挟（挾）長
不挾長
不撓
不敏
不敬
不敵
不文
不文律
不断
不断（斷）
不斷
不日
不易
不昧
不時
不本意
不朽
不朽之盛事
不材
不次
不欺暗室
不歯
不歯（齒）
不歸
不歸客
不死之薬
不死之薬（藥）
不死之藥
不死身
不毛
不気味
不気（氣）味
不氣味
不求甚解
不治
不況
不浄
不浄門
不浄（淨）
不浄（淨）門
不淑
不淨
不淨門
不測
不滅
不漁
不為児孫買美田
不為（爲）児孫買美田
不熟
不爲児孫買美田
不犯
不用
不由径
不當
不発
不発（發）
不發
不盡
不相応
不相応（應）
不相應
不眠不休
不知
不知其子視其友
不知所措
不知手之舞足之踏
不知為不知
不知為（爲）不知
不知爲不知
不知類
不磨大典
不祝儀
不祥
不禄
不稽
不穀
不穏
不穏当
不穏當
不穏（穩）
不穏（穩）当（當）
不穩
不穩当
不穩當
不窮
不窺園
不立
不立文字
不粋
不粋（粹）
不粹
不精
不純
不細工
不経
不経（經）
不結轍
不經
不羈
不義
不義理
不義而富且貴、於我如浮雲
不老不死
不老門
不者
不聊生
不肖
不能
不能将兵、而善将将
不能将（將）兵、而善将（將）将（將）
不能將兵、而善將將
不能賛一辞
不能賛一辭
不能賛（贊）一辞（辭）
不能贊一辞
不能贊一辭
不腆
不臣
不自容
不興
不舎昼夜
不良
不若
不蔓不枝
不虞
不血食
不行状
不行状（狀）
不行狀
不行跡
不衷
不要
不覚
不覚屐歯折
不覚屐齒折
不覚（覺）
不覚（覺）屐歯（齒）折
不覺
不覺屐歯折
不覺屐齒折
不言
不言之教
不言之花
不言実行
不言実（實）行
不言實行
不許葷酒入山門
不詳
不調
不調法
不諱
不識一丁字
不識不知順帝之則
不變
不豫
不貞
不貳過
不起
不足
不践迹
不践（踐）迹
不踐迹
不踰矩
不躐等
不軌
不辜
不辨咫尺
不辨東西
不辨菽麥
不辨菽麦
不辱君命
不退転
不退転（轉）
不退轉
不通
不通水火
不逞
不造
不遇
不遇・不偶
不遜
不遷怒
不釈巻
不釈（釋）巻
不釋巻
不随
不随（隨）
不隨
不順
不須
不預
不首尾
不齒
不龜手之薬
不龜手之藥
与不善人居如入鮑魚之肆
与世推移
与党
与党（黨）
与国
与国（國）
与國
与奪
与時俯仰
与知
与聞
与議
与黨
与（與）
与（與）不善人居如入鮑魚之肆
与（與）世推移
与（與）時俯仰
丐児
丐児（兒）
丐兒
丐取
丐命
丐子
丐戸
丐者
丑三
丑寅
且夫
且字
且月
丕休
丕命
丕基
丕子
丕承
丕業
丕烈
丕祚
丕顕
丕顕（顯）
丕顯
世上
世主
世事
世人
世代
世俗
世儒
世冑
世務
世卿
世塗
世塵
世外
世婦
世嫡
世子
世官
世家
世尊
世帯
世帯（帶）
世帶
世幹
世情
世態
世才
世故
世智
世栄
世栄（榮）
世業
世榮
世次
世母
世父
世界
世界観
世界観（觀）
世界觀
世相
世知
世知・世智
世禄
世系
世紀
世紛
世累
世網
世職
世臣
世表
世襲
世評
世説
世説新語
世論
世譜
世路
世辞
世辞（辭）
世辭
世途
世途・世塗
世運
世道
世間
丘冢
丘園
丘土
丘垤
丘塋
丘塚
丘塚・丘冢
丘墟
丘墳
丘壑
丘壟
丘壟・丘隴
丘山
丘民
丘索
丘虚
丘虚（虛）・丘墟
丘虛
丘軻
丘里之言
丘阜
丘陵
丘隴
丘首
丙午
丙吉問牛喘
丙夜
丞丞
丞史
丞相
両三
両三日
両三行
両両
両京
両儀
両全
両制
両可説
両君
両周
両岐
両当
両当（當）
両得
両心
両断
両断（斷）
両斷
両朝
両極
両浙
両淮
両漢
両當
両税
両立
両端
両舌
両虎共闘其勢不俱生
両虎共闘（鬪）其勢不俱生
両虎共鬪其勢不俱生
両襠
両言
両輪
両造
両部
両都
両間
両雄
両頭蛇
両髦
両鬢
両（兩）
並世
並列
並用
並称
並称（稱）
並稱
並置
並肩
並行
並進
並（竝）
丫頭
丫鬟
中世
中二千石
中井履軒
中人
中伏
中佐
中使
中傷
中元
中冬
中分
中務省
中原
中原之鹿
中古
中呂
中和
中唐
中国
中国（國）
中國
中土
中堂
中堅
中士
中壽
中夏
中外
中夜
中天
中央
中孚
中宮
中宵
中寿
中寿（壽）
中将
中将（將）
中將
中尉
中山
中峯
中峰
中峰・中峯
中州
中年
中座
中庭
中庸
中心
中情
中懐
中懐（懷）
中懷
中断
中断（斷）
中斷
中日
中春
中書
中書令
中書省
中書舎人
中有
中朝
中枢
中枢（樞）
中核
中樞
中止
中正
中殤
中江藤樹
中流
中浣
中浣・中澣
中澣
中略
中秋
中立
中老
中腸
中腹
中興
中華
中葉
中行之士
中説
中貴人
中軸
中途
中道
中門
中間
中陰
中霤
中風
丰姿
丰容
丰采
丱女
丱歯
丱歯（齒）
丱童
丱角
丱齒
串子
串戯
串戯（戲）
串戲
串殺
串童
丸剤
丸剤（劑）
丸劑
丸薬
丸薬（藥）
丸藥
丸髷
丸髻
丹丘
丹丘・丹邱
丹丘子
丹冊
丹台
丹台（臺）
丹唇
丹唇・丹脣
丹堊
丹墀
丹壑
丹府
丹心
丹念
丹書
丹朱
丹梯
丹毒
丹沙
丹液
丹田
丹砂
丹砂・丹沙
丹精
丹脂
丹脣
丹臺
丹英
丹薬
丹薬（藥）
丹藥
丹誠
丹邱
丹鉛
丹闕
丹陛
丹霄
丹霞
丹青
丹青之妙
丹頂
丹鳳
主一無適
主上
主事
主人
主任
主位
主体
主体（體）
主公
主刑
主力
主司
主君
主命
主唱
主器
主因
主基
主婦
主媼
主客
主客顚倒
主宰
主家
主峰
主帥
主席
主幹
主張
主従
主従（從）
主從
主恩
主意
主敬存誠
主文
主旨
主査
主格
主権
主権（權）
主權
主治
主流
主潮
主父
主犯
主皮
主眼
主祭
主筆
主管
主簿
主義
主翁
主脳
主脳（腦）
主腦
主膳
主観
主観（觀）
主觀
主計
主語
主謀
主賓
主辦
主辱臣死
主部
主静
主静（靜）
主靜
主領
主題
主體
乂安
乂寧
乃公
乃武乃文
乃父
乃祖
乃翁
乃至
久久
久之
久佚
久懐
久懐（懷）
久懷
久故
久曠
久次
久淹
久濶
久濶・久闊
久疾
久要
久視
久逸
久逸・久佚
久遠
久闊
久離
之罘
乍存乍亡
乎古止点
乎古止点（點）
乎古止點
乏匱
乏困
乏月
乏窮
乏絶
乖忤
乖忤・乖迕
乖戻
乖異
乖繆
乖迕
乖隔
乖離
乗伝
乗伝（傳）
乗傳
乗勝
乗勢
乗化
乗弊
乗月
乗法
乗田
乗矢
乗竜
乗竜（龍）
乗車之会
乗車之会（會）
乗車之會
乗軒
乗輿
乗輿播越
乗長風破万里浪
乗長風破萬里浪
乗除
乗鶴
乗黄
乗龍
乗（乘）
乗（乘）勝
乗（乘）勢
乗（乘）化
乗（乘）弊
乗（乘）月
乗（乘）長風破万（萬）里浪
乘勝
乘勢
乘化
乘弊
乘月
乘長風破万里浪
乘長風破萬里浪
乙夜
乙夜之覧
乙夜之覧（覽）
乙夜之覽
乙女
乙子
乙科
乙第
乙鳥
九丘
九五
九仞
九仞功虧一簣
九伯
九刑
九十春光
九卿
九原
九合
九品
九回腸
九国
九国（國）
九國
九夏
九天
九天直下
九夷
九嬪
九字
九官
九尾狐
九層
九層之台起於累土
九層之臺起於累土
九層（層）
九層（層）之台（臺）起於累土
九川
九州
九微
九思
九折
九拜
九拝
九拝（拜）
九族
九日
九星
九春
九曜
九月九日
九服
九死一生
九江
九泉
九流
九淵
九牛一毛
九牧
九疇
九皐
九秋
九穀
九竅
九章
九節
九経
九経（經）
九經
九華
九華帳
九華灯
九華灯（燈）
九華燈
九衢
九賓
九輪
九重
九重天
九野
九門
九霄
九鼎
九鼎大呂
九層
九層之台起於累土
九層之臺起於累土
乞丐
乞人
乞仮
乞仮（假）
乞假
乞児
乞児（兒）
乞兒
乞命
乞巧
乞巧奠
乞食
乞骸
乞骸骨
也哉
也已
也已矣
也者
乱世
乱世之音
乱世英雄
乱亡
乱人
乱伐
乱俗
乱倫
乱入
乱兵
乱子
乱射
乱山
乱帙
乱心
乱戦
乱戦（戰）
乱戰
乱打
乱政
乱暴
乱書
乱流
乱点
乱点（點）
乱獲
乱理
乱用
乱発
乱発（發）
乱發
乱神
乱筆
乱算
乱脈
乱臣
乱臣賊子
乱舞
乱蟬
乱行
乱読
乱読（讀）
乱調
乱讀
乱費
乱賊
乱逆
乱道
乱邦
乱酔
乱酔（醉）
乱醉
乱闘
乱闘（鬪）
乱階
乱雑
乱雑（雜）
乱雜
乱離
乱雲
乱首
乱鬪
乱魁
乱鴉
乱鴻
乱麻
乱點
乱（亂）
乱（亂）流
乱（亂）算
乳児
乳児（兒）
乳兒
乳名
乳哺
乳媼
乳歯
乳歯（齒）
乳母
乳気
乳気（氣）
乳氣
乳糜
乳臭
乳虎
乳酪
乳鉢
乳養
乳齒
乾乾
乾儀
乾元
乾児
乾児（兒）
乾兒
乾剛
乾坤
乾坤一擲
乾徳
乾杯
乾杯・乾盃
乾没
乾涸
乾湿
乾湿（濕）
乾漆
乾濕
乾燥
乾盃
乾端坤倪
乾笑
乾綱
乾覆
乾象
乾酪
乾隆帝
乾霊
乾霊（靈）
乾靈
乾鵲
乾麵
乾麺
乾麺（麵）
亀万年
亀万（萬）年
亀兆
亀千歳
亀卜
亀坼
亀手
亀文鳥跡
亀書
亀殻
亀毛
亀玉
亀田鵬斎
亀田鵬斎（齋）
亀田鵬齋
亀甲
亀甲獣骨
亀甲獣（獸）骨
亀甲獸骨
亀竜壽
亀竜寿
亀竜（龍）寿（壽）
亀策
亀策・亀筴
亀筮
亀筴
亀紐
亀紫
亀背
亀胸
亀茲
亀萬年
亀裂
亀趺
亀鈕
亀鈕・亀紐
亀鏡
亀鑑
亀鶴
亀鼈
亀鼎
亀齡
亀齢
亀齢（齡）
亀龍壽
亀龍寿
亀（龜）
亂流
亂算
了了
了察
了得
了悟
了承
了然
了知
了簡
了見
了見・了簡
了解
予一人
予備
予兆
予告
予報
予奪
予定
予小子
予後
予怠
予感
予断
予斷
予期
予測
予知
予程
予章
予算
予習
予聞
予見
予言
予譲
予讓
予豈好弁哉
予豈好弁（辯）哉
予豈好辯哉
予餞会
予餞會
予（豫）備
予（豫）兆
予（豫）告
予（豫）報
予（豫）定
予（豫）後
予（豫）怠
予（豫）感
予（豫）断（斷）
予（豫）期
予（豫）測
予（豫）知
予（豫）程
予（豫）章
予（豫）算
予（豫）習
予（豫）聞
予（豫）見
予（豫）言
予（豫）譲（讓）
予（豫）餞会（會）
予（豫）（予）
争乱
争乱（亂）
争亂
争光
争友
争名争利
争奪
争姸
争子
争心
争権
争権（權）
争權
争獲
争端
争臣
争衡
争覇
争訟
争論
争鋒
争長
争闘
争闘（鬪）
争鬪
争（爭）
争（爭）姸
争（爭）鋒
争（爭）長
事予則立
事予（豫）則立
事事物物
事以密成
事件
事体
事体（體）
事例
事典
事功
事勢
事半功倍
事変
事変（變）
事大主義
事始
事宜
事情
事態
事故
事柄
事業
事機
事況
事無二成
事理
事由
事端
事納
事績
事變
事象
事豫則立
事跡
事跡・事迹・事蹟
事蹟
事迹
事項
事體
二三
二三子
二世
二世契
二人同心其利断金
二人同心其利断（斷）金
二人同心其利斷金
二伯
二儀
二元論
二八
二六対
二六対（對）
二六對
二六時中
二典
二分
二十五史
二十五菩薩
二十八宿
二十四史
二十四孝
二十四気
二十四気（氣）
二十四氣
二十四番花信風
二千石
二千里外故人心
二南
二四不同
二天
二姓
二季
二尊
二律背反
二心
二更
二月花
二柄
二極
二権
二権（權）
二權
二毛
二毛作
二気
二気（氣）
二氣
二王
二程
二等親
二者択一
二者択（擇）一
二者擇一
二聖
二覇
二言
二諾
二豎
二陸
二雅
二難
二鼓
于于
于公高門
于嗟
于寘
于帰
于帰（歸）
于役
于武陵
于歸
于越
于闐
于闐・于寘
云云
云何
云為
云為（爲）
云爲
云爾
互市
互恵
互恵（惠）
互惠
互換
互文
互角
互訓
互譲
互譲（讓）
互讓
互選
五丈原
五不取
五不取・五不娶
五不娶
五不孝
五代
五代史
五伯
五位
五体
五体（體）
五侯
五倫
五倫十起
五兵
五典
五内
五刑
五劇
五十児有七十母
五十児（兒）有七十母
五十兒有七十母
五十歩百歩
五十而知天命
五千言
五原
五友
五古
五味
五品
五塵
五声
五声（聲）
五夜
五大
五季
五学院
五学（學）院
五學院
五官
五尺之童
五山
五山文学
五山文学（學）
五山文學
五山版
五岳
五岳（嶽）
五嶽
五帝
五常
五廟
五彩
五律
五徳
五性
五悪
五悪（惡）
五情
五惡
五感
五戒
五教
五斗米
五斗米道
五族
五星
五更
五月雨
五服
五材
五柳先生
五根
五欲
五歩詩
