8の字
かっ飛ばす
かなぐり捨てる
かんかん帽
かんかん照り
か弱い
か細い
か黒い
がた落ち
がらがら声
がらがら蛇
がら空き
がら紡
がり勉
がり版
きいきい声
きざ柿
きな臭い
きめ細かい
きりきり舞
きりきり舞い
きんきん声
ぎっくり腰
ぎゅうぎゅう詰め
ぎょろ目
ぎょろ眼
くたばり損ない
くりくり坊主
ぐい吞
ぐい吞み
ぐい飲み
ぐうの音
ぐしょ濡れ
ぐし縫
ぐし縫い
けちん坊
けち臭い
げじげじ眉
こじ開ける
こそ泥
こっ酷い
ごちゃ混ぜ
ごった煮
ごった返す
ごて得
ごね得
ごみ取り
ごみ浚い
ごみ溜
ごみ溜め
ごり強い
ごり押し
ごろ寝
ささ栗
ささ濁り
さざれ波
さらけ出す
さら地
さら湯
さり気
さり気無い
さる者
さん付け
さ緑
さ迷う
ざあざあ降り
ざあます言葉
ざく切り
ざら場
ざら紙
ざんばら髪
したり顔
しっぺ返し
しもた屋
しゃくり上げる
しゃくり泣き
しゃしゃり出る
しゃちほこ張る
しゃっちょこ張る
しゃっちょこ立ち
しょぼ濡れる
じゃが芋
じゃじゃ馬
じゃん拳
じり安
じり押し
じり貧
じり高
すき焼
すき焼き
すき鍋
すげ替える
すっぽ抜ける
ずうずう弁
ずく濡れ
ずば抜ける
ずぶ濡れ
ずり上がる
ずり落ちる
ずれ込む
せせら笑う
せん方
そそり立つ
そぼ濡れる
そぼ降る
そ知らぬ
ぞっき本
ぞろ目
ため口
たも網
たん瘤
だだっ広い
だふ屋
だぼ鯊
だら幹
だれ気味
だん袋
ちぎり絵
ちぎれ雲
ちびっ子
ちゃんこ鍋
ちょび髭
ちょん切る
ちり鍋
ちんどん屋
つくつく法師
つるべ打ち
つるべ撃ち
てんこ盛り
でっち上げる
でれ助
でんぐり返し
でんぐり返る
でんでん太鼓
でんでん虫
とち狂う
とてもの事に
とどの詰まり
とどの詰り
とは言え
とば口
とろろ昆布
とろ火
とんとん拍子
とんとん葺
とんとん葺き
と見こう見
と金
と雖も
どう致しまして
どか貧
どか雪
どさくさ紛れ
どさ回り
どす黒い
どた靴
どっち付かず
どっち道
どの道
どぶ漬
どぶ漬け
どら声
どら娘
どら息子
どら焼
どら焼き
どら猫
どんぐり眼
どんちゃん騒ぎ
どんでん返し
どん底
どん詰まり
どん詰り
ど真ん中
ど真中
ながら族
なぐり描き
なぐり書き
なすり付ける
なすり合い
なまり節
ならず者
なり形
なり手
にいにい蟬
にも拘らず
にも拘わらず
のけ反る
のの様
のべつ幕無し
のめり込む
のら息子
の給う
はち切れる
はな板
ばさら髪
ばた屋
ばた足
ばつ印
ばね秤
ばら弾
ばら斑
ばら炭
ばら肉
ばら蒔く
ばら銭
ばら鮨
ひょろ長い
ひん剝く
ひん曲がる
ひん曲げる
ひん曲る
ひ弱
ひ弱い
びしょ濡れ
びっくり水
びっくり箱
ぴか一
ぴり辛
ふき豆
ふくらし粉
ふくら脛
ふくら雀
ふんぞり返る
ふん捕まえる
ふん縛る
ぶち上げる
ぶち壊す
ぶち抜く
ぶち込む
ぶった切る
ぶった斬る
ぶっ壊す
ぶっ殺す
ぶっ続け
ぶっ違い
ぶっ飛ばす
ぶつ切り
ぶぶ漬
ぶぶ漬け
ぶらぶら病
ぶら下がり
ぶら下がる
ぶら下げる
ぶりっ子
ぶり返す
ぶん投げる
ぶん殴る
へぎ板
へし合う
へし折る
へし曲げる
へたり込む
へっぴり腰
へっぴり虫
へな猪口
へり下る
べえ独楽
べた一面
べったら漬
べったら漬け
べらんめえ口調
ぺてん師
ぺんぺん草
ほくそ笑む
ほろ苦い
ほろ蚊帳
ほろ酔い
ぼた山
ぼた雪
ぼろ儲け
ぽい捨て
ぽち袋
ぽっと出
ぽん引き
まぐれ幸い
まぐれ当たり
まぐれ当り
みんみん蟬
むかっ腹
むず痒い
むら気
むら消え
めかし込む
めじ鮪
めっけ物
もう一つ
もう先
もう直
やっちゃ場
やっつけ仕事
やって来る
やって退ける
やの字
やん衆
よし来た
ん坊
アキレス腱
アチャラ漬
アチャラ漬け
アナログ放送
アナログ時計
アミノ酸
アメリカ白火取
アラビア数字
アルカリ性
アルギン酸
アルコール中毒
アルコール依存症
アルツハイマー病
アルファ波
アルファ線
アル中
アンゴラ兎
アンゴラ山羊
アーク灯
アート紙
ア式蹴球
イスラム教
イタイイタイ病
イノシン酸
インサイダー取引
インディカ米
イージス艦
イ音便
ウ冠
ウ音便
エコノミークラス症候群
エコー検査
エックス線
エナメル質
エンゲル係数
オクタン価
オリンピック競技
オリーブ色
オンデマンド出版
オート三輪車
オープン戦
カイゼル髭
カセット焜炉
カタン糸
カップ麺
カツ丼
カリ肥料
カルメ焼
カルメ焼き
カレー粉
カンフル注射
カービン銃
カ氏
ガイガー計数管
ガンマ線
ガーター編
ガーター編み
キッチン鋏
キリスト教
クラスター爆弾
クラフト紙
クレオール語
グラニュー糖
グリニッジ時
グルタミン酸
ケイ素
ケイ酸
ケルビン温度
ケント紙
ゲルトナー菌
ココ椰子
コロンブスの卵
ゴシック式
ゴブラン織
ゴブラン織り
サブリミナル効果
サラダ菜
サラ金
サリチル酸
サルチル酸
サルファ剤
サルモネラ菌
シアン化カリウム
シアン化水素
シェリー酒
シックハウス症候群
ショック療法
ジェット機
ジェット気流
ジェネリック医薬品
ジャガタラ芋
ジャポニカ米
ジンギスカン鍋
スクランブル交差点
スコラ哲学
ステロイド剤
ストア学派
スナップ豌豆
スパルタ式
スプロール現象
スルホンアミド剤
ズボン下
ズボン吊
ズボン吊り
セ氏
ゼロ歳
ゼロ歳児
ソップ形
ソフト帽
タイ記録
タオル地
タブロイド判
タロ芋
タングステン鋼
ダウ平均
ダムダム弾
チベット仏教
チリ硝石
ツェツェ蠅
テレビン油
テープ起こし
テープ起し
デジタル放送
デジタル時計
デパ地下
デリンジャー現象
デング熱
データ放送
トルコ帽
トルコ石
トルコ風呂
トロッコ列車
トロール漁業
トロール船
トンネル会社
トン数
トン税
ト書
ト音記号
ドップラー効果
ドミノ倒し
ドラム缶
ドリンク剤
ドル建て
ドル箱
ドル買
ドル買い
ドーナツ盤
ナパーム弾
ニコチン中毒
ニッパ椰子
ネクタイ止
ネクタイ止め
ネクタイ留
ネクタイ留め
ノ木偏
ハウツー物
ハトロン紙
ハンセン病
ハンマー投げ
バイオ燃料
バス停
バズーカ砲
バセドー病
バタ臭い
バッチ処理
バベルの塔
バルサミコ酢
パナマ帽
パニック障害
パンの木
パンドラの箱
パン種
パン粉
パン食
ヒマラヤ杉
ヒンズー教
ヒンドゥー教
ヒ素
ビフィズス菌
ビヤ樽
ビル風
ビー玉
ピアノ線
ピジン語
ピストン輸送
ピック病
ピリン系
ピロリ菌
フィラリア病
フェーン現象
フッ素
フライス盤
フライ返し
ブラウン管
ブラウン運動
ブルジョア革命
ブンゼン灯
プリン体
プロレタリア革命
ヘ音記号
ベニヤ板
ベルツ水
ベータ線
ペン腁胝
ホウ砂
ホウ素
ホウ酸
ボギー車
ボルドー液
ボール盤
ポケット型
ポンチ絵
ポン柑
ポン酢
マイクロ波
マニラ麻
マホメット教
マルクス主義
マルサス主義
マルセル石鹼
マル公
マル秘
マント狒狒
ミサ曲
メタボリック症候群
メタ言語
メリケン粉
メートル法
モザイク病
モビル油
モンロー主義
モーゼル銃
モールス符号
ヤードポンド法
ヨウ素
ライフル銃
ライ麦
リアス海岸
リコール制
リトマス試験紙
リボ払い
リボ核酸
リンゲル液
リーグ戦
ルゴール液
ル又
レスキュー隊
レッカー車
レトルト食品
レム睡眠
レモン水
ロイド眼鏡
ロハ台
ローマ字
ローマ数字
ローラー作戦
ワイル病
ワッセルマン反応
ワットマン紙
ワ冠
一
一か八か
一くさり
一つ
一つ一つ
一つ家
一つ書き
一つ目
一つ穴
一つ覚え
一つ話
一つ身
一に
一の膳
一の酉
一わたり
一一
一一〇番
一丁前
一丁字
一七日
一世
一世一代
一両
一中節
一丸
一事
一二
一人
一人っ子
一人ぼっち
一人前
一人占め
一人口
一人天下
一人娘
一人暮し
一人暮らし
一人物
一人称
一人芝居
一人静
一人頭
一介
一仕事
一代
一代記
一件
一任
一休み
一位
一佐
一体
一体全体
一価
一個人
一倍
一倡三歎
一働き
一儲け
一元
一元化
一元論
一先ず
一党
一入
一八
一六
一六勝負
一六銀行
一兵卒
一円
一再
一刀
一刀両断
一刀彫
一分
一分一厘
一切
一切合切
一切合財
一切経
一切衆生
一別以来
一利
一利一害
一刻
一刻千金
一助
一匹
一匹狼
一区切り
一升瓶
一半
一卵性双生児
一双
一反
一口
一口咄
一口噺
一口話
一合
一合目
一同
一名
一向
一向き
一周
一周年
一周忌
一味
一呼吸
一命
一品
一品料理
一員
一唱三嘆
一問一答
一喜一憂
一喝
一回り
一回忌
一因
一団
一国一城
一埒
一堂
一報
一場
一塩
一士
一声
一変
一夕
一夜
一夜さ
一夜作り
一夜妻
一夜漬
一夜漬け
一夜酒
一大
一大事
一天
一夫一妻
一夫一婦
一夫多妻
一女
一如
一姫二太郎
一子
一子相伝
一字千金
一存
一季
一安心
一定
一家
一家言
一宿一飯
一寝入り
一審
一寸
一寸法師
一寸見
一寸試し
一寸逃れ
一対
一将
一尉
一層
一山
一巡
一巡り
一己
一巻の終り
一巻の終わり
一席
一帯
一幕
一年
一年忌
一年草
一度
一座
一廉
一廓
一式
一弦琴
一張一弛
一張羅
一当たり
一当り
一役
一往
一律
一得
一徹
一心
一心不乱
一応
一念
一念発起
一思いに
一息
一意
一意的
一戦
一所
一所不住
一所懸命
一手
一打ち
一抱え
一抹
一押し
一括
一括り
一指
一挙
一挙一動
一挙両得
一挙手一投足
一捻り
一掃
一掬
一揆
一揖
一握り
一摑み
一擲
一攫千金
一敗
一散
一文
一文半銭
一文字
一文惜しみ
一斉
一斑
一新
一方
一方ならず
一方口
一方的
一族
一旒
一旗
一日
一日千秋
一日増しに
一旦
一旬
一昔
一昨
一昨年
一昨日
一昨昨
一昨昨年
一昨昨日
一時
一時凌ぎ
一時払
一時払い
一時的
一時逃れ
一時金
一晩
一曹
一月
一服
一望
一望千里
一朝
一朝一夕
一期
一本
一本勝負
一本化
一本槍
一本橋
一本気
一本立ち
一本締め
一本調子
一本釣
一本釣り
一札
一条
一杯
一杯一杯
一杯機嫌
一枚
一枚岩
一枚板
一枚看板
一極
一概
一様
一樹
一次
一歩
一死
一段
一段落
一殺多生
一毛作
一毫
一気
一気呵成
一汁一菜
一汗
一決
一泊
一泡
一波
一派
一流
一溜まり
一溜り
一瀉千里
一炊
一点
一点張り
一煮立ち
一片
一片食
一物
一献
一理
一環
一瓢
一生
一生懸命
一生涯
一生物
一生面
一男
一番
一番乗り
一番槍
一番茶
一番鶏
一疋
一病息災
一癖
一発
一白
一皮
一盞
一目
一目惚れ
一目散
一目瞭然
一直線
一眠り
一眸
一眼
一着
一睡
一瞥
一瞬
一矢
一知半解
一石
一石二鳥
一碧
一神教
一種
一稼ぎ
一端
一笑
一筆
一筆描き
一筆書き
一等
一等兵
一等星
一等親
一筋
一筋縄
一策
一節切
一籌
一粒種
一粒選り
一糸
一系
一紙半銭
一級
一絃琴
一統
一網打尽
一緒
一緒くた
一線
一縷
一纏め
一罰百戒
一義
一義的
一翼
一考
一聯
一肌
一能
一脈
一腰
一腹
一膳飯屋
一臂
一致
一興
一般
一般人
一般会計
一般化
一般法
一般論
一色
一芝居
一花
一芸
一苦労
一荒れ
一葉
一蓮托生
一行
一衣帯水
一見
一見識
一視同仁
一覧
一覧表
一親等
一角
一角獣
一触即発
一言
一言一行
一言半句
一言居士
一計
一説
一読
一議
一貫
一走り
一越
一足
一足違い
一足飛び
一跨ぎ
一路
一蹴
一躍
一身
一軒家
一軒屋
一転
一転機
一輪
一輪挿
一輪挿し
一輪車
一辺倒
一途
一通り
一連
一進一退
一遍
一過
一道
一部
一部分
一部始終
一郭
一酸化炭素
一里塚
一重
一長一短
一門
一閃
一閑張
一間
一降り
一院制
一陣
一陽来復
一隅
一際
一隻眼
一雨
一面
一面的
一面観
一面識
一頃
一頭地
一頻り
一類
一顧
一顰一笑
一風
一風呂
一飛び
一騎当千
一騎打
一騎打ち
一騎討
一騎討ち
一驚
一髪
一齣
丁
丁と
丁丁
丁丁発止
丁付
丁付け
丁半
丁場
丁子
丁子頭
丁字
丁字定規
丁字帯
丁字路
丁定規
丁寧
丁寧語
丁年
丁幾
丁度
丁数
丁目
丁稚
丁重
丁重語
丁髷
七
七つ
七つの海
七つ下がり
七つ下り
七つ屋
七つ立ち
七つ道具
七七日
七三
七不思議
七五三
七五三縄
七五調
七光
七分搗
七分搗き
七十路
七厘
七味唐辛子
七回忌
七堂
七堂伽藍
七変化
七夕
七夜
七宝
七年忌
七彩
七所借り
七日
七日正月
七曜
七曜星
七曜暦
七曲がり
七曲り
七月
七珍
七生
七福神
七種
七種粥
七竈
七色
七色唐辛子
七草
七草粥
七言
七赤
七転び八起き
七転八倒
七転八起
七輪
七道
七里結界
七重
七難
七面倒
七面倒臭い
七面鳥
七顚八倒
七顚八起
万
万が一
万一
万万
万万一
万万歳
万丈
万世
万両
万乗
万事
万人
万人向き
万代
万作
万全
万力
万博
万古
万国
万国旗
万夫
万夫不当
万屋
万年
万年床
万年筆
万年雪
万年青
万引
万引き
万感
万斛
万有
万有引力
万朶
万機
万歳
万死
万民
万灯
万灯会
万物
万病
万石簁
万福
万端
万策
万籟
万緑
万能
万般
万華鏡
万葉仮名
万言
万謝
万象
万邦
万里
万金
万鈞
万障
万難
万雷
万骨
丈
丈余
丈六
丈夫
丈比べ
三
三つ
三つ又
三つ口
三つ子
三つ巴
三つ指
三つ揃い
三つ星
三つ目
三つ目錐
三つ組
三つ編み
三つ葉
三つ襟
三つ角
三つ身
三つ重ね
三の丸
三の膳
三の酉
三一
三七日
三三九度
三三五五
三下
三下がり
三下り
三世
三世相
三五
三人
三人称
三代
三代相恩
三伏
三位
三位一体
三佐
三児
三助
三化螟虫
三十一文字
三十三所
三十二相
三十五日
三十六計
三十日
三十棒
三十路
三千世界
三半規管
三原色
三又
三叉
三叉路
三口
三后
三周忌
三味
三味線
三和音
三唱
三嘆
三回忌
三国
三国一
三国伝来
三士
三太夫
三太郎
三子
三宝
三宝柑
三宝荒神
三寒四温
三寸
三尉
三尺
三差路
三巴
三幅
三幅対
三幅布団
三年
三年忌
三度
三度笠
三度飛脚
三弦
三彩
三役
三徳
三思
三悪道
三才
三拍子
三拝九拝
三指
三振
三揃い
三文
三方
三日
三日坊主
三日天下
三日月
三日麻疹
三星
三昧
三時
三曲
三更
三曹
三月
三本締め
三杯酢
三板
三枚
三枚目
三枚肉
三枝の礼
三椏
三業
三権
三次元
三歎
三段論法
三段跳
三段跳び
三段飛
三段飛び
三毛
三毛作
三毬杖
三民主義
三水
三流
三温糖
三献
三猿
三界
三番
三番叟
三白眼
三百代言
三盆
三目
三目錐
三碧
三稜鏡
三種
三竦み
三等親
三筋の糸
三箇日
三絃
三組
三綱
三線
三編み
三羽烏
三者
三脚
三舎
三色版
三色菫
三葉
三葉虫
三蔵
三行半
三親等
三角
三角函数
三角州
三角巾
三角形
三角比
三角法
三角波
三角洲
三角測量
三角点
三角関係
三角関数
三身
三軍
三輪車
三途の川
三途河の婆
三遷の教え
三部作
三里
三重ね
三重の塔
三重唱
三重塔
三重奏
三門
三隣亡
三面
三面六臂
三題咄
三題噺
三顧
三食
上
上から目線
上がったり
上がり
上がり口
上がり場
上がり框
上がり段
上がり湯
上がり物
上がり目
上がり端
上がり花
上がり高
上がる
上げ
上げる
上げ下げ
上げ下ろし
上げ底
上げ板
上げ潮
上げ膳据え膳
上げ膳据膳
上げ舵
上げ蓋
上す
上せる
上っ側
上っ張り
上っ皮
上っ調子
上っ面
上つ方
上の句
上の空
上り
上り坂
上り花
上り詰める
上り調子
上る
上上
上上吉
上下
上下動
上世
上乗
上乗せ
上乗り
上京
上人
上代
上位
上体
上作
上値
上側
上出来
上分別
上刻
上前
上包み
上半期
上半身
上古
上司
上向き
上向く
上告
上告審
上品
上回る
上地
上場
上塗
上塗り
上士
上声
上天
上天気
上奏
上女中
上官
上客
上家
上屋
上屋敷
上層
上履
上履き
上巳
上市
上布
上帝
上席
上底
上座
上廻る
上弦
上張り
上役
上得意
上意
上戸
上手
上手物
上手者
上擦る
上敷
上敷き
上新粉
上方
上方贅六
上旬
上昇
上映
上書
上書き
上期
上木
上板
上根
上梓
上棟
上様
上機嫌
上段
上気
上水
上水道
上洛
上流
上浣
上滑り
上演
上潮
上澄み
上澣
上物
上玉
上田
上申
上界
上略
上番
上白
上皇
上皮
上目
上目遣い
上着
上程
上積み
上空
上等
上等兵
上策
上米
上糝粉
上納
上紙
上級
上絵
上置き
上聞
上肢
上背
上腕
上腿
上膊
上膳据え膳
上膳据膳
上舵
上船
上蓋
上蔟
上衣
上表
上製
上覧
上記
上訴
上調子
上貼り
上質
上辷り
上辺
上述
上達
上部
上長
上限
上院
上陸
上面
上靴
上首尾
上﨟
下
下がり
下がり目
下がる
下げ
下げる
下げ前髪
下げ戻し
下げ棚
下げ止まる
下げ止る
下げ渡す
下げ潮
下げ緒
下げ舵
下げ髪
下さる
下される
下し
下し立て
下し薬
下し金
下す
下っ端
下つ方
下ねた
下の句
下らない
下らぬ
下り
下りる
下り坂
下り物
下り立つ
下り腹
下り鮎
下る
下ろし
下ろし立て
下ろし金
下ろす
下下
下世話
下乗
下人
下仕事
下付
下位
下位分類
下作
下値
下働き
下僕
下僚
下克上
下刈
下刈り
下刻
下剋上
下前
下剤
下劣
下半期
下半身
下卑る
下取り
下司
下名
下向
下向き
下味
下命
下品
下問
下回り
下回る
下図
下地
下垂
下垂体
下城
下塗
下塗り
下士
下士官
下女
下女中
下婢
下宿
下屋
下屋敷
下層
下履
下履き
下山
下帯
下座
下廻り
下廻る
下弦
下張り
下役
下心
下情
下意
下戸
下手
下手人
下手物
下手糞
下押し
下拙
下拵え
下掛かる
下掛る
下描
下描き
下敷
下敷き
下方
下旬
下書
下書き
下期
下校
下根
下検分
下段
下水
下水道
下洗い
下流
下浣
下湯
下準備
下澣
下火
下煮
下獄
下生え
下田
下男
下町
下町風
下界
下略
下番
下痢
下目
下直
下相談
下着
下知
下種
下種張る
下稽古
下積み
下穿き
下等
下策
下級
下絵
下線
下縫い
下職
下肢
下肥
下脹れ
下腹
下腹部
下腿
下膨れ
下船
下草
下萌え
下落
下血
下衆
下見
下見板
下記
下訳
下読み
下調べ
下請
下請け
下貼り
下賜
下賤
下足
下車
下達
下郎
下部
下野
下降
下限
下院
下陰
下露
下風
下馬
下馬評
下駄
下駄履き
下﨟
不
不一
不世出
不二
不人情
不仕合せ
不仕合わせ
不仲
不休
不似合
不似合い
不体裁
不作
不作法
不作為
不例
不便
不信
不信任
不信心
不俱戴天
不倒
不倒翁
不倫
不偏
不偏不党
不健全
不備
不充分
不入り
不全
不公平
不具
不具合
不凍
不出
不出来
不利
不利益
不労
不動
不動尊
不動明王
不動産
不十分
不協和音
不即不離
不参
不可
不可侵
不可分
不可思議
不可抗力
不可欠
不可測
不可知論
不可能
不可視
不可解
不可逆
不可避
不合理
不吉
不同
不名誉
不向き
不味
不和
不品行
不問
不善
不器用
不器量
不在
不在地主
不在者投票
不埒
不堪
不壊
不変
不変資本
不夜城
不女
不如帰
不如意
不妊
不始末
不孝
不安
不安定
不完全
不完全燃焼
不定
不定型詩
不定愁訴
不定時
不定称
不実
不宣
不寝番
不審
不審火
不審紙
不導体
不尽
不屈
不届き
不履行
不工合
不帰
不平
不平等
不幸
不幸せ
不弁
不当
不得意
不得手
不得策
不得要領
不徳
不徳義
不徹底
不心得
不必要
不忠
不快
不快指数
不念
不思議
不急
不恰好
不悉
不惑
不惜身命
不愉快
不愍
不意
不意打ち
不意討ち
不感症
不慣れ
不慮
不憫
不成績
不戦
不戦勝
不戦敗
不所存
不手際
不才
不払
不払い
不承
不承不承
不承知
不抜
不振
不揃い
不換紙幣
不摂生
不撓
不敏
不敗
不敬
不整
不敵
不文
不文律
不文法
不料簡
不断
不断着
不断草
不日
不明
不明朗
不明瞭
不易
不時
不時着
不景気
不服
不本意
不朽
不束
不条理
不格好
不案内
不様
不機嫌
不正
不正直
不正確
不正規
不死
不死身
不死鳥
不毛
不気味
不治
不況
不法
不注意
不浄
不浄役人
不消化
不渡
不渡り
不測
不満
不満足
不溶性
不滅
不漁
不潔
不為
不燃
不特定
不犯
不猟
不生産
不用
不用心
不用意
不甲斐ない
不男
不発
不相応
不真面目
不眠
不着
不知
不知不識
不知火
不確か
不確定
不磨
不祝儀
不祥
不祥事
不穏
不穏当
不立文字
不等
不等号
不等式
不粋
不精
不精髭
不納
不純
不細工
不経済
不縁
不織布
不羈
不義
不義理
不老
不肖
不能
不自然
不自由
不興
不良
不行き届き
不行儀
不行届
不行跡
不要
不見識
不見転
不規則
不覚
不親切
不言
不評
不評判
不詳
不調
不調和
不調法
不謹慎
不豫
不貞
不貞る
不貞寝
不貞腐る
不貞腐れる
不買
不買同盟
不起訴
不足
不身持ち
不躾
不軌
不退転
不透明
不通
不逞
不連続線
不遇
不運
不道徳
不遜
不適任
不適切
不適当
不適格
不都合
不釣り合い
不釣合
不銹鋼
不陸
不随
不随意筋
不面目
不順
不風流
不養生
不首尾
不馴れ
不鮮明
与
与える
与し易い
与する
与り知る
与る
与件
与党
与力
与国
与圧
与太
与太る
与太者
与太郎
与奪
丑
丑の刻参り
丑の日
丑三つ
丑寅
且つ
且つは
且つ又
世
世にも
世の中
世の常
世の習い
世上
世世
世事
世人
世代
世代交代
世俗
世子
世尊
世帯
世帯崩し
世帯持
世帯持ち
世帯染みる
世帯窶れ
世帯道具
世心
世情
世態
世慣れる
世才
世捨て人
世捨人
世故
世智
世柄
世渡り
世界
世界像
世界国家
世界観
世界遺産
世直し
世相
世知
世紀
世紀末
世継
世継ぎ
世襲
世評
世話
世話人
世話場
世話女房
世話好き
世話役
世話焼
世話焼き
世話物
世話狂言
世論
世路
世辞
世迷い言
世過ぎ
世道
世間
世間体
世間師
世間擦れ
世間気
世間知らず
世間話
世間離れ
世間騒がせ
世離れる
世馴れる
丘
丘陵
丙
丙午
丞
丞相
両
両ながら
両三
両両
両便
両個
両側
両全
両刀
両刀論法
両刀遣い
両刃
両分
両切
両切り
両前
両天秤
両夫
両度
両得
両思い
両性
両成敗
両所
両手
両断
両方
両替
両替屋
両朝
両棲
両棲類
両極
両様
両次
両為
両生
両生類
両用
両立
両端
両統
両翼
両者
両脇
両脚規
両舌
両蓋
両虎
両親
両輪
両開き
両院
両隣
両雄
両面
両頭
両養子
並
並び
並びに
並び大名
並び無い
並び称する
並び立つ
並び角
並ぶ
並べて
並べる
並べ立てる
並み
並み居る
並一通り
並並
並列
並外れる
並大抵
並存
並居る
並巾
並幅
並木
並称
並立
並置
並行
並製
並走
並足
並進
中
中っ腹
中でも
中の口
中の間
中ぶらりん
中世
中中
中二階
中人
中仕切
中仕切り
中休
中休み
中位
中佐
中値
中傷
中元
中入
中入り
中刻
中力粉
中卒
中原
中口
中古
中吊り
中味
中和
中啓
中型
中堅
中塗
中塗り
中売
中売り
中外
中天
中央
中央集権
中子
中学
中学年
中学校
中宮
中将
中尉
中小
中屋敷
中層
中島
中州
中幅
中幕
中年
中年増
中座
中庭
中庸
中弛み
中形
中心
中性
中性子
中性紙
中性脂肪
中手
中折
中折れ
中押し
中指
中敷
中敷き
中断
中日
中旬
中有
中期
中枢
中核
中止
中止法
中正
中段
中毒
中気
中水
中水道
中波
中洲
中流
中浣
中潜り
中潮
中澣
中火
中点
中生代
中産階級
中略
中皮腫
中盤
中直り
中砥
中破
中秋
中称
中程
中空
中立
中等
中篇
中納言
中級
中細
中絶
中継
中継ぎ
中綿
中線
中編
中老
中耕
中耳
中肉
中背
中腰
中腹
中興
中華
中華料理
中落ち
中葉
中表
中許
中許し
中距離
中身
中軸
中農
中退
中途
中途半端
中道
中部
中門
中間
中間子
中間色
中限
中陰
中隊
中震
中音
中頃
中風
中食
中骨
中高
中黒
中﨟
串
串刺
串刺し
串柿
串焼
串焼き
丸
丸い
丸ごと
丸っこい
丸まる
丸み
丸める
丸め込む
丸丸
丸儲け
丸写し
丸出し
丸刈
丸刈り
丸印
丸取り
丸合羽
丸吞み
丸坊主
丸天井
丸太
丸寝
丸帯
丸幅
丸干
丸干し
丸打
丸打ち
丸投げ
丸抱え
丸損
丸木
丸木橋
丸木舟
丸本
丸材
丸染
丸染め
丸洗い
丸潰れ
丸焼き
丸焼け
丸窓
丸絎
丸絎け
丸腰
丸薬
丸裸
丸襟
丸見え
丸首
丸髷
丸麦
丹
丹前
丹塗
丹塗り
丹後
丹心
丹念
丹毒
丹田
丹精
